raceid,driverid,stop,lap,time,duration,milliseconds
944,807,1,9,14:14:48,24.009,24009
915,821,1,39,16:12:57,30.303,30303
848,16,1,12,14:25:09,20.676,20676
871,808,2,26,14:59:52,21.180,21180
877,808,1,27,17:57:47,20.769,20769
883,824,1,9,15:19:57,24.325,24325
842,15,1,13,16:27:03,25.516,25516
847,4,1,17,13:31:21,23.893,23893
851,30,2,26,14:46:04,20.071,20071
892,819,1,17,14:29:42,25.569,25569
882,13,1,7,15:16:16,20.753,20753
853,5,1,21,14:38:01,23.298,23298
861,8,3,40,18:20:58,25.041,25041
859,67,2,42,14:59:19,22.461,22461
982,1,1,1,20:06:27,30.442,30442
917,1,1,8,14:13:27,23.351,23351
844,15,1,13,15:24:28,23.066,23066
881,824,1,6,16:16:07,26.546,26546
962,20,1,1,20:06:48,24.342,24342
845,813,2,20,14:34:36,24.821,24821
848,67,1,14,14:28:54,21.321,21321
849,17,2,26,13:49:36,25.490,25490
907,821,3,45,15:01:17,22.530,22530
863,18,3,37,16:06:26,22.616,22616
977,838,1,31,14:39:43,21.714,21714
944,813,1,25,14:36:04,24.115,24115
917,826,2,38,14:52:30,24.385,24385
965,18,2,28,14:53:32,25.635,25635
944,3,3,48,15:04:53,23.046,23046
853,811,3,40,15:06:27,22.273,22273
877,819,1,26,17:55:56,21.941,21941
956,4,3,28,14:38:36,16.764,16764
873,10,2,25,20:54:19,32.015,32015
844,13,4,46,16:16:13,26.685,26685
851,67,2,25,14:44:55,21.460,21460
945,831,2,26,17:51:35,22.806,22806
949,830,1,10,18:20:31,25.810,25810
899,824,2,47,15:07:06,23.403,23403
849,814,2,24,13:46:50,45.291,45291
855,22,3,37,16:08:54,21.890,21890
956,825,1,11,14:16:43,22.033,22033
927,807,3,44,16:25:34,35.351,35351
953,13,1,20,14:37:38,24.934,24934
956,13,4,56,15:13:53,21.231,21231
854,20,1,14,20:30:38,30.023,30023
902,154,2,28,18:52:44,25.032,25032
952,817,3,43,15:10:31,21.683,21683
879,3,2,18,14:29:54,21.806,21806
976,8,3,20,17:48:02,26:23.848,1583848
963,825,1,1,15:06:24,30.679,30679
859,20,1,17,14:25:24,20.927,20927
930,829,2,32,14:56:02,23.043,23043
845,16,3,48,15:17:54,23.230,23230
867,37,1,14,14:29:09,23.127,23127
871,813,1,1,14:06:36,21.842,21842
864,818,2,23,14:38:58,22.645,22645
874,154,2,7,15:16:52,29.793,29793
965,830,2,26,14:49:08,36.112,36112
844,13,3,34,15:57:22,23.471,23471
914,20,2,12,15:50:13,23.764,23764
847,18,1,8,13:15:11,23.650,23650
893,3,1,15,20:32:27,29.212,29212
969,825,2,44,17:15:10,22.189,22189
892,807,1,24,14:39:37,25.633,25633
883,815,3,39,16:10:45,21.319,21319
974,825,2,42,14:57:54,26.040,26040
872,5,2,39,15:03:38,21.910,21910
909,824,2,45,15:08:29,20.575,20575
851,1,1,12,14:23:59,21.880,21880
887,17,3,42,14:18:03,24.473,24473
967,822,2,20,14:47:59,33:28.595,2008595
961,4,1,13,14:22:49,26.843,26843
916,13,2,32,15:02:21,25.456,25456
884,16,4,49,15:19:07,22.931,22931
857,10,1,1,15:05:23,27.378,27378
