year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1993,NHL,NYI,4,0,4,0,3,22,83,0,1,17,0,8,27,0
1938,NHL,DET,6,3,3,0,16,15,51,,,,,,,
2010,NHL,PHI,11,4,7,0,29,38,173,4,7,49,0,9,47,0
1973,NHL,BOS,16,10,6,0,58,44,349,,12,,0,12,,2
1973,NHL,MTL,6,2,4,0,17,21,91,,2,,0,3,,0
1987,NHL,HAR,6,2,4,0,20,23,81,0,5,26,,6,26,0
1965,NHL,MTL,10,8,2,0,33,20,187,,,,,,,
1980,NHL,TOR,3,0,3,0,4,20,56,4,1,12,2,6,16,0
2007,NHL,NJD,5,1,4,0,12,19,56,0,5,24,1,4,17,0
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
2002,NHL,EDM,6,2,4,0,11,20,131,2,1,23,0,7,39,1
1985,NHL,STL,19,10,9,0,64,70,579,0,13,91,3,26,96,3
1975,NHL,BUF,9,4,5,0,25,29,162,0,2,42,1,7,41,1
2007,NHL,PIT,20,14,6,0,61,43,323,2,21,92,2,11,85,1
1978,WHA,QUN,4,0,4,0,12,30,,,,,,,,
1988,NHL,VAN,7,3,4,0,20,26,160,2,7,44,,10,36,1
1993,NHL,NJD,20,11,9,0,52,49,421,4,14,81,1,11,85,1
1948,NHL,TOR,9,8,1,0,28,15,94,,,,,,,
1997,NHL,BOS,6,2,4,0,13,15,75,0,6,40,0,3,20,0
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
1938,NHL,NYR,7,3,4,0,12,14,74,,,,,,,
1979,NHL,PHI,19,13,6,0,78,53,530,4,16,76,3,23,117,5
2002,NHL,STL,7,3,4,0,21,17,137,4,10,48,1,7,47,0
1994,NHL,NYR,10,4,6,0,35,37,138,2,13,46,3,5,50,1
1986,NHL,CHI,4,0,4,0,6,15,104,0,0,17,1,4,15,0
1993,NHL,MTL,7,3,4,0,20,22,106,0,6,28,1,7,31,0
2003,NHL,PHI,18,11,7,0,50,43,272,8,8,61,0,14,71,3
1988,NHL,PHI,19,10,9,0,64,60,612,2,20,96,,26,119,8
1985,NHL,BOS,3,0,3,0,6,10,162,4,2,16,1,3,20,1
1977,NHL,BOS,15,10,5,0,53,42,286,4,11,42,0,11,54,0
1996,NHL,FLO,5,1,4,0,10,13,50,0,6,25,0,2,21,0
1933,NHL,DET,9,4,5,0,18,21,65,,,,,,,
2003,NHL,TOR,13,6,7,0,27,28,201,0,6,59,1,6,58,0
1977,NHL,LAK,2,0,2,0,3,11,39,0,0,10,0,2,9,0
2005,NHL,COL,9,4,5,0,22,31,166,2,5,52,1,7,50,2
1988,NHL,BUF,5,1,4,0,14,16,188,0,6,31,,5,30,2
1995,NHL,TOR,6,2,4,0,15,21,112,0,8,32,4,5,34,1
1968,NHL,LAK,11,4,7,0,28,41,162,,6,,1,7,,1
2011,NHL,VAN,5,1,4,0,8,12,94,0,3,21,2,3,26,0
1998,NHL,EDM,4,0,4,0,7,11,85,0,2,17,0,2,22,0
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
1993,NHL,DET,7,3,4,0,27,21,98,2,5,35,1,6,36,2
1979,NHL,CHI,7,3,4,0,19,20,120,0,7,23,0,7,26,0
2002,NHL,PHI,13,6,7,0,34,33,152,4,5,50,4,9,50,1
1998,NHL,COL,19,11,8,0,56,54,309,0,14,96,3,19,106,2
1998,NHL,ANA,4,0,4,0,6,17,80,0,4,20,0,7,23,0
1919,PCHA,VML,2,1,1,0,3,7,,,,,,,,
1990,NHL,CHI,6,2,4,0,16,23,278,4,6,31,0,15,54,0
1999,NHL,BUF,5,1,4,0,8,14,70,4,3,18,1,9,28,0
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1975,WHA,PHR,5,2,3,0,13,17,,,,,,,,
2000,NHL,OTT,4,0,4,0,3,10,48,0,0,16,0,3,13,0
2008,NHL,NJD,7,3,4,0,15,17,91,0,3,27,0,2,29,0
2001,NHL,DET,23,16,7,0,72,47,308,8,19,99,2,14,104,7
1923,NHL,MTL,2,2,0,0,5,2,15,,,,,,,
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1987,NHL,BUF,6,2,4,0,22,28,286,2,11,36,,6,42,0
1925,NHL,MTM,4,2,0,2,8,5,40,,,,,,,
1995,NHL,COL,22,16,6,0,80,51,374,0,24,110,2,17,113,1
1999,NHL,FLO,4,0,4,0,6,12,54,0,1,14,1,2,16,0
1954,NHL,BOS,5,1,4,0,9,16,55,,,,,,,
1973,WHA,MFS,11,6,5,0,39,40,,,,,,,,
1936,NHL,MTM,5,2,3,0,8,11,21,,,,,,,
1985,NHL,WIN,3,0,3,0,8,15,88,0,3,15,0,2,15,1
1989,NHL,NYI,5,1,4,0,13,22,175,0,4,26,2,10,31,0
1982,NHL,VAN,4,1,3,0,14,17,136,0,2,20,0,4,18,0
1983,NHL,NYR,5,2,3,0,14,13,87,0,4,23,0,0,21,1
1937,NHL,TOR,7,4,3,0,14,13,59,,,,,,,
1954,NHL,TOR,4,0,4,0,6,14,60,,,,,,,
1985,NHL,EDM,10,6,4,0,41,30,321,6,8,39,2,8,51,4
1959,NHL,TOR,10,4,6,0,25,31,104,,,,,,,
1976,WHA,IND,9,5,4,0,33,34,,,,,,,,
1999,NHL,OTT,6,2,4,0,10,17,81,0,2,22,0,2,23,0
1950,NHL,DET,6,2,4,0,12,13,26,,,,,,,
2001,NHL,PHI,5,1,4,0,2,11,75,2,1,16,0,4,24,0
1977,WHA,QUN,11,5,6,0,43,41,,,,,,,,
1970,NHL,BOS,7,3,4,0,26,28,190,,6,,0,5,,2
1977,WHA,BIR,5,1,4,0,12,29,,,,,,,,
1984,NHL,EDM,18,15,3,0,98,57,476,2,15,78,4,16,90,6
2007,NHL,NYR,10,5,5,0,31,27,150,4,7,42,0,10,48,1
1978,NHL,BUF,3,1,2,0,9,9,41,0,1,8,0,0,13,0
1986,NHL,DET,16,9,7,0,45,40,426,0,9,56,1,9,58,1
1927,NHL,PIP,2,1,1,0,4,6,12,,,,,,,
1974,WHA,QUN,15,8,7,0,55,48,,,,,,,,
1991,NHL,DET,11,4,7,0,29,30,206,0,7,51,0,9,61,3
2003,NHL,NJD,5,1,4,0,9,14,28,0,3,18,0,4,12,0
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
1997,NHL,LAK,4,0,4,0,8,16,108,0,1,29,0,8,36,0
