playerid,year,stint,tmid,s,g,gdg
voracja01,2008,1,CBS,3,1,1
greenmi03,2010,1,WAS,1,0,0
gagnesa01,2011,1,EDM,6,9,1
koltsko01,2005,1,PIT,1,0,0
svatoma01,2008,1,COL,9,3,3
marlepa01,2007,1,SJS,8,4,1
timonki01,2007,1,PHI,3,1,0
koistvi01,2009,1,FLO,2,1,1
kovalil01,2005,1,ATL,10,1,0
wellmca01,2009,1,MIN,1,0,0
littlbr01,2011,1,WPG,2,5,2
burnsbr01,2009,1,MIN,3,1,1
satanmi01,2007,1,NYI,5,1,0
nolanow01,2008,1,MIN,1,0,0
brylise01,2006,1,NJD,8,1,0
dubinbr01,2009,1,NYR,2,0,0
dawesni01,2010,1,ATL,2,1,1
simjo01,2009,1,NYI,1,0,0
kaberto01,2011,2,MTL,0,1,0
hechtjo01,2009,1,BUF,4,3,1
veillst01,2009,1,TBL,1,0,0
nashri01,2006,1,CBS,5,1,0
lombama01,2006,1,CAL,2,0,0
boyesbr01,2008,1,STL,12,6,1
kubinpa01,2007,1,TOR,1,0,0
gamacsi01,2005,1,NAS,2,0,0
leopojo01,2010,1,BUF,1,0,0
cammami01,2008,1,CAL,5,1,0
knublmi01,2010,1,WAS,2,1,1
grabomi01,2011,1,TOR,0,3,0
krugema01,2011,1,CHI,0,1,0
kariypa01,2005,1,NAS,7,5,2
satanmi01,2006,1,NYI,13,5,2
purcete01,2011,1,TBL,1,2,1
boyesbr01,2010,1,STL,8,5,1
alfreda01,2011,1,OTT,5,6,1
paveljo01,2006,1,SJS,3,3,0
zidlima01,2011,1,MIN,0,1,0
muirbr01,2005,1,WAS,1,1,0
okposky01,2007,1,NYI,2,1,0
gagnesi01,2009,1,PHI,1,0,0
raymoma01,2010,1,VAN,6,2,0
nashri01,2005,1,CBS,8,3,2
kaberto01,2008,1,TOR,3,1,0
bertuto01,2010,1,DET,7,2,1
berglpa01,2011,1,STL,0,4,0
pisanfe01,2005,1,EDM,7,3,2
hollwry01,2006,1,NYR,1,0,0
gilbeto01,2008,1,EDM,1,0,0
hilbean01,2006,1,NYI,3,1,1
bouwmja01,2007,1,FLO,1,0,0
satanmi01,2005,1,NYI,10,7,5
bertuto01,2008,1,CAL,3,2,2
lehtije01,2009,1,DAL,4,1,0
parenpi01,2011,1,NYI,2,6,1
peverri01,2008,1,NAS,4,1,1
coleer01,2005,1,CAR,3,1,1
brindro01,2009,1,CAR,1,0,0
doansh01,2009,1,PHO,9,2,0
brylise01,2005,1,NJD,3,1,1
fleisto01,2011,1,FLO,0,4,0
kaberto01,2006,1,TOR,3,1,0
brashdo01,2006,1,WAS,1,0,0
peltovi01,2007,1,FLO,4,0,0
tkachke01,2009,1,STL,1,0,0
niedero01,2008,1,AND,1,0,0
brulegi01,2006,1,CBS,1,0,0
giroucl01,2010,1,PHI,9,2,0
lydmato01,2010,1,AND,1,0,0
prospva01,2007,1,TBL,1,1,1
sturmma01,2005,2,BOS,4,0,0
kovalil01,2010,1,NJD,5,2,1
plekato01,2010,1,MTL,2,1,0
bergese01,2007,1,NYI,1,0,0
wheelbl01,2008,1,BOS,7,4,1
suttebr03,2011,1,CAR,0,1,0
sandege01,2007,1,EDM,1,0,0
kotalal01,2005,1,BUF,6,2,1
leblalo01,2011,1,MTL,0,2,0
hrdinja01,2005,1,CBS,2,0,0
pisanfe01,2009,1,EDM,1,0,0
ritchby01,2007,1,VAN,1,0,0
robitra01,2006,2,NYI,3,2,1
wrighty01,2005,1,CBS,1,0,0
pacioma01,2011,1,MTL,2,13,1
setogde01,2011,1,MIN,5,9,4
sourash01,2006,1,MTL,1,1,1
ritchby01,2006,1,CAL,3,2,0
korpila01,2011,1,PHO,0,2,0
huselkr01,2008,1,CBS,8,2,2
parisza01,2005,1,NJD,3,1,1
