year,lgid,tmid,oppid,w,l,t,otl
1940,NHL,TOR,BOS,2,4,2.0,
1952,NHL,NYR,BOS,7,5,2.0,
2001,NHL,CHI,CAL,2,1,1.0,0
2000,NHL,WAS,PIT,2,2,0.0,0
2006,NHL,VAN,FLO,1,0,,0
2002,NHL,CHI,BOS,2,0,0.0,0
2009,NHL,LAK,NYR,1,1,,0
1998,NHL,NJD,COL,2,0,0.0,
1984,NHL,WIN,STL,0,1,2.0,
2005,NHL,TOR,SJS,0,1,,0
2009,NHL,NYR,CAL,0,1,,0
1983,NHL,BOS,STL,3,0,0.0,
1974,WHA,SDM,NEW,3,3,0.0,
1981,NHL,PIT,MNS,1,2,0.0,
2001,NHL,STL,FLO,1,0,0.0,0
2006,NHL,NYI,DET,0,0,,1
1979,NHL,PIT,PHI,0,3,1.0,
1974,WHA,NEW,PHR,1,3,2.0,
1988,NHL,NYR,NJD,3,4,0.0,
1996,NHL,BUF,HAR,2,4,0.0,
1993,NHL,MTL,VAN,2,0,0.0,
1972,NHL,LAK,DET,2,2,1.0,
2009,NHL,OTT,SJS,0,1,,0
2010,NHL,COL,CHI,3,1,,0
1988,NHL,PIT,MNS,1,2,0.0,
1979,NHL,EDM,QUE,2,2,0.0,
1988,NHL,CHI,NYI,3,0,0.0,
1916,NHA,TOB,OT1,2,1,0.0,
2006,NHL,NAS,CAL,3,0,,1
2007,NHL,PHO,NYR,1,0,,0
1979,NHL,LAK,COR,4,0,0.0,
1928,NHL,OTS,TOR,4,1,1.0,
2006,NHL,NJD,DAL,0,1,,0
2007,NHL,WAS,COL,1,0,,0
1982,NHL,EDM,TOR,2,0,1.0,
1985,NHL,NYR,NJD,5,2,0.0,
1989,NHL,MNS,QUE,2,1,0.0,
2002,NHL,TOR,NAS,0,1,0.0,0
2008,NHL,TBL,NYR,0,3,,1
2002,NHL,OTT,ATL,3,0,1.0,0
1998,NHL,OTT,COL,1,0,0.0,
1985,NHL,LAK,CAL,1,7,0.0,
2011,NHL,LAK,EDM,2,1,,1
1996,NHL,PHO,COL,0,4,0.0,
1986,NHL,MNS,WIN,1,2,0.0,
2008,NHL,VAN,SJS,1,2,,1
1996,NHL,BOS,NYR,1,2,1.0,
2011,NHL,NAS,NYR,0,1,,0
2001,NHL,ATL,LAK,0,1,0.0,0
2011,NHL,DAL,EDM,4,0,,0
1982,NHL,WIN,HAR,1,1,1.0,
1942,NHL,DET,TOR,5,4,1.0,
1969,NHL,TOR,MNS,2,2,2.0,
2002,NHL,PHI,CBS,1,0,0.0,0
1974,WHA,MIB,MFS,2,4,0.0,
1986,NHL,BOS,PHI,1,2,0.0,
1928,NHL,DTC,NYA,2,1,1.0,
2010,NHL,LAK,AND,2,3,,1
1977,WHA,NEW,HOU,4,6,1.0,
2002,NHL,BUF,OTT,1,3,0.0,1
1930,NHL,OTS,PHQ,3,0,1.0,
2000,NHL,TOR,EDM,2,1,0.0,0
1979,NHL,HAR,TOR,2,2,0.0,
2010,NHL,FLO,NYR,2,2,,0
1995,NHL,LAK,STL,1,2,1.0,
2006,NHL,WAS,PIT,0,3,,1
2007,NHL,WAS,TOR,2,2,,0
1920,PCHA,VML,VA2,9,3,0.0,
2009,NHL,ATL,CAL,0,1,,0
1982,NHL,VAN,NYI,1,2,0.0,
1998,NHL,NYR,NJD,0,5,0.0,
2010,NHL,WAS,PIT,3,0,,1
1998,NHL,NAS,PIT,0,1,1.0,
1978,NHL,BOS,MTL,0,2,2.0,
1975,NHL,VAN,MNS,5,1,0.0,
1991,NHL,MNS,SJS,3,0,0.0,
1979,NHL,QUE,EDM,2,2,0.0,
2008,NHL,NAS,LAK,4,0,,0
1995,NHL,BUF,WAS,1,2,1.0,
1976,WHA,SDM,IND,3,2,1.0,
2009,NHL,MIN,NYI,1,0,,0
2007,NHL,DET,MTL,1,0,,0
1993,NHL,OTT,EDM,2,0,0.0,
2011,NHL,MIN,TBL,1,0,,0
1981,NHL,NYR,BUF,2,0,1.0,
2006,NHL,EDM,STL,1,2,,1
2010,NHL,STL,AND,2,2,,0
2007,NHL,STL,TOR,1,0,,0
1974,WHA,QUN,HOU,3,3,0.0,
2011,NHL,DET,NYI,0,1,,0
2008,NHL,STL,CAR,0,2,,0
1993,NHL,BUF,MTL,4,1,0.0,
1995,NHL,PHI,DET,1,1,0.0,
1986,NHL,NJD,PIT,4,3,0.0,
1979,NHL,HAR,QUE,1,1,2.0,
1988,NHL,BOS,PIT,1,1,1.0,
1977,WHA,HOU,QUN,5,5,1.0,
1976,NHL,NYI,PHI,3,2,1.0,
1993,NHL,TOR,ANA,1,2,1.0,
2006,NHL,NJD,NAS,0,0,,1
1980,NHL,HAR,BOS,1,1,2.0,
1981,NHL,PHI,STL,3,0,0.0,
1985,NHL,MTL,STL,1,2,0.0,
2009,NHL,NAS,PIT,1,0,,0
1992,NHL,TOR,NYR,1,1,0.0,
1916,NHA,OT1,MOC,5,0,0.0,
1958,NHL,CHI,BOS,7,6,1.0,
2009,NHL,STL,OTT,0,1,,0
1988,NHL,MNS,QUE,1,2,0.0,
1986,NHL,MNS,MTL,1,2,0.0,
2006,NHL,MIN,DET,1,3,,0
2002,NHL,DAL,NAS,1,3,0.0,0
1925,WCHL,VMR,SAS,2,3,0.0,
1998,NHL,CAR,CHI,1,1,0.0,
