title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
PC8888,Тайны Силиконовой долины,популярный состав,1389,20.0,8000.0,10.0,4095.0,Репортажи о коррупции в крупнейших мировых компаниях по производству компьютерного оборудования и программного обеспечения.,1994-06-12 00:00:00
MC2222,Кулинарные изыски Кремневого Долины,mod-кук,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрых, простых и элегантных блюд.",1991-06-09 00:00:00
MC3021,Гурмет-микроволновая печь,mod-кук,877,2.99,15000.0,24.0,22246.0,"Традиционные французские изысканные рецепты, адаптированные для современного микроволнового приготовления.",1991-06-18 00:00:00
BU2075,Вы можете бороться со стрессом от компьютера!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические техники для работы с электронным офисом. Простые объяснения.,1991-06-30 00:00:00
BU1032,Руководство бизнес-менеджера по базам данных,бизнес,1389,19.99,5000.0,10.0,4095.0,Обзор доступных систем баз данных с упором на распространенные бизнес-приложения. Иллюстрировано.,1991-06-12 00:00:00
PS7777,Эмоциональная безопасность: новый алгоритм,психология,736,7.99,4000.0,10.0,3336.0,Защита себя и своих близких от избыточного эмоционального стресса в современном мире. Использование компьютера и діетические средства подчеркнуты.,1991-06-12 00:00:00
TC3218,"Лук, чеснок и луковица: секреты медиземноморской кухни",традиционный кулинарный процесс,877,20.95,7000.0,10.0,375.0,"Просторно иллюстрированное цветом, это прекрасный подарочный сборник для друга, интересующегося кулинарией.",1991-10-21 00:00:00
TC7777,"Суши, кто есть?",традиционный кулинарный процесс,877,14.99,8000.0,10.0,4095.0,Детальные инструкции по приготовлению настоящего японского супы в свободное время.,1991-06-12 00:00:00
PS2091,Гнев — враг,психология,736,10.95,2275.0,12.0,2045.0,Детально исследованное изучение влияния сильных эмоций на организм. Включены диаграммы метаболизма.,1991-06-15 00:00:00
BU1111,Программирование на кухне: скрытые балансы,бизнес,1389,11.95,5000.0,10.0,3876.0,Советы по эффективному использованию электронных ресурсов.,1991-06-09 00:00:00
MC3026,Психология компьютерного приготовления пищи,Неопределённо,877,,,,,,2014-11-07 10:39:37
PC1035,Но удобно ли это для пользователя?,популярный состав,1389,22.95,7000.0,16.0,8780.0,"Опрос программного обеспечения для новичков, с упором на «дружелюбность» каждого из них.",1991-06-30 00:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,традиционный кулинарный процесс,877,11.95,4000.0,14.0,15096.0,"Больше анекдотов от любимого повара королевы о жизни среди английской королевской семьи. Рецепты, техники, трогательные заметки.",1991-06-12 00:00:00
PC9999,Этикет сети,популярный состав,1389,,,,,Аппаратное обеспечение для конференц-связи.,2014-11-07 10:39:37
PS1372,Компьютерно-фобические и не фобические люди: вариации поведения,психология,877,21.59,7000.0,10.0,375.0,"Необходимость для специалиста, этот учебник исследует разницу между тем, кто ненавидит и боится компьютеров, и тем, кто не любит компьютеры.",1991-10-21 00:00:00
BU7832,Прямолинейный разговор о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,Аннотированное исследование возможностей компьютеров для вас: практическое руководство для критичного пользователя без излишеств.,1991-06-22 00:00:00
PS3333,Длительная лишение данных: четыре исследования,психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные исчерпаны? Поиск поисков оценок дефицита информации.",1991-06-12 00:00:00
PS2106,Жизнь без страха,психология,736,7.0,6000.0,10.0,111.0,"Новые упражнения, медитации и методы питания, которые могут смягчить шок от повседневных взаимодействий. Популярная аудитория. В меню включены примерные рецепты, видео с упражнениями доступно отдельно.",1991-10-05 00:00:00
