playerid,year,stint,tmid,s,g,gdg
hagmani01,2009,1,TOR,1,1,0
pominja01,2005,1,BUF,2,0,0
caldeky01,2005,1,CHI,1,0,0
kovalil01,2011,1,NJD,11,14,7
thomabi01,2005,1,PHO,1,0,0
landega01,2011,1,COL,1,2,1
stollja01,2010,1,LAK,10,9,4
verstkr01,2011,1,FLO,1,8,0
kesseph01,2007,1,BOS,13,5,5
taffeje01,2009,1,FLO,1,0,0
miettan01,2006,1,DAL,3,0,0
mogilal01,2005,1,NJD,4,0,0
koivusa01,2010,1,AND,2,0,0
sykorpe01,2005,1,ANA,1,0,0
ruutuja01,2008,1,OTT,5,2,0
giroucl01,2009,1,PHI,5,3,2
richabr01,2007,1,TBL,3,2,1
mcleabr01,2006,1,COL,3,2,1
wolskwo01,2009,2,PHO,7,0,0
savarma01,2005,1,ATL,3,1,0
spaceja01,2005,1,CHI,1,1,0
nealja01,2010,1,DAL,2,0,0
footead01,2007,1,CBS,1,0,0
hodgsco01,2011,1,VAN,3,7,2
thornjo01,2006,1,SJS,1,0,0
antroni01,2011,1,WPG,0,1,0
browndu01,2011,1,LAK,3,11,2
kostise01,2007,1,MTL,1,0,0
weighdo01,2008,1,NYI,1,0,0
recchma01,2005,2,CAR,1,0,0
sedinhe01,2008,1,VAN,1,0,0
kunitch01,2008,1,AND,1,0,0
russekr01,2009,1,CBS,1,0,0
laichbr01,2007,1,WAS,2,0,0
lapiema01,2008,1,MTL,3,2,1
kapanni01,2007,1,PHO,1,0,0
vanekth01,2009,1,BUF,5,2,0
spurgja01,2011,1,MIN,0,1,0
tavarjo01,2010,1,NYI,4,0,0
ritaja01,2005,2,PIT,1,0,0
bertuto01,2008,1,CAL,3,2,2
cassean01,2005,1,WAS,2,1,0
ruututu01,2010,1,CAR,4,1,0
zuccama01,2011,1,NYR,0,1,0
arnasty01,2005,1,CHI,3,1,0
wellwky01,2007,1,TOR,1,0,0
arnotja01,2008,1,NAS,1,1,1
rydermi01,2006,1,MTL,4,1,1
spezzja01,2007,1,OTT,6,4,1
lehtije01,2005,1,DAL,1,0,0
oshietj01,2010,1,STL,5,4,1
charazd01,2010,1,BOS,1,0,0
simjo01,2009,1,NYI,1,0,0
jagrja01,2005,1,NYR,8,2,1
dumonjp01,2009,1,NAS,2,0,0
brierda01,2005,1,BUF,4,2,1
samuemi01,2010,1,VAN,2,0,0
lupuljo01,2010,1,AND,3,1,0
armstco01,2010,1,TOR,2,2,1
purcete01,2008,1,LAK,2,0,0
williju01,2009,1,LAK,1,1,1
carteje01,2011,1,CBS,0,2,0
mcginja01,2009,1,SJS,1,0,0
schrero01,2009,1,NYI,9,5,2
lupuljo01,2006,1,EDM,2,0,0
ribeimi01,2007,1,DAL,5,1,0
vasicjo01,2007,1,NYI,1,0,0
mooredo01,2011,2,SJS,0,1,0
mackede01,2010,1,CBS,1,0,0
ruzicst01,2006,1,PHI,1,0,0
morrobr01,2011,1,DAL,0,1,0
raymoma01,2007,1,VAN,3,1,1
potulry01,2009,1,EDM,5,3,0
spaceja01,2005,1,CHI,1,1,0
nasluma02,2005,1,VAN,7,2,1
chimeja01,2005,1,CBS,1,1,1
ritolma01,2010,1,TBL,1,0,0
gonchse01,2006,1,PIT,2,0,0
zidlima01,2005,1,NAS,5,1,0
staaler01,2005,1,CAR,4,1,1
erikslo01,2009,1,DAL,9,3,2
pettima01,2006,1,WAS,4,1,0
nedvepe01,2005,2,PHI,3,1,1
nummepe01,2007,1,MIN,3,2,0
kozlovi01,2005,1,NJD,12,8,5
forsbpe01,2005,1,PHI,7,3,0
batessh01,2006,1,NYI,1,0,0
toewsjo01,2008,1,CHI,10,6,2
malonry01,2010,1,TBL,3,2,2
macarcl01,2007,1,BUF,3,0,0
barkeca01,2007,1,CHI,1,0,0
perroda01,2008,1,STL,6,3,2
zajactr01,2009,1,NJD,5,1,0
williju01,2010,1,LAK,4,1,1
brindro01,2009,1,CAR,1,0,0
huntetr01,2005,1,NYI,9,5,2
halpeje01,2009,1,TBL,3,1,1
lundmja01,2006,2,LAK,3,2,0
stajama01,2011,1,CAL,0,1,0
kubinpa01,2008,1,TOR,1,0,0
pominja01,2008,1,BUF,5,2,1
afinoma01,2005,1,BUF,5,3,2
mayorma01,2010,1,CBS,2,1,1
shattke01,2011,1,STL,1,5,1
eliaspa01,2007,1,NJD,6,5,2
eavespa01,2009,1,DET,3,0,0
hechtjo01,2009,1,BUF,4,3,1
satanmi01,2007,1,NYI,5,1,0
seabrbr01,2009,1,CHI,1,1,1
simjo01,2005,1,PHI,1,0,0
hossama01,2008,1,DET,4,2,2
fleisto01,2007,1,WAS,1,0,0
fishemi01,2010,2,NAS,1,0,0
hejdumi01,2007,1,COL,6,3,1
doughdr01,2010,1,LAK,1,0,0
ribeimi01,2007,1,DAL,5,1,0
richami02,2007,1,PHI,6,2,1
mitchto01,2009,1,SJS,1,0,0
subbapk01,2011,1,MTL,0,1,0
bourqre01,2011,1,CAL,0,1,0
horcosh01,2008,1,EDM,1,0,0
hagmani01,2011,2,AND,1,1,1
glenccu01,2010,1,CAL,3,1,1
antroni01,2011,1,WPG,0,1,0
hejdumi01,2010,1,COL,6,2,2
nielsfr01,2007,1,NYI,1,0,0
getzlry01,2009,1,AND,8,4,0
filppva01,2011,1,DET,1,3,1
dawesni01,2008,1,NYR,5,1,0
oreilry01,2009,1,COL,3,1,0
kopitan01,2011,1,LAK,1,9,0
rozsimi01,2006,1,NYR,1,0,0
crosbsi01,2010,1,PIT,4,1,0
laaksan01,2005,1,COL,3,1,1
kulemni01,2010,1,TOR,4,0,0
whitnra01,2009,1,CAR,3,1,0
oshietj01,2010,1,STL,5,4,1
brassde01,2011,1,CBS,0,1,0
thorepa01,2006,1,EDM,1,0,0
foligni01,2008,1,OTT,2,0,0
guitebe01,2007,1,COL,1,0,0
alexeni01,2006,2,CHI,1,1,1
michami01,2008,1,SJS,4,1,0
torrera01,2006,1,EDM,1,1,1
mcdonan01,2007,2,STL,3,1,1
browndu01,2006,1,LAK,8,4,1
burnsbr01,2010,1,MIN,3,1,0
phanedi01,2005,1,CAL,1,0,0
miettan01,2006,1,DAL,3,0,0
stollja01,2006,1,EDM,1,0,0
brulegi01,2011,1,PHO,1,3,0
alfreda01,2009,1,OTT,7,2,1
vorobpa01,2005,1,CHI,3,2,0
brulegi01,2006,1,CBS,1,0,0
ebbetan01,2009,3,MIN,2,1,0
lecavvi01,2007,1,TBL,3,1,0
bernist01,2008,1,VAN,1,0,0
grabomi01,2010,1,TOR,6,2,1
mooredo01,2011,1,TBL,2,4,2
parisza01,2008,1,NJD,8,4,2
parrima01,2008,1,DAL,1,0,0
wellwky01,2008,1,VAN,9,3,0
kaberto01,2007,1,TOR,4,3,1
reasoma01,2006,1,EDM,1,1,1
montast01,2008,1,AND,1,0,0
stlouma01,2010,1,TBL,5,1,1
colbojo01,2011,1,TOR,0,1,0
richami02,2005,1,PHI,7,3,1
richami02,2010,1,PHI,5,1,0
arnasty01,2007,1,COL,1,1,0
lundmja01,2009,2,TOR,1,0,0
stamkst01,2010,1,TBL,7,0,0
parrima01,2005,1,NYI,2,0,0
tangual01,2010,1,CAL,16,10,4
pyattta01,2006,1,VAN,2,0,0
salmeto01,2006,1,CHI,1,0,0
josefja01,2010,1,NJD,1,0,0
toewsjo01,2010,1,CHI,11,5,2
williju01,2009,1,LAK,1,1,1
filppva01,2006,1,DET,2,0,0
pothibr01,2006,1,WAS,1,0,0
stalbvi01,2011,1,CHI,0,5,0
rucinma01,2007,1,STL,1,0,0
lupuljo01,2008,1,PHI,2,0,0
cullema01,2011,1,MIN,7,16,3
parisza01,2011,1,NJD,8,16,0
brylise01,2007,1,NJD,1,0,0
novotji01,2007,1,CBS,2,0,0
johnsmi01,2005,1,PHO,1,0,0
laddan01,2011,1,WPG,1,3,1
savarma01,2007,1,BOS,1,0,0
stlouma01,2009,1,TBL,3,0,0
bergese01,2010,1,TBL,2,0,0
recchma01,2007,1,PIT,1,0,0
kopecto01,2011,1,FLO,0,2,0
ouellmi01,2006,1,PIT,1,0,0
hejdumi01,2007,1,COL,6,3,1
huntetr01,2009,1,NYI,2,1,1
duchema01,2010,1,COL,6,0,0
dawesni01,2009,1,CAL,8,3,0
hossama01,2008,1,DET,4,2,2
gilbeto01,2008,1,EDM,1,0,0
hossama02,2007,1,NYR,4,1,0
richabr01,2008,1,DAL,7,2,1
gordobo01,2011,1,PHO,0,1,0
shannry01,2010,1,OTT,2,0,0
verstkr01,2011,1,FLO,1,8,0
hortona01,2007,1,FLO,10,3,1
kaberto01,2009,1,TOR,1,0,0
weissst01,2007,1,FLO,6,1,1
oreilca01,2010,1,NAS,6,3,1
spezzja01,2011,1,OTT,6,10,3
myersty01,2009,1,BUF,3,1,1
stemple01,2006,1,STL,8,4,3
zettehe01,2010,1,DET,3,0,0
vermean01,2009,1,CBS,4,0,0
kennety01,2010,1,PIT,3,0,0
selante01,2005,1,ANA,7,2,0
rozsimi01,2006,1,NYR,1,0,0
recchma01,2007,2,ATL,4,1,1
rolstbr01,2008,1,NJD,1,0,0
bailejo01,2008,1,NYI,2,0,0
hedmavi01,2010,1,TBL,6,2,1
callary01,2009,1,NYR,1,0,0
lewistr01,2011,1,LAK,0,1,0
amontto01,2006,1,CAL,2,0,0
kozlovy01,2007,1,ATL,14,5,1
oshietj01,2010,1,STL,5,4,1
montast01,2006,1,FLO,2,1,0
afinoma01,2005,1,BUF,5,3,2
wellwky01,2005,1,TOR,1,0,0
kulemni01,2011,1,TOR,0,1,0
bernist01,2007,1,SJS,1,0,0
bulisja01,2006,1,VAN,1,0,0
bergepa01,2009,1,BOS,13,3,2
dawesni01,2006,1,NYR,1,0,0
holmsto01,2009,1,DET,1,0,0
strakma01,2007,1,NYR,1,0,0
osullpa01,2008,2,EDM,2,1,1
pennedu01,2009,1,EDM,6,1,0
vescery01,2009,1,SJS,1,0,0
richabr01,2006,1,TBL,12,5,2
clymebe01,2005,1,WAS,2,0,0
visnolu01,2009,1,EDM,1,1,1
staplti01,2010,1,ATL,1,1,1
schenbr01,2011,1,PHI,0,1,0
browndu01,2010,1,LAK,7,2,1
jokinol01,2009,2,NYR,1,0,0
peverri01,2008,2,ATL,3,0,0
subbapk01,2010,1,MTL,2,0,0
hagmani01,2007,1,DAL,3,1,1
forsbpe01,2005,1,PHI,7,3,0
klepija01,2005,1,WAS,2,0,0
torrera01,2006,1,EDM,1,1,1
robitra01,2006,1,PHI,1,0,0
stollja01,2009,1,LAK,6,2,2
bertuto01,2009,1,DET,8,4,2
peltovi01,2008,1,FLO,1,0,0
mooredo01,2011,2,SJS,0,1,0
mitchjo02,2009,1,TOR,3,2,1
williju01,2008,1,CAR,1,0,0
spezzja01,2007,1,OTT,6,4,1
parenpi01,2011,1,NYI,2,6,1
stajama01,2011,1,CAL,0,1,0
kanepa01,2008,1,CHI,9,3,1
cammami01,2008,1,CAL,5,1,0
pietral01,2011,1,STL,0,1,0
froloal01,2010,1,NYR,1,0,0
wolskwo01,2008,1,COL,12,10,2
upshasc01,2006,2,PHI,1,0,0
chriser01,2008,1,ATL,4,2,2
stamkst01,2008,1,TBL,5,1,1
pecami01,2005,1,EDM,5,2,0
nagyla01,2005,1,PHO,5,1,1
karlser01,2010,1,OTT,3,1,1
kopitan01,2007,1,LAK,8,3,0
vorobpa01,2005,1,CHI,3,2,0
hartite01,2010,1,EDM,1,0,0
stumpjo01,2005,1,FLO,3,0,0
dumonjp01,2005,1,BUF,1,0,0
steenal01,2006,1,TOR,2,1,0
youngsc01,2005,1,STL,1,0,0
prospva01,2008,1,TBL,5,0,0
verstkr01,2008,1,CHI,2,1,1
pennedu01,2010,2,LAK,1,0,0
mackede01,2010,1,CBS,1,0,0
gocma01,2010,1,NAS,6,2,2
salosa01,2008,1,VAN,1,0,0
letowtr01,2005,1,CBS,4,2,1
whitnra01,2011,1,PHO,6,11,3
staaler01,2006,1,CAR,3,0,0
froloal01,2005,1,LAK,4,3,1
tkachke01,2005,1,STL,3,1,0
clarkda03,2011,1,NJD,1,2,1
fleisto01,2009,1,WAS,4,1,1
havlama01,2006,1,CHI,6,2,1
setogde01,2008,1,SJS,2,0,0
langro01,2009,1,PHO,8,5,2
mcdonan01,2005,1,ANA,6,2,0
perroda01,2008,1,STL,6,3,2
connoti01,2008,1,BUF,6,1,0
bradlma01,2009,1,WAS,2,0,0
jokinju01,2008,1,TBL,9,3,0
kesseph01,2009,1,TOR,7,3,2
filatni01,2009,1,CBS,2,0,0
hechtjo01,2010,1,BUF,1,1,1
staaler01,2006,1,CAR,3,0,0
gueribi01,2007,1,NYI,4,2,0
hemskal01,2009,1,EDM,4,2,1
dawesni01,2008,1,NYR,5,1,0
tedenma01,2010,1,NJD,3,0,0
maddejo01,2006,1,NJD,6,4,3
perezal01,2006,1,MTL,2,0,0
marlepa01,2010,1,SJS,3,0,0
niedero01,2006,1,AND,2,0,0
connech01,2010,1,PIT,1,0,0
nylanmi01,2006,1,NYR,13,5,1
parisza01,2006,1,NJD,14,7,2
hallad01,2010,1,TBL,7,2,0
kobasch01,2009,2,MIN,1,0,0
stpiema01,2006,1,CHI,1,0,0
clarkch01,2009,1,WAS,1,1,1
thornjo01,2006,1,SJS,1,0,0
thornjo01,2005,1,BOS,2,1,0
forsbpe01,2006,1,PHI,5,1,1
laichbr01,2009,1,WAS,3,1,0
beaucfr01,2008,1,AND,1,0,0
peltovi01,2008,1,FLO,1,0,0
raymoma01,2011,1,VAN,2,9,2
giontbr01,2008,1,NJD,2,0,0
williju01,2010,1,LAK,4,1,1
okposky01,2007,1,NYI,2,1,0
huselkr01,2006,1,CAL,5,1,0
suttebr03,2011,1,CAR,0,1,0
samuemi01,2009,1,VAN,3,1,1
alfreda01,2005,1,OTT,8,2,1
glenccu01,2011,1,CAL,0,3,0
strudja01,2005,1,NYR,1,1,0
stewach02,2011,1,STL,0,1,0
oreilca01,2011,3,PIT,0,1,0
pyattta01,2009,1,PHO,1,0,0
chriser01,2007,2,ATL,3,1,1
sharppa01,2009,1,CHI,10,2,2
mitchto01,2009,1,SJS,1,0,0
richami02,2011,1,LAK,3,9,2
pahlssa01,2009,1,CBS,1,0,0
koivumi01,2008,1,MIN,6,2,1
seminal01,2006,1,WAS,10,2,1
royde01,2011,1,BUF,2,5,2
shattke01,2011,1,STL,1,5,1
kovalil01,2007,1,ATL,10,4,2
kanepa01,2008,1,CHI,9,3,1
whitnra01,2008,1,CAR,2,0,0
gocma01,2010,1,NAS,6,2,2
koivumi01,2006,1,MIN,15,8,4
streima01,2006,1,MTL,1,0,0
tkachke01,2005,1,STL,3,1,0
bergese01,2011,1,FLO,0,4,0
vyborda01,2005,1,CBS,7,1,1
browndu01,2008,1,LAK,6,1,0
reinpst01,2007,1,PHO,2,0,0
sharppa01,2007,1,CHI,5,1,1
nylanmi01,2006,1,NYR,13,5,1
hodgsco01,2011,1,VAN,3,7,2
artyuev01,2008,1,TBL,3,1,1
