year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1926,NHL,NYR,NYR,,AM,1,SF,44,25,13,6.0,,56,,,95,72,Нью-Йоркские рейнджеры,385.0,,,,,,,
1927,NHL,NYR,NYR,,AM,2,ПК,44,19,16,9.0,,47,,,94,79,Нью-Йоркские рейнджеры,463.0,,,,,,,
1928,NHL,NYR,NYR,,AM,2,F,44,21,13,10.0,,52,,,72,65,Нью-Йоркские рейнджеры,382.0,,,,,,,
1929,NHL,NYR,NYR,,AM,3,SF,44,17,17,10.0,,44,,,136,143,Нью-Йоркские рейнджеры,437.0,,,,,,,
1930,NHL,NYR,NYR,,AM,3,SF,44,19,16,9.0,,47,,,106,87,Нью-Йоркские рейнджеры,516.0,,,,,,,
1931,NHL,NYR,NYR,,AM,1,F,48,23,17,8.0,,54,,,134,112,Нью-Йоркские рейнджеры,511.0,,,,,,,
1932,NHL,NYR,NYR,,AM,3,ПК,48,23,17,8.0,,54,,,135,107,Нью-Йоркские рейнджеры,599.0,,,,,,,
1933,NHL,NYR,NYR,,AM,3,QF,48,21,19,8.0,,50,,,120,113,Нью-Йоркские рейнджеры,401.0,,,,,,,
1934,NHL,NYR,NYR,,AM,3,SF,48,22,20,6.0,,50,,,137,139,Нью-Йоркские рейнджеры,341.0,,,,,,,
1935,NHL,NYR,NYR,,AM,4,,48,19,17,12.0,,50,,,91,96,Нью-Йоркские рейнджеры,387.0,,,,,,,
1936,NHL,NYR,NYR,,AM,3,F,48,19,20,9.0,,47,,,117,106,Нью-Йоркские рейнджеры,312.0,,,,,,,
1937,NHL,NYR,NYR,,AM,2,QF,48,27,15,6.0,,60,,,149,96,Нью-Йоркские рейнджеры,445.0,,,,,,,
1938,NHL,NYR,NYR,,,2,SF,48,26,16,6.0,,58,,,149,105,Нью-Йоркские рейнджеры,387.0,,,,,,,
1939,NHL,NYR,NYR,,,2,ПК,48,27,11,10.0,,64,,,136,77,Нью-Йоркские рейнджеры,510.0,,,,,,,
1940,NHL,NYR,NYR,,,4,QF,48,21,19,8.0,,50,,,143,125,Нью-Йоркские рейнджеры,356.0,,,,,,,
1941,NHL,NYR,NYR,,,1,SF,48,29,17,2.0,,60,,,177,143,Нью-Йоркские рейнджеры,390.0,,,,,,,
1942,NHL,NYR,NYR,,,6,,50,11,31,8.0,,30,,,161,253,Нью-Йоркские рейнджеры,352.0,,,,,,,
1943,NHL,NYR,NYR,,,6,,50,6,39,5.0,,17,,,162,310,Нью-Йоркские рейнджеры,253.0,,,,,,,
1944,NHL,NYR,NYR,,,6,,50,11,29,10.0,,32,,,154,247,Нью-Йоркские рейнджеры,315.0,,,,,,,
1945,NHL,NYR,NYR,,,6,,50,13,28,9.0,,35,,,144,191,Нью-Йоркские рейнджеры,285.0,,,,,,,
1946,NHL,NYR,NYR,,,5,,60,22,32,6.0,,50,,,167,186,Нью-Йоркские рейнджеры,418.0,,,,,,,
1947,NHL,NYR,NYR,,,4,SF,60,21,26,13.0,,55,,,176,201,Нью-Йоркские рейнджеры,482.0,,,,,,,
1948,NHL,NYR,NYR,,,6,,60,18,31,11.0,,47,,,133,172,Нью-Йоркские рейнджеры,413.0,,,,,,,
1949,NHL,NYR,NYR,,,4,F,70,28,31,11.0,,67,,,170,189,Нью-Йоркские рейнджеры,639.0,,,,,,,
1950,NHL,NYR,NYR,,,5,,70,20,29,21.0,,61,,,169,201,Нью-Йоркские рейнджеры,776.0,,,,,,,
1951,NHL,NYR,NYR,,,5,,70,23,34,13.0,,59,,,192,219,Нью-Йоркские рейнджеры,530.0,,,,,,,
1952,NHL,NYR,NYR,,,6,,70,17,37,16.0,,50,,,152,211,Нью-Йоркские рейнджеры,548.0,,,,,,,
1953,NHL,NYR,NYR,,,5,,70,29,31,10.0,,68,,,161,182,Нью-Йоркские рейнджеры,717.0,,,,,,,
1954,NHL,NYR,NYR,,,5,,70,17,35,18.0,,52,,,150,210,Нью-Йоркские рейнджеры,692.0,,,,,,,
1955,NHL,NYR,NYR,,,3,SF,70,32,28,10.0,,74,,,204,203,Нью-Йоркские рейнджеры,911.0,,,,,,,
1956,NHL,NYR,NYR,,,4,SF,70,26,30,14.0,,66,,,184,227,Нью-Йоркские рейнджеры,870.0,,,,,,,
1957,NHL,NYR,NYR,,,2,SF,70,32,25,13.0,,77,,,195,188,Нью-Йоркские рейнджеры,781.0,,,,,,,
1958,NHL,NYR,NYR,,,5,,70,26,32,12.0,,64,,,201,217,Нью-Йоркские рейнджеры,860.0,,,,,,,
1959,NHL,NYR,NYR,,,6,,70,17,38,15.0,,49,,,187,247,Нью-Йоркские рейнджеры,850.0,,,,,,,
1960,NHL,NYR,NYR,,,5,,70,22,38,10.0,,54,,,204,248,Нью-Йоркские рейнджеры,591.0,,,,,,,
1961,NHL,NYR,NYR,,,4,SF,70,26,32,12.0,,64,,,195,207,Нью-Йоркские рейнджеры,644.0,,,,,,,
1962,NHL,NYR,NYR,,,5,,70,22,36,12.0,,56,,,211,233,Нью-Йоркские рейнджеры,657.0,,,,,,,
1963,NHL,NYR,NYR,,,5,,70,22,38,10.0,,54,,,186,242,Нью-Йоркские рейнджеры,715.0,,40.0,253.0,6.0,44.0,206.0,3.0
1964,NHL,NYR,NYR,,,5,,70,20,38,12.0,,52,,,179,246,Нью-Йоркские рейнджеры,760.0,,55.0,321.0,9.0,43.0,267.0,7.0
1965,NHL,NYR,NYR,,,6,,70,18,41,11.0,,47,,,195,261,Нью-Йоркские рейнджеры,894.0,,44.0,282.0,2.0,63.0,282.0,2.0
1966,NHL,NYR,NYR,,,4,SF,70,30,28,12.0,,72,,,188,189,Нью-Йоркские рейнджеры,664.0,,35.0,199.0,4.0,30.0,199.0,4.0
1967,NHL,NYR,NYR,,ED,2,QF,74,39,23,12.0,,90,,,226,183,Нью-Йоркские рейнджеры,669.0,,46.0,217.0,7.0,42.0,223.0,1.0
1968,NHL,NYR,NYR,,ED,3,QF,76,41,26,9.0,,91,,,231,196,Нью-Йоркские рейнджеры,806.0,,56.0,275.0,9.0,35.0,223.0,4.0
1969,NHL,NYR,NYR,,ED,4,QF,76,38,22,16.0,,92,,,246,189,Нью-Йоркские рейнджеры,853.0,10.0,52.0,295.0,7.0,40.0,269.0,7.0
1970,NHL,NYR,NYR,,ED,2,SF,78,49,18,11.0,,109,,,259,177,Нью-Йоркские рейнджеры,952.0,8.0,60.0,234.0,3.0,41.0,253.0,5.0
1971,NHL,NYR,NYR,,ED,2,F,78,48,17,13.0,,109,,,317,192,Нью-Йоркские рейнджеры,1010.0,4.0,60.0,257.0,10.0,44.0,282.0,14.0
1972,NHL,NYR,NYR,,ED,3,SF,78,47,23,8.0,,102,,,297,208,Нью-Йоркские рейнджеры,765.0,8.0,54.0,238.0,5.0,39.0,250.0,5.0
1973,NHL,NYR,NYR,,ED,3,SF,78,40,24,14.0,,94,,,300,251,Нью-Йоркские рейнджеры,782.0,2.0,66.0,222.0,2.0,45.0,239.0,9.0
1974,NHL,NYR,NYR,CC,PT,2,PRE,80,37,29,14.0,,88,,,319,276,Нью-Йоркские рейнджеры,1053.0,12.0,84.0,296.0,7.0,54.0,295.0,6.0
1975,NHL,NYR,NYR,CC,PT,4,,80,29,42,9.0,,67,,,262,333,Нью-Йоркские рейнджеры,911.0,12.0,67.0,323.0,11.0,68.0,277.0,3.0
1976,NHL,NYR,NYR,CC,PT,4,,80,29,37,14.0,,72,,,272,310,Нью-Йоркские рейнджеры,1164.0,18.0,60.0,290.0,16.0,55.0,268.0,6.0
1977,NHL,NYR,NYR,CC,PT,4,PRE,80,30,37,13.0,,73,,,279,280,Нью-Йоркские рейнджеры,1057.0,8.0,78.0,279.0,6.0,48.0,244.0,10.0
1978,NHL,NYR,NYR,CC,PT,3,F,80,40,29,11.0,,91,,,316,292,Нью-Йоркские рейнджеры,1214.0,14.0,75.0,306.0,12.0,78.0,311.0,9.0
