type,code,fullname
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Отдел,АД,Отдел Адамса
Круглая,ПКФ,Финал Кубка Стэнли
Отдел,PT,Отдел Патрика
Круглая,F,Финал
Воспроизведение,ПК,Выиграл Кубок Стэнли
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Круглая,СФК,Полуфинал Конференции
Круглая,CF,Заключительные документы Конференции
Зал,ВК,Западная конференция
Воспроизведение,WF,Потерянные финалы WCHL
Отдел,ПК,Тихоокеанский отдел
Воспроизведение,F,Проиграл финал Кубка Стэнли
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Круглая,DSF,Полуфинал
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Воспроизведение,ПФ,Потерянные финалы PCHA
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Круглая,CQF,Квартира-финансы конференций
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Круглая,РГ,Западный плейофф
Воспроизведение,НФЧМ,Проигранные финалы NHL
Отдел,КА,Канадский отдел
Отдел,Ред.,Восточный отдел
Воспроизведение,AVC,Выиграл Кубок АВКО
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Круглая,QF,Четверо-финал
Круглая,Предварительно,Предварительные данные
Круглая,СКФ,Кубок Стэнли Полуфинал
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Воспроизведение,QF,Потерянный четвертьфинал NHL
Отдел,Нет,Северо-восточный отдел
Отдел,SE,Юго-восточный отдел
Отдел,НО,Северо-западный отдел
Отдел,WD,Западный отдел
Отдел,Нет,Отдел Норриса
Отдел,WW,WHA West Division
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,SF,Потерянные полуфиналы NHL
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Отдел,SM,Отдел Смайта
Отдел,АТ,Атлантический отдел
Зал,WA,Конференция в Уэльсе
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Воспроизведение,DF,Проигранные финалы по разделу NHL
Зал,ЕС,Восточная конференция
Отдел,ЭВ,Восточная дивизия WHA
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Круглая,РВК,Финал Кубка Авто
Отдел,АМ,Американский отдел
Воспроизведение,НКАФ,Проигранные финалы NHA
Отдел,ХО,Отдел по делам женщин Канады
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Отдел,СЕ,Центральный отдел
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Круглая,SF,Полуфинал
