year,hofid,name,category
1974,haych01h,Чарльз Хей,Строитель
1981,mahovfr01h,Фрэнк Маховлич,Игрок
2001,gartnmi01h,Майк Гартнер,Игрок
1971,sawchte01h,Терри Савчук,Игрок
1967,oliveha01h,Гарри Оливер,Игрок
1965,russebl01h,Блэр Рассел,Игрок
1970,lebelro01h,Боб Лебель,Строитель
1950,davidal01h,Скотти Дэвидсон,Игрок
1962,ahearfr01h,Фрэнк Ахрин,Строитель
2008,scapira01h,Рэй Скапинелло,Референт/Линсман
1980,worslgu01h,Гамп Уорсли,Игрок
2008,chynoed01h,Эд Чиновет,Строитель
1961,rankifr01h,Фрэнк Ранкин,Игрок
1995,cookbu01h,Булочная кухня,Игрок
1993,smithbi01h,Билли Смит,Игрок
1947,shoreed01h,Эдди Шор,Игрок
1964,durnabi01h,Билл Дурнан,Игрок
1989,sittlda01h,Дэррил Ситлер,Игрок
1970,dyeba01h,Детка Дай,Игрок
1958,pickaal01h,Алан Пикард,Строитель
1958,fredrfr01h,Фрэнк Фредриксон,Игрок
1974,vossca01h,Карл Восс,Строитель
2009,yzermst01h,Стив Езерман,Игрок
1983,drydeke01h,Кен Драйден,Игрок
1987,ziegljo01h,Джон Зиглер,Строитель
1968,hendyji01h,Джим Хенди,Строитель
1978,pronoma01h,Марсель Проновост,Игрок
1947,robincl01h,Клод Робинсон,Строитель
1999,vanhean01h,Энди Ван Хеллемонд,Референт/Линсман
1981,bucykjo01h,Джон Букик,Игрок
1964,campban01h,Ангус Кэмпбелл,Строитель
1964,chadwbi01h,Билл Чедвик,Референт/Линсман
1963,primejo01h,Джо Праймау,Игрок
1998,conacro01h,Рой Коначер,Игрок
1967,brodatu01h,Турк Брода,Игрок
1958,moranpa01h,Пэдди Моран,Игрок
1962,broadpu01h,Удар по ширине,Игрок
1988,oconnbu01h,Приятель О'Коннор,Игрок
2010,granaca01h,Кэмми Гранато,Игрок
1966,campbcl01h,Кларенс Кэмпбелл,Строитель
2000,bushwa01h,Уолтер Буш,Строитель
1986,savarse01h,Серж Савард,Игрок
1962,pitredi01h,Дидье Питр,Игрок
1991,pulfobo01h,Боб Пулфорд,Игрок
1977,ahearbu01h,Зайка Ахерне,Строитель
1958,bouchfr01h,Фрэнк Бушер,Игрок
1987,laperja01h,Жак Лаперьере,Игрок
1962,camerha01h,Гарри Кэмерон,Игрок
1985,pilouru01h,Руди Пилиус,Строитель
1983,mikitst01h,Стэн Микита,Игрок
2009,hullbr01h,Бретт-Холл,Игрок
1961,loicqpa01h,Пол Лойк,Строитель
1998,goulemi01h,Мишель Гуле,Игрок
1960,kilpajo01h,Джон Килпатрик,Строитель
1964,bentldo01h,Даг Бентли,Игрок
1972,howego01h,Горди Хоу,Игрок
2001,fetisvi01h,Виачеслав Фетисов,Игрок
1947,caldefr01h,Фрэнк Кальдер,Строитель
1958,gardihe01h,Герб Гардинер,Игрок
1945,morenho01h,Хоуи Моренц,Игрок
1986,keonda01h,Дэйв Кин,Игрок
1947,nelsofr01h,Фрэнсис Нельсон,Строитель
1945,stanlfr01h,Фредерик Стэнли,Строитель
1962,westwha01h,Гарри Вествик,Игрок
1950,griffsi01h,Си Гриффис,Игрок
1988,esposto01h,Тони Эспозито,Игрок
1994,conacli01h,Лайонел Конахер,Игрок
1991,smithcl01h,Клинт Смит,Игрок
1950,lalonne01h,Новости Лалонда,Игрок
1965,russeer01h,Эрни Расселл,Игрок
1959,thompti01h,Маленький Томпсон,Игрок
2001,kurrija01h,Яри Курри,Игрок
1969,kellyre01h,Красная Келли,Игрок
1963,seibeea01h,Эрл Защищенный,Игрок
1945,phillto01h,Томми Филлипс,Игрок
2006,roypa01h,Патрик Рой,Игрок
