name,id,award,year,lgid,note
Джон Зиглер,ziegljo01h,Патрик,1983,NHL,
&lt; &lt; Арбур &gt; &gt;,arboual01,Патрик,1991,NHL,
Эдди Шор,shoreed01,Патрик,1969,NHL,
Боб Пулфорд,pulfobo01,Патрик,2010,NHL,
Линн Патрик,patrily01,Патрик,1988,NHL,посмертно
Фрэнк Бушер,bouchfr01,Патрик,1992,NHL,
Сеймур Х. Нокс III,,Патрик,1996,NHL,посмертно
1998 год Олимпийская женская хоккейная команда США,,Патрик,1998,NHL,
Уильям Вирц,wirtzwi01h,Патрик,1977,NHL,
Уильям Дженнингс,jenniwi01h,Патрик,1970,NHL,
Джон Майасич,,Патрик,1997,NHL,
Брайан Литч,leetcbr01,Патрик,2006,NHL,
Гарри Синден,sindeha01c,Патрик,1998,NHL,
Джон Б. Солленбергер,,Патрик,1970,NHL,посмертно
Билл Чедвик,chadwbi01h,Патрик,1974,NHL,
Роберт Райддер,,Патрик,1993,NHL,
Марсель Дионн,dionnma01,Патрик,2005,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,посмертно
Горди Хоу,howego01,Патрик,1966,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Джерри Йорк,,Патрик,2009,NHL,
Лу Нанна,nannelo01,Патрик,1988,NHL,
Фред Кузик,,Патрик,1987,NHL,
Брюс Норрис,norribr01h,Патрик,1975,NHL,
Нил Бротен,brotene01,Патрик,1997,NHL,
Джон МакИннес,,Патрик,1985,NHL,
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Стэн Микита,mikitst01,Патрик,1975,NHL,
Майк Ильич,ilitcmi01h,Патрик,1990,NHL,
Фрэнк Мэтерс,mathefr01,Патрик,1986,NHL,
Бобби Халл,hullbo01,Патрик,1968,NHL,
Джек Баттерфилд,butteja01h,Патрик,1984,NHL,
Билл Торри,torrebi01h,Патрик,1982,NHL,
"Джон А. ""Снукс"" Келли",,Патрик,1971,NHL,
Джеймс Д. Норрис,norrija03h,Патрик,1971,NHL,посмертно
Том Фитцджеральд,,Патрик,1977,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Кен Морроу,morroke01,Патрик,1995,NHL,
Фил Эспозито,esposph01,Патрик,1977,NHL,
Бобби Орр,orrbo01,Патрик,1978,NHL,
Лу Вайро,,Патрик,1999,NHL,
Фред Шеро,sherofr01,Патрик,1979,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Дэвид Пойл,,Патрик,2000,NHL,
Томас Локхарт,lockhth01h,Патрик,1967,NHL,
Олимпийская хоккейная команда США 1960 года,,Патрик,2001,NHL,
Тед Линдси,lindste01,Патрик,2007,NHL,
Крейг Патрик,patricr01,Патрик,1999,NHL,
Джефф Зауэр,,Патрик,2010,NHL,
Бад Пойл,poilebu01,Патрик,1988,NHL,
Херб Брукс,brookhe01c,Патрик,2001,NHL,
Эмиль Фрэнсис,francem01,Патрик,1981,NHL,
Боб Негеле,,Патрик,2007,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Артур Вирц,wirtzar01h,Патрик,1984,NHL,
Бобби Кларк,clarkbo01,Патрик,1979,NHL,
Гил Штейн,,Патрик,1992,NHL,
Джо Маллен,mullejo01,Патрик,1994,NHL,
Скотти Боуман,bowmasc01c,Патрик,2000,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,посмертно
Красная Даттон,duttore01,Патрик,1992,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Джеймс Норрис,norrija02h,Патрик,1966,NHL,посмертно
Алекс Дельвеккио,delveal01,Патрик,1973,NHL,
Майк Рихтер,richtmi01,Патрик,2008,NHL,
Арт Росс,rossar01,Патрик,1983,NHL,посмертно
Эд Снайдер,snideed01h,Патрик,1979,NHL,
Мюррей Армстронг,armstmu01,Патрик,1976,NHL,
Рэй Мирон,,Патрик,2003,NHL,
Лу Ламориелло,lamorlo01c,Патрик,1991,NHL,
Джим Хенди,hendyji01h,Патрик,1969,NHL,посмертно
Макс Макнаб,mcnabma01,Патрик,1997,NHL,
Уильям Татт,tuttwi01h,Патрик,1977,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Фил Хоузли,houslph01,Патрик,2007,NHL,
Джон Дэвидсон,davidjo01,Патрик,2003,NHL,
Брайан Маллен,mullebr01,Патрик,1994,NHL,
Чарльз Адамс,adamsch01h,Патрик,1966,NHL,посмертно
Вилли О'Ри,oreewi01,Патрик,2002,NHL,
Кэм Нили,neelyca01,Патрик,2009,NHL,
Арт Берглунд,,Патрик,1991,NHL,
Вестон Адамс,adamswe01h,Патрик,1973,NHL,посмертно
Джон Мариуччи,mariujo01,Патрик,1976,NHL,
Питер Карманос,,Патрик,1997,NHL,
Джим Девеллано,,Патрик,2008,NHL,
Кларенс Кэмпбелл,campbcl01h,Патрик,1971,NHL,
Терри Савчук,sawchte01,Патрик,1970,NHL,посмертно
Лен Сегларски,,Патрик,1989,NHL,
Джордж Гунд,,Патрик,1995,NHL,
Джон Килпатрик,kilpajo01h,Патрик,1967,NHL,посмертно
Чарльз Л. Кроват,,Патрик,1973,NHL,посмертно
Марк Джонсон,johnsma02,Патрик,2010,NHL,
Кит Аллен,allenke01,Патрик,1987,NHL,
Милт Шмидт,schmimi01,Патрик,1995,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Стэн Фишлер,,Патрик,2006,NHL,
Куни Вейланд,weilaco01,Патрик,1971,NHL,
Марк Мессье,messima01,Патрик,2008,NHL,
Пэт Лафонтен,lafonpa01,Патрик,1996,NHL,
Майк Эмрик,,Патрик,2003,NHL,
Билл Клири,,Патрик,1996,NHL,
Рон ДеГрегорио,,Патрик,2002,NHL,
Стив Езерман,yzermst01,Патрик,2005,NHL,
Джек Паркер,,Патрик,2009,NHL,
Красный Беренсон,berenre01,Патрик,2005,NHL,
Глен Сонмор,sonmogl01,Патрик,2005,NHL,
Ларри Плео,pleaula01,Патрик,2001,NHL,
Кэмми Гранато,,Патрик,2006,NHL,
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Брайан Бёрк,,Патрик,2007,NHL,
Марио Лемиё,lemiema01,Патрик,1999,NHL,
Боб Флеминг,,Патрик,1994,NHL,
Дэйв Эндрюс,,Патрик,2009,NHL,
Уэйн Грецки,gretzwa01,Патрик,1993,NHL,
Джон Хэллиган,,Патрик,2006,NHL,
Тони Росси,,Патрик,2010,NHL,
Рэймонд Бурк,bourqra01,Патрик,2002,NHL,
Джон Букик,bucykjo01,Патрик,1976,NHL,
Эд Джеремайя,jeremed01,Патрик,1968,NHL,посмертно
Чарльз М. Шульц,,Патрик,1980,NHL,
