year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1959,SF,A,MTL,NHL,CHI,NHL,4,0,0,14,6,
1996,CQF,B,BUF,NHL,OTT,NHL,4,3,0,14,13,
2007,CQF,G,COL,NHL,MIN,NHL,4,2,0,17,12,
1965,ПКФ,C,MTL,NHL,DET,NHL,4,2,0,18,14,
1984,DSF,A,MTL,NHL,BOS,NHL,3,2,0,19,17,
1973,DF,,CHC,WHA,TOT,WHA,4,3,0,34,27,
1989,DF,I,BOS,NHL,MTL,NHL,4,1,0,16,12,
1974,Предварительно,B,CHI,NHL,BOS,NHL,2,1,0,12,15,
1984,CF,М,PHI,NHL,QUE,NHL,4,2,0,17,12,
2008,CQF,G,VAN,NHL,STL,NHL,4,0,0,11,5,
1985,CF,М,MTL,NHL,NYR,NHL,4,1,0,15,9,
1993,CF,Н,VAN,NHL,TOR,NHL,4,1,0,16,9,
1987,CF,Н,EDM,NHL,DET,NHL,4,1,0,23,16,
1922,F,,OTS,NHL,MTL,NHL,1,1,0,3,2,ТГ
2009,CQF,C,BOS,NHL,BUF,NHL,4,2,0,16,15,
2008,CQF,B,WAS,NHL,NYR,NHL,4,3,0,19,11,
2009,ПКФ,O,CHI,NHL,PHI,NHL,4,2,0,25,22,
2008,СФК,К,DET,NHL,AND,NHL,4,3,0,22,17,
1997,CQF,B,MTL,NHL,PIT,NHL,4,2,0,18,15,
1989,DSF,A,BOS,NHL,HAR,NHL,4,3,0,23,21,
1913,ПКФ,,TBS,NHA,VA1,PCHA,3,0,0,13,8,
1969,QF,B,BOS,NHL,NYR,NHL,4,2,0,25,16,
1979,Предварительно,D,BOS,NHL,PIT,NHL,3,2,0,21,14,
1972,DSF,,NEW,WHA,OTN,WHA,4,1,0,24,17,
1999,СФК,I,PHI,NHL,PIT,NHL,4,2,0,15,14,
1997,CF,М,WAS,NHL,BUF,NHL,4,2,0,13,11,
1998,СФК,L,COL,NHL,DET,NHL,4,2,0,21,14,
1998,СФК,К,DAL,NHL,STL,NHL,4,2,0,17,12,
1970,QF,B,NYR,NHL,TOR,NHL,4,2,0,16,15,
1986,ПКФ,O,EDM,NHL,PHI,NHL,4,3,0,22,18,
1956,ПКФ,C,MTL,NHL,BOS,NHL,4,1,0,15,6,
1991,DF,J,PIT,NHL,NYR,NHL,4,2,0,24,19,
1994,CQF,G,VAN,NHL,STL,NHL,4,3,0,27,27,
1987,DSF,A,MTL,NHL,HAR,NHL,4,2,0,23,20,
1993,СФК,К,TOR,NHL,SJS,NHL,4,3,0,26,21,
1982,DSF,D,NYI,NHL,WAS,NHL,3,1,0,19,11,
1985,DSF,B,MTL,NHL,BOS,NHL,3,0,0,10,6,
1928,QF,B,NYR,NHL,NYA,NHL,1,0,1,1,0,ТГ
1959,SF,B,TOR,NHL,DET,NHL,4,2,0,20,16,
1978,QF,G,BOS,NHL,PIT,NHL,4,0,0,16,7,
1972,QF,A,MTL,NHL,BUF,NHL,4,2,0,21,16,
1989,DF,К,CHI,NHL,STL,NHL,4,3,0,28,22,
1982,DSF,Н,CAL,NHL,VAN,NHL,3,1,0,17,14,
1965,SF,B,DET,NHL,CHI,NHL,4,2,0,22,10,
1977,SF,,QUN,WHA,NEW,WHA,1,4,0,14,25,
1986,DSF,G,EDM,NHL,LAK,NHL,4,1,0,32,20,
1988,DSF,F,STL,NHL,MNS,NHL,4,1,0,23,15,
1977,Предварительно,A,PHI,NHL,COR,NHL,2,0,0,6,3,
1998,CF,М,BUF,NHL,TOR,NHL,4,1,0,21,16,
1923,СКФ,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1992,DSF,D,NYI,NHL,WAS,NHL,4,2,0,23,22,
1975,SF,,HOU,WHA,NEW,WHA,4,3,0,19,21,
1923,ПКФ,,MTL,NHL,CAT,WCHL,2,0,0,9,1,
1988,DSF,D,PIT,NHL,NYR,NHL,4,0,0,19,11,
1919,F,,SEA,PCHA,VML,PCHA,1,1,0,7,3,ТГ
1995,CQF,A,PHI,NHL,TBL,NHL,4,2,0,26,13,
2000,СФК,J,PIT,NHL,BUF,NHL,4,3,0,17,17,
1993,CQF,E,SJS,NHL,DET,NHL,4,3,0,21,27,
1937,QF,C,CHI,NHL,MTL,NHL,2,1,0,11,8,
1923,РГ,,CAT,WCHL,VAM,PCHA,2,1,0,10,7,
1978,Предварительно,C,TOR,NHL,ATF,NHL,2,0,0,9,5,
1974,QF,,HOU,WHA,CLC,WHA,4,1,0,24,14,
1974,SF,,HOU,WHA,SDM,WHA,4,0,0,17,5,
2000,CQF,A,NJD,NHL,CAR,NHL,4,2,0,20,8,
1994,СФК,К,DET,NHL,SJS,NHL,4,0,0,24,6,
1975,QF,,HOU,WHA,SDM,WHA,4,2,0,26,19,
2006,ПКФ,O,AND,NHL,OTT,NHL,4,1,0,16,11,
1927,ПКФ,E,NYR,NHL,MTM,NHL,3,2,0,5,6,
1945,ПКФ,C,MTL,NHL,BOS,NHL,4,1,0,19,13,
1974,Предварительно,D,NYI,NHL,NYR,NHL,2,1,0,10,13,
2002,CQF,F,ANA,NHL,DET,NHL,4,0,0,10,6,
1992,DF,К,TOR,NHL,STL,NHL,4,3,0,22,11,
1991,DSF,E,DET,NHL,MNS,NHL,4,3,0,23,19,
1996,CQF,A,NJD,NHL,MTL,NHL,4,1,0,22,11,
1980,Предварительно,Н,MNS,NHL,BOS,NHL,3,0,0,20,13,
1981,DF,К,NYI,NHL,NYR,NHL,4,2,0,27,20,
1977,QF,G,TOR,NHL,NYI,NHL,4,3,0,16,13,
1934,QF,C,NYR,NHL,MTL,NHL,2,0,0,6,5,ТГ
1972,DSF,,NEW,WHA,OTN,WHA,4,1,0,24,17,
1992,DSF,D,NYI,NHL,WAS,NHL,4,2,0,23,22,
1985,DSF,D,WAS,NHL,NYI,NHL,3,0,0,11,4,
1925,SF,,VIC,WCHL,SAS,WCHL,1,0,1,4,3,ТГ
1926,QF,B,BOS,NHL,CHI,NHL,1,0,1,10,5,ТГ
1969,QF,C,STL,NHL,MNS,NHL,4,2,0,20,16,
2001,CQF,G,SJS,NHL,PHO,NHL,4,1,0,13,7,
2010,CQF,B,PHI,NHL,BUF,NHL,4,3,0,22,18,
1950,ПКФ,C,TOR,NHL,MTL,NHL,4,1,0,13,10,
1990,DF,L,EDM,NHL,LAK,NHL,4,2,0,21,20,
1985,DSF,F,STL,NHL,MNS,NHL,3,2,0,18,20,
2000,CF,М,NJD,NHL,PIT,NHL,4,1,0,17,7,
1998,CQF,C,BOS,NHL,CAR,NHL,4,2,0,16,10,
1981,DSF,C,CHI,NHL,MNS,NHL,3,1,0,14,14,
2000,ПКФ,O,COL,NHL,NJD,NHL,4,3,0,19,11,
1969,SF,F,STL,NHL,PIT,NHL,4,2,0,19,10,
1991,DF,L,EDM,NHL,VAN,NHL,4,2,0,18,15,
1927,QF,B,NYR,NHL,PIP,NHL,1,1,0,6,4,ТГ
1968,SF,E,MTL,NHL,BOS,NHL,4,2,0,15,16,
2005,CQF,E,EDM,NHL,DET,NHL,4,2,0,19,17,
2002,ПКФ,O,NJD,NHL,ANA,NHL,4,3,0,19,12,
1913,F,,TBS,NHA,MOC,NHA,1,1,0,6,2,ТГ
2000,СФК,К,COL,NHL,LAK,NHL,4,3,0,17,10,
1970,QF,D,MNS,NHL,STL,NHL,4,2,0,16,15,
1977,QF,F,BOS,NHL,CHI,NHL,4,0,0,19,9,
1955,ПКФ,C,MTL,NHL,DET,NHL,4,1,0,18,9,
1997,CQF,E,DAL,NHL,SJS,NHL,4,2,0,16,12,
1967,ПКФ,G,MTL,NHL,STL,NHL,4,0,0,11,7,
1970,QF,A,MTL,NHL,BOS,NHL,4,3,0,28,26,
1932,SF,A,TOR,NHL,BOS,NHL,3,2,0,9,7,
1978,Предварительно,,NEW,WHA,CIN,WHA,2,1,0,10,10,
1956,ПКФ,C,MTL,NHL,BOS,NHL,4,1,0,15,6,
1936,QF,C,NYR,NHL,TOR,NHL,2,0,0,5,1,
1977,ПКФ,К,MTL,NHL,BOS,NHL,4,2,0,18,13,
1997,CQF,B,MTL,NHL,PIT,NHL,4,2,0,18,15,
1992,DSF,Н,LAK,NHL,CAL,NHL,4,2,0,33,28,
1999,CQF,E,SJS,NHL,STL,NHL,4,3,0,20,22,
