coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
renneto01c,2011,EDM,NHL,1,,82,32,40,10,,,,
sathegl01c,1978,EDO,WHA,1,,80,48,30,2,13.0,6.0,7.0,0.0
pilouru01c,1974,WIJ,WHA,1,,37,18,17,2,,,,
keenami01c,2008,CAL,NHL,1,,82,46,30,6,6.0,2.0,4.0,0.0
rossar01c,1941,BOS,NHL,1,,48,25,17,6,5.0,2.0,3.0,0.0
carpedo01c,1987,NJD,NHL,1,,50,21,24,5,,,,
gorinbu01c,1985,BOS,NHL,1,,80,37,31,12,3.0,0.0,3.0,0.0
lalonne01c,1930,OTS,NHL,1,,44,10,30,4,,,,
murrate01c,1992,WAS,NHL,1,,84,43,34,7,6.0,2.0,4.0,0.0
sonmogl01c,1986,MNS,NHL,2,,2,0,1,1,,,,
quinnpa01c,2002,TOR,NHL,1,,82,44,31,7,7.0,3.0,4.0,0.0
berrybo01c,1985,PIT,NHL,1,,80,34,38,8,,,,
ryanro01c,1973,NEW,WHA,1,,78,43,31,4,7.0,3.0,4.0,0.0
polanni01c,1983,DET,NHL,1,,80,31,42,7,4.0,1.0,3.0,0.0
keatsdu01c,1926,DTC,NHL,2,,11,2,7,2,,,,
patrily01c,1950,BOS,NHL,1,,70,22,30,18,6.0,1.0,4.0,1.0
nolante01c,1995,BUF,NHL,1,,82,33,42,7,,,,
lalonne01c,1925,SAS,WCHL,1,,30,18,11,1,2.0,0.0,1.0,1.0
hullbo01c,1972,WIJ,WHA,1,,78,43,31,4,14.0,9.0,5.0,0.0
bowmasc01c,1992,PIT,NHL,1,,84,56,21,7,12.0,7.0,5.0,0.0
murrabr01c,1988,WAS,NHL,1,,80,41,29,10,6.0,2.0,4.0,0.0
muckljo01c,1994,BUF,NHL,1,,48,22,19,7,5.0,1.0,4.0,0.0
irvindi01c,1954,MTL,NHL,1,,70,41,18,11,12.0,7.0,5.0,0.0
quennjo01c,2010,CHI,NHL,1,,82,44,29,9,7.0,3.0,4.0,0.0
bouchfr01c,1947,NYR,NHL,1,,60,21,26,13,6.0,2.0,4.0,0.0
talboje01c,1977,NYR,NHL,1,,80,30,37,13,3.0,1.0,2.0,0.0
arboual01c,1982,NYI,NHL,1,,80,42,26,12,20.0,15.0,5.0,0.0
murphmi01c,1997,TOR,NHL,1,,82,30,43,9,,,,
sathegl01c,1983,EDM,NHL,1,,80,57,18,5,19.0,15.0,4.0,0.0
muckljo01c,1992,BUF,NHL,1,,84,38,36,10,8.0,4.0,4.0,0.0
sindeha01c,1984,BOS,NHL,2,,24,11,10,3,5.0,2.0,3.0,0.0
ramsacr01c,1986,BUF,NHL,2,,21,4,15,2,,,,
cleghod01c,1927,PIP,NHL,1,,44,19,17,8,2.0,1.0,1.0,0.0
quinnpa01c,1980,PHI,NHL,1,,80,41,24,15,12.0,6.0,6.0,0.0
sullire01c,1968,PIT,NHL,1,,76,20,45,11,,,,
yawnetr01c,2005,CHI,NHL,1,,82,26,43,13,,,,
kitchmi01c,2006,STL,NHL,1,,28,7,17,4,,,,
glovefr01c,1972,CLF,NHL,2,,66,14,39,13,,,,
macledo02c,1997,FLO,NHL,1,,23,7,12,4,,,,
lamorlo01c,2005,NJD,NHL,2,,50,32,14,4,9.0,5.0,4.0,0.0
gerared01c,1934,STE,NHL,1,,13,2,11,0,,,,
conacch01c,1947,CHI,NHL,2,,32,13,15,4,,,,
barkldo01c,1975,DET,NHL,1,,26,7,15,4,,,,
cheevge01c,1981,BOS,NHL,1,,80,43,27,10,11.0,6.0,5.0,0.0
irvindi01c,1931,TOR,NHL,2,,43,23,15,5,7.0,5.0,1.0,1.0
hitchke01c,1997,DAL,NHL,1,,82,49,22,11,17.0,10.0,7.0,0.0
demerja01c,1994,MTL,NHL,1,,48,18,23,7,,,,
duttore01c,1936,NYA,NHL,1,,48,15,29,4,,,,
crawfma01c,2002,VAN,NHL,1,,82,45,24,13,14.0,7.0,7.0,0.0
delveal01c,1974,DET,NHL,1,,80,23,45,12,,,,
murraan01c,2009,STL,NHL,1,,40,17,17,6,,,,
granato01c,2002,COL,NHL,2,,51,32,15,4,7.0,3.0,4.0,0.0
cleghsp01c,1931,MTM,NHL,1,,48,19,22,7,4.0,1.0,1.0,2.0
skinnji01c,1955,DET,NHL,1,,70,30,24,16,10.0,5.0,5.0,0.0
yeomi01c,2011,MIN,NHL,1,,82,35,36,11,,,,
bowmasc01c,1981,BUF,NHL,1,,26,14,5,7,,,,
kelleja01c,1972,NEW,WHA,1,,78,46,30,2,15.0,12.0,3.0,0.0
creampi01c,1987,PIT,NHL,1,,80,36,35,9,,,,
lowro01c,1995,EDM,NHL,1,,82,30,44,8,,,,
pagepi01c,1993,QUE,NHL,1,,84,34,42,8,,,,
constke01c,1998,PIT,NHL,1,,82,38,30,14,13.0,6.0,7.0,0.0
powered01c,1925,TRS,NHL,1,,36,12,21,3,,,,
johnsma01c,1981,COR,NHL,2,,56,15,32,9,,,,
keenami01c,1989,CHI,NHL,1,,80,41,33,6,20.0,10.0,10.0,0.0
krommbo01c,1975,WIJ,WHA,1,,81,52,27,2,13.0,12.0,1.0,0.0
baunbo01c,1975,TOT,WHA,1,,55,15,35,5,,,,
campbco01c,1996,NYR,NHL,1,,82,38,34,10,15.0,9.0,6.0,0.0
slatete01c,1975,CIN,WHA,1,,80,35,44,1,,,,
gardnji01c,1911,NWR,PCHA,1,,15,9,6,0,,,,
muldope01c,1915,SEA,PCHA,1,,18,9,9,0,,,,
smithfl01c,1975,BUF,NHL,1,,80,46,21,13,9.0,4.0,5.0,0.0
barkldo01c,1971,DET,NHL,1,,11,3,8,0,,,,
pilouru01c,1960,CHI,NHL,1,,70,29,24,17,12.0,8.0,4.0,0.0
brookhe01c,1984,NYR,NHL,1,,45,15,22,8,,,,
anderjo01c,2008,ATL,NHL,1,,82,35,41,6,,,,
lalonne01c,1924,SAS,WCHL,1,,28,16,11,1,2.0,0.0,1.0,1.0
nealeha01c,1975,NEW,WHA,3,,12,5,6,1,17.0,10.0,7.0,0.0
keenami01c,1997,VAN,NHL,2,,63,21,30,12,,,,
hitchke01c,2011,STL,NHL,2,,69,43,15,11,9.0,4.0,5.0,0.0
murphmi01c,1986,LAK,NHL,2,,38,13,21,4,5.0,1.0,4.0,0.0
gardnji01c,1913,MOC,NHA,1,,20,13,7,0,,,,
