constructorresultsid,raceid,constructorid,points,status
11803,652,198,0.0,
4430,379,3,6.0,
11315,672,66,1.0,
12784,582,63,0.0,
2401,242,31,0.0,
4344,374,33,0.0,
11947,642,180,0.0,
14994,916,15,0.0,
14087,352,205,0.0,
3408,314,6,2.0,
10579,724,95,3.0,
5123,425,53,0.0,
964,110,19,0.0,
637,77,18,0.0,
1016,115,15,0.0,
12178,605,1,2.0,
5857,474,57,0.0,
12280,613,81,0.0,
13904,337,10,2.0,
10333,729,26,0.0,
4770,400,1,10.0,
11809,653,6,9.0,
1735,182,15,1.0,
6403,508,51,0.0,
4582,387,39,0.0,
4989,416,26,1.0,
655,79,3,0.0,
10779,715,170,0.0,
325,48,8,0.0,
5211,431,45,0.0,
1083,122,17,2.0,
5011,417,25,0.0,
581,72,7,12.0,
13263,551,67,0.0,
989,113,1,12.0,
14250,851,6,23.0,
1521,162,21,0.0,
14958,913,1,1.0,
1957,202,21,0.0,
14651,885,131,37.0,
6065,487,25,1.0,
5724,466,51,6.0,
5297,437,54,0.0,
4796,401,6,0.0,
14928,910,207,0.0,
6425,510,6,2.0,
4085,361,32,3.0,
3979,16,7,0.0,
12062,621,34,1.0,
11534,658,182,6.0,
14201,847,9,33.0,
12543,604,64,4.0,
2122,217,20,1.0,
1678,177,24,4.0,
485,63,1,6.0,
5651,461,55,0.0,
13318,555,67,0.0,
12108,625,37,2.0,
11370,677,191,0.0,
5555,455,3,3.0,
13029,568,37,0.0,
5309,438,25,0.0,
14964,914,9,27.0,
13619,540,56,0.0,
12097,624,1,4.0,
4963,414,26,0.0,
949,109,6,11.0,
1287,141,21,0.0,
625,76,17,0.0,
12969,564,37,0.0,
5746,467,56,0.0,
15249,951,5,0.0,
14091,352,4,0.0,
3627,326,3,2.0,
14899,908,9,25.0,
336,49,11,0.0,
1233,136,17,1.0,
337,49,12,0.0,
5944,479,45,0.0,
4620,390,34,4.0,
2565,256,25,2.0,
3636,326,45,0.0,
1364,148,18,0.0,
5230,433,3,13.0,
14292,854,4,0.0,
2888,280,3,16.0,
11214,685,180,0.0,
1119,125,1,0.0,
587,72,17,0.0,
13149,544,1,6.0,
2938,283,26,0.0,
11554,661,180,3.0,
2971,286,18,0.0,
11913,639,63,0.0,
14836,902,208,0.0,
2045,210,15,0.0,
10204,739,95,0.0,
3607,325,6,6.0,
14715,891,207,0.0,
2026,208,25,0.0,
12641,581,63,0.0,
4913,410,49,0.0,
12357,591,1,9.0,
13745,517,54,0.0,
335,49,5,0.0,
15320,958,6,20.0,
13030,568,27,0.0,
12527,603,1,9.0,
1988,205,17,0.0,
14862,904,206,0.0,
4308,372,27,0.0,
4109,362,21,0.0,
14787,898,15,8.0,
790,93,3,8.0,
12923,561,27,0.0,
11112,694,6,1.0,
6028,485,34,9.0,
839,98,16,6.0,
14507,872,207,0.0,
