qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
1671,191,63,21,17,16,1:33.927,,
5350,876,4,6,5,5,1:26.829,1:25.834,1:25.773
1793,203,21,22,5,7,1:50.462,,
62,20,21,10,21,18,1:33.501,,
4551,841,813,3,12,15,1:26.298,1:26.768,
178,26,9,2,4,10,1:20.444,1:19.788,
1903,211,65,15,16,7,1:19.105,,
5714,893,817,5,19,9,1:45.379,1:44.407,1:44.439
6193,914,1,131,44,2,1:33.611,1:32.982,1:32.703
6634,943,154,208,8,12,1:21.577,1:21.038,
5910,902,18,1,22,7,1:35.699,1:34.714,1:34.387
772,54,4,4,1,8,1:35.514,1:33.997,1:35.747
2306,245,30,22,1,1,1:27.661,,
906,60,35,2,17,10,1:21.637,1:20.672,1:21.599
125,23,12,4,6,17,1:16.933,,
2303,244,90,28,22,24,1:29.608,,
2332,246,14,3,6,3,1:17.925,,
2070,225,64,27,10,22,,,
4301,101,30,6,1,1,1:13.306,,
6904,958,830,9,33,4,1:40.424,1:22.660,1:20.557
1361,88,21,4,6,3,1:46.276,,
4646,845,155,15,16,14,1:23.656,1:23.702,
3670,351,30,131,3,9,1:48.425,1:47.160,1:46.702
3357,338,22,3,9,8,1:25.702,1:25.085,1:25.217
707,51,9,2,10,9,1:36.309,1:36.116,1:38.472
2821,266,103,27,25,18,1:22.038,,
1580,173,21,22,11,12,1:37.479,,
6705,949,1,131,44,1,1:31.391,1:30.039,1:29.493
701,51,13,6,5,3,1:35.792,1:35.796,1:36.221
2836,267,14,3,2,7,2:22.359,,
5254,872,13,6,6,3,1:24.882,1:24.505,1:24.247
2120,228,63,25,19,8,1:28.423,,
1522,158,65,19,8,20,1:33.638,,
4702,847,39,164,22,23,1:18.574,,
5737,894,8,208,7,10,1:38.341,1:38.181,1:38.822
3726,353,67,5,16,17,1:38.621,1:38.594,
3463,342,5,205,19,18,1:17.094,,
1182,79,21,4,6,4,1:11.290,,
6152,912,825,1,20,5,1:26.337,1:25.973,1:25.314
5576,886,822,3,17,3,1:23.446,1:28.419,1:25.897
2753,264,30,22,5,2,1:24.963,,
6687,948,830,5,33,5,1:26.934,1:25.615,1:25.434
996,64,32,9,15,12,1:15.816,1:15.141,
4907,857,814,10,15,13,1:26.864,1:26.503,
4867,855,10,166,24,21,1:36.507,,
3117,7,6,3,17,12,1:27.691,1:27.629,
7263,975,8,6,7,4,1:13.548,1:12.580,1:12.252
4581,842,15,205,21,20,1:38.791,,
6722,949,815,10,11,18,1:32.911,,
3543,346,17,9,6,2,1:30.858,1:30.114,1:29.758
4156,93,2,17,18,16,1:23.488,,
225,28,6,3,8,17,1:21.085,,
4965,859,10,166,24,24,1:17.060,,
2508,253,22,17,14,11,1:21.211,,
6180,913,18,1,22,11,1:47.161,1:46.943,
1455,125,37,19,17,17,1:38.374,,
2606,257,100,33,20,13,1:18.321,,
2063,225,44,27,9,15,1:20.426,,
806,55,33,13,18,20,1:30.709,,
5957,903,807,10,27,8,1:55.913,1:56.847,1:56.366
4898,857,4,6,5,4,1:26.774,1:25.158,1:24.519
5527,883,824,206,22,20,1:36.178,,
6434,932,815,10,11,10,1:16.827,1:15.974,1:16.338
2437,250,22,17,14,12,1:58.293,,
997,64,15,7,8,13,1:15.430,1:15.150,
7056,965,830,9,33,4,1:36.613,1:36.857,1:35.747
3361,338,67,5,16,12,1:26.061,1:25.638,
1691,192,65,15,15,14,1:19.375,,
5130,866,10,206,24,22,1:17.901,,
3467,342,811,164,21,22,1:18.509,,
7112,967,18,1,22,17,1:13.276,,
3751,354,16,10,14,18,1:20.830,,
1471,140,15,4,14,11,1:33.547,,
4628,844,15,205,21,19,1:29.673,,
6473,934,817,9,3,10,1:34.272,1:33.749,1:33.943
2639,258,88,17,15,20,1:13.932,,
6504,937,1,131,44,1,1:48.908,1:48.024,1:47.197
2162,230,22,17,11,7,1:22.379,,
4052,122,35,16,16,12,1:13.050,,
4175,94,2,17,18,15,1:17.802,,
652,48,14,9,14,20,1:24.019,,
7400,982,20,6,5,1,1:43.336,1:40.529,1:39.491
6823,954,807,10,27,9,1:14.663,1:14.166,1:13.952
6321,926,826,9,26,13,1:30.402,1:29.070,
1318,85,27,18,21,20,1:26.964,,
