managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
lopezal01m,1969,CHA,AL,1,17,8,9,5.0,Hello
clappjo01m,1879,BFN,NL,1,79,46,32,3.0,Да.
bluegos01m,1943,WS1,AL,1,153,84,69,2.0,Hello
bauerha01m,1964,BAL,AL,1,163,97,65,3.0,Hello
schlala01m,1915,BUF,FL,1,41,13,28,6.0,Hello
virdobi01m,1979,HOU,NL,1,162,89,73,2.0,Hello
wrighha01m,1892,PHI,NL,1,155,87,66,3.0,Hello
byrnech99m,1886,BR3,AA,1,141,76,61,3.0,Hello
woodji01m,1874,CH2,NA,2,23,10,13,5.0,Hello
andersp01m,1992,DET,AL,1,162,75,87,6.0,Hello
southbi01m,1950,BSN,NL,1,156,83,71,4.0,Hello
girarjo01m,2008,NYA,AL,1,162,89,73,3.0,Hello
loftuto01m,1890,CIN,NL,1,134,77,55,4.0,Hello
bevinte99m,1995,CHA,AL,2,113,57,56,3.0,Hello
lasorto01m,1978,LAN,NL,1,162,95,67,1.0,Hello
torrejo01m,1992,SLN,NL,1,162,83,79,3.0,Hello
irwinar01m,1895,PHI,NL,1,133,78,53,3.0,Hello
sewellu01m,1944,SLA,AL,1,154,89,65,1.0,Hello
mattibo01m,1980,TOR,AL,1,162,67,95,7.0,Hello
griffcl01m,1913,WS1,AL,1,155,90,64,2.0,Да.
hemusso01m,1959,SLN,NL,1,154,71,83,7.0,Да.
lemonbo01m,1978,CHA,AL,1,74,34,40,5.0,Hello
peskyjo01m,1980,BOS,AL,2,5,1,4,4.0,Hello
frankhe01m,1968,SFN,NL,1,163,88,74,2.0,Hello
zimmedo01m,1988,CHN,NL,1,163,77,85,4.0,Hello
pinielo01m,1986,NYA,AL,1,162,90,72,2.0,Hello
muserto01m,2001,KCA,AL,1,162,65,97,5.0,Hello
donovpa01m,1903,SLN,NL,1,139,43,94,8.0,Да.
frazege99m,1890,SR2,AA,3,46,20,25,6.0,Hello
jonesfi01m,1907,CHA,AL,1,157,87,64,3.0,Да.
dykesji01m,1954,BAL,AL,1,154,54,100,7.0,Hello
howear01m,1998,OAK,AL,1,162,74,88,4.0,Hello
wedgeer01m,2006,CLE,AL,1,162,78,84,4.0,Hello
wallabo01m,1911,SLA,AL,1,152,45,107,8.0,Да.
manuech01m,2000,CLE,AL,1,162,90,72,2.0,Hello
melvibo01m,2007,ARI,NL,1,162,90,72,1.0,Hello
kerinjo01m,1888,LS2,AA,3,7,3,4,7.0,Да.
willidi02m,1976,CAL,AL,1,96,39,57,4.0,Hello
richapa01m,1951,CHA,AL,1,155,81,73,4.0,Hello
