playerid,yearid,stint,teamid,lgid,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,gidp
bairdo01,1979,1,CIN,NL,11,7,65,0,0,0,16,283,93,45,7,51,86,0.0,4.0,12.0,3.0,3.0,0,430.0,42.0,47,,,
vanhage01,1890,1,BRP,PL,15,10,28,25,23,0,2,669,272,106,8,89,48,9.0,4.0,,11.0,19.0,0,1064.0,3.0,190,,,
willimi02,1991,1,PHI,NL,12,5,69,0,0,0,30,265,56,23,4,62,84,0.0,2.0,5.0,4.0,8.0,1,386.0,60.0,24,,,
fossato01,1999,1,NYA,AL,0,0,5,0,0,0,0,3,6,4,1,1,0,0.0,36.0,1.0,0.0,0.0,0,10.0,0.0,4,,,
meekijo01,1892,1,LS3,NL,7,10,19,18,17,0,0,469,168,70,3,78,67,0.0,4.0,,7.0,0.0,0,0.0,1.0,108,,,
pettian01,2007,1,NYA,AL,15,9,36,34,0,0,0,646,238,97,16,69,141,,4.0,1.0,3.0,1.0,0,916.0,0.0,106,,,
lynnre01,1939,1,DET,AL,0,1,4,0,0,0,0,25,11,8,2,3,3,0.0,8.0,,0.0,1.0,1,40.0,3.0,8,,,
hoeftbi01,1957,1,DET,AL,9,11,34,28,10,1,1,621,188,80,15,69,111,0.0,3.0,2.0,1.0,5.0,0,870.0,4.0,85,,,
forstte01,1971,1,CHA,AL,2,3,45,3,0,0,1,149,46,22,5,23,48,0.0,3.0,3.0,1.0,1.0,1,219.0,15.0,23,,,
tayloro01,1965,1,SLN,NL,2,1,25,0,0,0,1,131,43,22,6,15,26,0.0,4.0,4.0,1.0,1.0,0,185.0,9.0,24,,,
parrist01,2000,1,CIN,NL,12,17,33,33,0,0,0,578,227,103,30,71,117,0.0,4.0,5.0,9.0,4.0,1,861.0,0.0,109,,,
trombmi01,1997,1,MIN,AL,2,3,67,0,0,0,1,247,77,40,7,31,74,0.0,4.0,4.0,5.0,2.0,0,349.0,21.0,43,,,
dibblro01,1989,1,CIN,NL,10,5,74,0,0,0,2,297,62,23,4,39,141,0.0,2.0,11.0,7.0,3.0,0,401.0,18.0,23,,,
marlodi01,1953,1,DET,AL,6,7,42,11,2,0,0,359,152,70,13,42,52,0.0,5.0,,4.0,2.0,0,536.0,9.0,74,,,
martide01,1987,1,MON,NL,11,4,22,22,2,1,0,434,133,53,9,40,84,0.0,3.0,2.0,4.0,6.0,2,599.0,0.0,59,,,
jamesjo01,1961,2,LAA,AL,0,2,36,3,0,0,0,214,66,42,12,54,41,0.0,5.0,1.0,5.0,2.0,0,330.0,10.0,44,,,
donovdi01,1964,1,CLE,AL,7,9,30,23,5,0,1,475,181,80,19,29,83,0.0,4.0,6.0,1.0,2.0,0,671.0,4.0,86,,,
deandi01,1940,1,CHN,NL,3,3,10,9,3,0,0,162,68,31,4,20,18,0.0,5.0,,0.0,0.0,0,247.0,1.0,35,,,
powelja04,2002,1,TEX,AL,3,2,51,0,0,0,0,149,50,19,5,24,35,,3.0,4.0,2.0,1.0,0,224.0,5.0,28,,,
seaneru01,2003,1,BOS,AL,0,1,9,0,0,0,0,26,11,6,2,6,9,0.0,6.0,1.0,3.0,0.0,0,44.0,4.0,7,,,
strinni01,1948,1,PIT,NL,0,0,3,0,0,0,0,13,8,4,0,2,1,0.0,8.0,,0.0,0.0,0,20.0,2.0,4,,,
barryto01,1904,1,PHI,NL,0,1,1,1,0,0,0,2,6,3,0,1,1,0.0,40.0,,0.0,0.0,0,10.0,0.0,5,,,
willima06,2000,1,MIL,NL,0,0,11,0,0,0,0,27,7,7,2,13,7,0.0,7.0,0.0,0.0,1.0,0,46.0,1.0,7,,,
farrst01,1987,1,KCA,AL,4,3,47,0,0,0,1,273,97,42,9,44,88,0.0,4.0,4.0,2.0,2.0,0,408.0,19.0,47,,,
castito02,1990,1,ATL,NL,5,1,52,3,0,0,1,230,93,36,5,20,64,0.0,4.0,3.0,2.0,1.0,2,337.0,7.0,41,,,
ericker01,1920,1,WS1,AL,12,16,39,27,12,0,1,718,231,102,13,128,87,0.0,3.0,,3.0,11.0,0,1026.0,7.0,142,,,
fulghjo01,1980,1,SLN,NL,4,6,15,14,4,1,0,256,66,32,7,32,48,0.0,3.0,1.0,1.0,1.0,2,338.0,0.0,33,,,
sisleda01,1962,1,CIN,NL,4,3,35,0,0,0,1,131,44,19,4,26,27,0.0,3.0,3.0,1.0,0.0,0,196.0,16.0,19,,,
brownja01,1974,1,TEX,AL,13,12,35,26,9,2,0,650,219,86,13,74,134,0.0,3.0,4.0,6.0,4.0,1,914.0,2.0,97,,,
robinje01,1986,1,SFN,NL,6,3,64,1,0,0,8,313,92,39,8,32,90,0.0,3.0,7.0,11.0,1.0,0,431.0,22.0,46,,,
frankwa01,2005,1,NYA,AL,0,1,13,0,0,0,0,38,11,9,1,8,10,,6.0,0.0,0.0,1.0,0,57.0,2.0,12,,,
raych01,2009,1,BAL,AL,0,4,46,0,0,0,0,130,64,35,8,23,39,,7.0,7.0,0.0,1.0,0,214.0,12.0,36,,,
mooreto01,1972,1,NYN,NL,0,0,3,1,0,0,0,37,12,4,1,1,5,0.0,2.0,0.0,1.0,0.0,0,47.0,0.0,4,,,
penaor01,1975,1,CAL,AL,0,2,7,0,0,0,0,38,13,3,0,8,4,0.0,2.0,1.0,1.0,0.0,0,55.0,5.0,3,,,
grantge02,1924,1,SLA,AL,1,2,22,2,0,0,0,154,69,36,4,25,11,0.0,6.0,,1.0,1.0,0,248.0,6.0,42,,,
lapoida01,1991,1,PHI,NL,0,1,2,2,0,0,0,15,10,9,0,6,3,0.0,16.0,0.0,0.0,1.0,0,32.0,0.0,10,,,
