schoolid,schoolname,schoolcity,schoolstate,schoolnick
bethcook,Колледж Бетюн-Кукман,Дейтон-Бич,ФЛ,Дикие кошки
lutheria,Лютеранский колледж,Декора,Я,Северо-Запад
williamsma,Уильямс-колледж,Уильямстон,МА,Ефсы
bethanywv,Колледж Бейтани,Бетани,Западная Вирджиния,Бизон
indianapa,Индианаский университет в Пенсильвании,Индиана,ПА,Индийцы
heidelberg,Хейдельбергский колледж,Тиффин,О,Принцы
benedctnks,Бенедиктинский колледж,Атчison,КС,Короли
thomasmore,Колледж Тома Морра,Крествиу Хиллз,Ки,Святые
colorado,Университет штата Колорадо,Бульдер,КОНТРОЛЬНАЯ ВЕРИФИКАЦИЯ,Буффало
iupufw,Индианский университет-Пурдью Университет Форт-Уэйн,Форт-Вейн,В,Мастодоны
houston,Университет Хьюстона,Хьюстон,ТХ,Пума
oregonst,Орегонский государственный университет,Корваллис,О'Р,Орины
kentucky,Университет Кентукки,Лексингтон,Ки,Дикие кошки
abilchrist,Абилейнский христианский университет,Абилин,ТХ,Дикие кошки
sacheart,Университет Святого Сердца,Фэрфилд,СЧ,Пионеры
grambling,Грамбинский государственный университет,Грамблинг,Лос-Анджелес,Тигры
portlandst,Портлендский государственный университет,Портленд,О'Р,Викинги
erskine,Эрскин Колледж,Западный край,SC,Летный флот
catholic,Католический университет Америки,Вашингтон,ДК,Кардиналы
flinternat,Флоридский международный университет,Майами,ФЛ,Золотая пантера
umkc,Университет Миссури-Канзас-Сити,Канзас-Сити,Мо,Кангуры
pacific,Университет Тихого океана,Стоктон,Калифорния,Тигры
pepperdine,Университет Пеппердин,Малibu,Калифорния,Волны
columbia,Университет Колумбии,Нью-Йорк,Нय,Львы
towson,Тавсонский университет,Товсон,МД,Тигры
austincol,Колледж Остина,Шерман,ТХ,Кангуры
etennst,Восточный штат Теннесси Университет,Джонсон-Сити,ТН,Банкиры
memphis,Университет Мемфиса,Мемфис,ТН,Тигры
whittierca,Уитхер-колледж,Уиттиер,Калифорния,П поэты
arktech,Университет Арканзаса Тех,Росселлвилл,АР,Вonderбои
nmhighland,Университет Нью-Мексико Хайлендс,Las-Вегас,НМ,Ковбои
boisest,Боис-Стейт Университет,Боис,"Пожалуйста, предоставьте текст для перевода.",Бонансы
kywesleyan,Кентукки Уэдендейл Колледж,Оуенсборо,Ки,Пантеры
ferrisst,Ферриссский государственный университет,Большие Рапиды,МИ,Бульдоги
hendrixar,Колледж Хендрикс,Конвей,АР,Воины
wlmjewell,Университет Уильяма Джуэлла,Свобода,Мо,Кардиналы
wiscgbay,Университет Висконсина-Грин-Бэй,Грин-Бей,ВИ,Финикс
sutah,Южный Университет Юты,Кедровая город,УТ,Тандерبيرды
fltech,Институт технологий Флориды,Мелбурн,ФЛ,Пантеры
miamioh,Университет Майами,Оксфорд,О,Красная Сокола
flsouthern,Флоридский южный колледж,Лейкленд,ФЛ,Мокасины
rockhurst,Университет Рокхёрст,Канзас-Сити,Мо,Соколы
ucsd,Калифорнийский университет в Сан-Диего,Ла-Хойя,Калифорния,Тритоны
elon,Элонский университет,Элон,Н/Д,Финикс
auburn,Аубернский университет,Аубурн,АЛ,Тигры
delaware,Университет Делавера,Ньюарк,ДЕ,Синие цапли
augsburgmn,Августовский колледж,Миннеаполис,MN - МН,Авги
nillinois,Северный университет Иллинойса,Декалб,ЕЛ,Хаски
wlmpennia,Университет Уильяма Пена,Оскалоуза,Я,Дипломаты
millersvil,Университет Миллера в Пенсильвании,Миллерсвилл,ПА,Бандиты
crngmellon,Carnegie Mellon Университет,Питтсбург,ПА,Тартан
staugustne,Колледж Святого Августина,Рали,Н/Д,Соколы
newhamp,Университет Нью-Гэмпшира,Дурхем,НХ,Дикие кошки
morehead,Университет штата Морхед,Моран,Ки,Орлы
georgtwnky,Колледж Джорджтаун,Джорджтаун,Ки,Тигры
nmexico,Университет Нью-Мексико,Албукирч,НМ,волки
sindiana,Южно-Индийский университет,Эвансвилл,В,Выходцы из кричащих орлов
olemiss,Университет Миссисипи,Оксфорд,МС,Восставшие
waynest,Уэйнский государственный университет,Детройт,МИ,Воины
lewclarkst,Lewis-Clark State College,Льюисон,"Пожалуйста, предоставьте текст для перевода.",Воины
willamette,Универсиитет Вилламетта,Салем,О'Р,Медвежьи коты
northwood,Университет Нортвуд,Мидленд,МИ,Тимбервулвз
lambuthtn,Университет Ламбута,Джексон,ТН,Орлы
tarletonst,Университет штата Тарелтон,Стефенвилл,ТХ,Техасцы
buffalost,Промышленный университет штата Нью-Йорк в Буффало,Баффало,Нय,Бенгалы
rowannj,Ровенский университет,Глассборо,Н/Д,Профессоры
coloradost,Κολοрадовский государственный университет,Форт-Коллинз,КОНТРОЛЬНАЯ ВЕРИФИКАЦИЯ,Рамсы
flbarry,Университет Барри,Майами-Шорз,ФЛ,Банкиры
highpoint,Университет Хай-Пойнт,Высокий Punkt,Н/Д,Пантеры
army,Военная академия США,Вест-Пойнт,Нय,Чёрные рыцари
mntclairst,Университет штата Монтклом,Верхний Монтклор,Н/Д,Красная Сокола
concordny,Конкордский колледж,Брунсвилл,Нय,Клипперы
nwmost,Северо-Западный государственный университет Миссури,Мэривилл,Мо,Медвежьи коты
upenn,Университет Пенсильвании,Филадельфия,ПА,Квакеры
manhattan,Манхэттенский колледж,Ривердейл,Нय,Ясперс
txchrist,Техасский христианский университет,Форт-Уорт,ТХ,Пыгуны-реци
riogrande,Университет Рио-Гранде,Рио-Гранде,О,Редмен
wichitast,Вичита Скайхейвс,Вичита,КС,Шокеры
drake,Дре́кский университет,Дес-Мойнс,Я,Бульдоги
ncentralil,Северо-Центральный колледж,Напервиль,ЕЛ,Кардиналы
robertmor,Роберт Моррис Университет,Городская местность Мун-Тьюп,ПА,Колонисты
eillinois,Восточный университет Иллинойса,Чарлстон,ЕЛ,Пантеры
tnwesleyan,Теннесси Уэслиан Колледж,Афины,ТН,Бульдоги
adelphi,Университет Адельфи,Городской сад,Нय,Пантеры
csdomhills,"Калифорнийский государственный университет, Домингес-Хиллз",Карсон,Калифорния,Торовос
purdue,Пурдьюский университет,Западная Лафайетта,В,Бочальщики
clrmuddscr,Клементон-Маккена Колледж,Кларомонт,Калифорния,Олень
centreky,Колледж Центр,Дэнвилл,Ки,Колонели
missouri,Мизуриский университет,Колумбия,Мо,Тигры
piedmontga,Педрийский колледж,Деморест,ГА,Львы
pugetsound,Университет Пьюгет-Саунд,Такома,WA,Журналирующие устройства
sflorida,Университет Южной Флориды,Тампа,ФЛ,Боуи
flatlantic,Университет Флориды и Атлантики,Бока-Ратон,ФЛ,Сыры
houstnbapt,Хьюстонский баптистский университет,Хьюстон,ТХ,Хаски
citadel,Тврд,Чарлстон,SC,Бульдоги
philly,Университет Филадельфии,Филадельфия,ПА,Рамсы
ohiost,О하이оский государственный университет,Колумбус,О,Ореховые ядра
woosteroh,Колледж Вотера,Уостер,О,Борцы-шотисты
nytech,Институт технологий Нью-Йорка,Ольд-Вебери,Нय,Медведи
lehigh,Университет Лейх,Бетлехем,ПА,Горные ястребы
dartmouth,Дартмутский колледж,Ганновер,НХ,Большие зелёные
txtech,Техасский технологический университет,Луббок,ТХ,Красный рейд
indiana,Индианский университет,Блумингтон,В,Хьюзеры
swmost,Мизוריский государственный университет,Спрингфилд,Мо,Медведи
dickinson,Дикинсонский колледж,Карлайл,ПА,Красные дьяволы
shorterga,Короткий колледж,Рим,ГА,Соколы
calstla,Калифорнийский университет в Лос-Анджелесе,Лос-Анджелес,Калифорния,Золотые орлы
harding,Университет Хардинг,Сарси,АР,Бизон
ecentralok,Восточно-Центральный университет,Ада,Хорошо. Начнем перевод.,Тигры
blackbrnil,Колледж Блэкберн,Карлинвилл,ЕЛ,Боязни
wagner,Вагнер Колледж,Стейтен-Айленд,Нय,Сиэтл Сихокс
chicago,Университет Чикаго,Чикаго,ЕЛ,Мараки
longbeach,Калифорнийский государственный университет в Лонг-Бич,Лонг-Бич,Калифорния,"""Сан-Франциско Форти Найнерс"""
ccri,Общий колледж Род-Айленда,Уорик,Ри,Рыцари
csstanisl,Калифорнийский государственный университет в Станфорде,Тёрлок,Калифорния,Воины
ucsb,"Университет Калифорнии, Санта-Барбара",Сан-Барбара,Калифорния,Гавчо
indpolis,Университет Индианаполиса,Индианаполис,В,Грейхаундсы
niowa,Университет Северной Айовы,Кедровая Колодца,Я,Пантеры
shipnsburg,Университет Шиппенсбурга в Пенсильвании,Шиппенсбург,ПА,Красный рейд
stanselm,Святой Anselмовский колледж,Манчестер,НХ,Соколы
lemoyne,Колледж ЛеМойн,Сиракузы,Нय,Дельфины
quincy,Университет Кинси,Квинси,ЕЛ,Соколы
wconnst,Западный Коннектикутский государственный университет,Данбри,СЧ,Колонисты
siena,Сьенский колледж,Лудонвилл,Нय,Святые
lubbchrist,Луббокский христианский университет,Луббок,ТХ,Чапралы
mtennst,Средний טессиский государственный университет,Муфресборо,ТН,Блю Раидерс
edinboro,Университет Эдинбрура в Пенсильвании,Единборо,ПА,Борцы-шотисты
hobartny,Хобарт и Уильям Смит Колледжи,Женева,Нय,Дипломаты
shenandoah,Университет Шенандоа,Винчестер,ВА,Пчелиные рояли
centralst,Центральный университет штата Огайо,Уильям Уилберфорс,О,Бандиты
tennst,Калифорнийский университет в Беркли,Нашвилл,ТН,Тигры
sillinois,Южный Университет Иллинойса,Карбондал,ЕЛ,Здравствуйте!
villanova,Университет Вилланова,Вилнована,ПА,Дикие кошки
hawaiipac,Гавайский тихоокеанский университет,Хонолулу,Здравствуйте!,Морские воины
quinnipiac,Университет Квиннипака,Хамден,СЧ,Бобкаты
stpeters,Сент-Питер-колледж,Джейрси-Сити,Н/Д,Пави
austinpeay,Университет штата Остин-Пей,Кларксвилл,ТН,Губернаторы
kalamazoo,Кальвазарский колледж,Каламазу,МИ,Пчелиные рояли
stanford,Стэнфордский университет,Пало-Альто,Калифорния,Кардинал
ucdavis,"Университет Калифорнии, Дэвис",Дэвис,Калифорния,Аги
mtunionoh,Монт-Юнион Колледж,Союз,О,Ниндзя
manchester,Манчестерский колледж,Северный Манчестер,В,Спартаны
allegheny,Аллегيني-колледж,Медвилл,ПА,Загеты
virginia,Университет Вирджинии,Шарлотсвилл,ВА,Кавалеристы
tnmartin,Университет Теннесси в Мартинене,Мартин,ТН,Скайхуки
wofford,Колледж Воффорд,Спартанбург,SC,Терьеры
wminsterpa,Вестминстерский колледж,Новый Уилинг,ПА,Титаники
tuftsma,Тафтс-Университет,Медфорд,МА,Джумбо
bryant,Колледж Брайант,Смитфилд,Ри,Бульдоги
wistvnspt,Университет Висконсина в Стевенс-Пойнте,Стевенс-Пойнт,ВИ,Показатели
cornell,Корнеллский университет,Итака,Нय,Большой Красный
drexel,Дрексельский университет,Филадельфия,ПА,Драконы
radford,Университет Радфорда,Радфорд,ВА,Высокогорцы
wminstermo,Вестминстерский колледж,Фултон,Мо,Блю Джейс
oglethrpga,Университет Огльторпа,Атланта,ГА,буранные Петрели
johnbrwnar,Университет Джона Брауна,Силоам-Спрингс,АР,Золотые орлы
stlouis,Университет Святого Людовика,Сент-Луис,Мо,Билликены
albionmi,Альбион Колледж,Альбион,МИ,Британцы
mrningside,Морнингсайдский колледж,Сойо-Сити,Я,Мустанги
washcollmd,Вашингтонский колледж,Честервилль,МД,Короткий человек
utchat,Университет Теннесси в Чаттаниге,Чаттанугa,ТН,Мокрые
marshall,Маршаллский университет,Хинтон,Западная Вирджиния,Громкий стук
wmichigan,Западный Мичиган Университет,Каламазу,МИ,Бонансы
waynesburg,Колледж Уэйнсбурга,Вэйнсбург,ПА,Желтые жакеты
uniontn,Университетский союз,Джексон,ТН,Бульдоги
emoryga,Эмориский университет,Атланта,ГА,Орлы
wcarolina,Западно-Каролинский университет,Куллови,Н/Д,Койот
bluefield,Блюфилд Колледж,Блюфилд,ВА,Рамсы
liberty,Университет Либерти,Линчбург,ВА,Пламя
pennst,Пенсильванский государственный университет,Стайл-Колледж,ПА,"""Нитани Лайонс"""
riponwi,Рипон Колледж,Рипон,ВИ,Красная Сокола
mtvernnaz,Университет Нацыоналя Маунт-Вернон,Маунт-Вернон,О,Пума
dubuque,Университет Дьюбука,Дюбук,Я,Спартаны
mnmorris,"Университет Миннесоты, Моррис",Моррис,MN - МН,Пума
belmontab,Колледж Бельмонтского аббатства,Бельмонт,Н/Д,Крестоносцы
baldwalloh,Колледж Балдвин-Воллес,Бера,О,Желтые жакеты
ohvalley,Университет Охио Вэлли,Вена,Западная Вирджиния,Борцы-шотисты
princeton,Универси́тет При́нстона,Принстон,Н/Д,Тигры
howard,Ховардский университет,Вашингтон,ДК,Бизон
haskellks,Университет коренных народов Хаскелла,Лоуренс,КС,Индийцы
cornellia,Корнеллский колледж,Маунт-Вернон,Я,Рамсы
monroecc,Колледж Монро,Брайтон,Нय,Трубины
nkentucky,Северный университет Кентукки,Высокие высоты,Ки,Северо-Запад
duke,Университет Дьюка,Дурхем,Н/Д,Синяя Дева
fordham,Университет Форда,Бруклин,Нय,Рамсы
washcolltn,Вашингтонский колледж (Теннесси),Джонсборо,ТН,
usc,Южный Калифорнийский университет,Лос-Анджелес,Калифорния,Троянские кони
mercyhurst,Мерси-Хёрст Колледж,Эри,ПА,Лейкерс
georgewash,Джордж Вашингтонский университет,Вашингтон,ДК,Колонисты
wshngtonmo,Вашингтонский университет в Сент-Луисе,Сент-Луис,Мо,Медведи
macollege,Масачусетский колледж либеральных искусств,Северный Адамс,МА,Пионеры
baruchcuny,"Барух Колледж, Университет Города Нью-Йорка",Нью-Йорк,Нय,Медвежьи коты
wisuperior,Университет Висконсина в Супиоре,Премиум,ВИ,желтые жабы
american,Американский университет,Вашингтон,ДК,Орлы
albrightpa,Альбрайтский колледж,Чтение,ПА,Львы
wwashngton,Западный Вашингтонский университет,Беллингем,WA,Викинги
lockhaven,Университет Лок Хавен Пенсильвания,Лок-Хейвен,ПА,Белые орлы
norwichvt,Университет Норфолк,Северфилд,ВТ,Кадеты
jamesmad,Университет Джеймса Мэддисона,Гаррисонбург,ВА,Дуке
stleo,Университет Святого Лео,Святой Лео,ФЛ,Львы
pfeiffer,Университет Пфайфера,Мисенгаймнер,Н/Д,Соколы
lanecol,Колледж Лейн,Джексон,ТН,Драконы
calutheran,Калифорнийский лютеранский университет,Тысяча дубов,Калифорния,"""Кингсмены"""
uab,Университет Алабамы в Бирмингеме,Бирмингем,АЛ,Блузки
nicholls,Ношоллс Стейт Университет,Тибодоукс,Лос-Анджелес,Колонели
idahost,Университет штата Айдахо,Покацелло,"Пожалуйста, предоставьте текст для перевода.",Бенгалы
fayetvilst,Файетвилл Стейт Университет,Файетвилл,Н/Д,Бонансы
howrdpayne,Университет Говарда Пейн,Браунвуд,ТХ,Желтые жакеты
lynchbrgva,Колледж Линчбурга,Линчбург,ВА,Пчелиные рояли
sandiegost,Сан-Диего государственный университет,Сан-Диего,Калифорния,Ацтеки
nalabama,Университет Северной Альянсы,Флоренция,АЛ,Львы
lakeforest,Колледж Лейк-Форест,Озеро-лес,ЕЛ,Лесники
duquesne,Университет Дюннес,Питтсбург,ПА,Дуке
georgiasou,Университет Джорджиа Саусерн,Штатыборо,ГА,Орлы
inbethel,Бетелловский колледж,Мишавакка,В,Пилоты
viterbowi,Университет Витербо,Крос,ВИ,Соколы
alverniapa,Колледж Альверния,Чтение,ПА,Крестоносцы
centok,Университет центрального Оклахомы,Эдмон,Хорошо. Начнем перевод.,Bronхи
neillinois,Северо-Восточный университет Иллинойса,Чикаго,ЕЛ,
psubehrend,"Пенсильванский государственный университет в Эри, Колледж Беэренда",Эри,ПА,Львы
auburnmont,Аубурнский университет в Монтгомери,Монгомери,АЛ,Сенаторы
huntercuny,"Хайнер Колледж, Городской университет Нью-Йорка",Нью-Йорк,Нय,Соколы
ohdominican,Университет Огайо Доминго,Колумбус,О,Пантеры
nebomaha,Университет Небраски в Омахе,Омаха,НЕ,Маверики
wflorida,Университет Западной Флориды,Пенсакола,ФЛ,Аргоны
indianast,Индианасский государственный университет,Тере-Хут,В,Сикморы
stthomasfl,Университет Святого Томаса,Майами,ФЛ,Бобкаты
wingate,Университет Вингейт,Винейт,Н/Д,Бульдоги
troyst,Тройский государственный университет,Трой,АЛ,Троянские кони
willmary,Колледж Уильяма и Мэри,Вильямсбург,ВА,Триб
ucriver,Калифорнийский университет в Риверсайде,Риверсайд,Калифорния,Высокогорцы
lacollege,Луизианский колледж,Пайнвилл,Лос-Анджелес,Дикие кошки
calstfull,Калифорнийский государственный университет в Фулертоне,Фуллертон,Калифорния,Титаники
almami,Альма-колледж,Альма,МИ,Шотландцы
grcanyon,Гранд-Каньон-Университет,Финикс,АЗ,Антелопы
cwpost,"Университет Лонг-Айленда, кампус Пост-Цукер",Бруквилл,Нय,Пионеры
stetson,Стэтсонский университет,Делэнд,ФЛ,Хаттеры
depaul,Университет Дьюка,Чикаго,ЕЛ,Блю Демоны
iupui,Индианский университет - Университет Пердью в Индианаполисе,Индианаполис,В,Ягуары
notredame,Университет Нотр-Дам,Южный Бенд,В,Ирландские бойцы
hampton,Хэмптонский университет,Хэмптон,ВА,Пираты
stcloudst,Университет штата Сент-Клoudс,Сент-Клуд,MN - МН,Хаски
roanokeva,Колледж Роанок,Салем,ВА,Мараки
