lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
13,abbotji01,,abbotji01h,1967.0,9.0,19.0,США,МИ,Флинт,,,,,,,Джим,Абботт,,Джеймс Энтони,,200.0,75.0,"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",4/8/1989,7/21/1999,Мичиган,abbotji01,abbotji01,abboj001,abbotji01,abbotji01
16,abbotod01,,,1888.0,9.0,5.0,США,ПА,Новый Орёл,1933.0,4.0,13.0,США,ДК,Вашингтон,Оды,Абботт,,Одион Клеон,,180.0,74.0,r,r,9/10/1910,10/15/1910,,abbotod01,abbotod01,abboo101,abbotod01,abbotod01
22,abernte01,,,1921.0,10.0,30.0,США,Н/Д,Мебейн,2001.0,11.0,16.0,США,Н/Д,Шарлотта,Таль,Аберначи,Тед,Тальмадж Лафайетт,,210.0,74.0,r,"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",9/19/1942,4/29/1944,,abernte01,abernte01,abert102,abernte01,abernte01
36,ackerji01,,,1958.0,9.0,24.0,США,ТХ,Свободен,,,,,,,Джим,Акер,,Джеймс Джастин,,210.0,74.0,r,r,4/7/1983,6/14/1992,Техас,ackerji01,ackerji01,ackej001,ackerji01,ackerji01
40,acosted01,,,1944.0,3.0,9.0,Панама,,Бочуэте,,,,,,,Эд,Акоста,,Эдварду Эльбет,,215.0,77.0,В,r,9/7/1970,10/4/1972,,acosted01,acosted01,acose101,acosted01,acosted01
61,adamsji01,,,1868.0,,,США,ЕЛ,Восточный Сент-Луис,,,,,,,Джим,Адамс,,Джеймс Дж.,,,,,r,4/21/1890,4/21/1890,,adamsji01,adamsji01,adamj101,adamsji01,adamsji01
78,addybo01,addybo01m,,1845.0,2.0,,США,Нय,Рочестер,1910.0,4.0,9.0,США,"Пожалуйста, предоставьте текст для перевода.",Покацелло,Боб,Адди,,Роберт Эдвард,Магнит,160.0,68.0,"Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.","Добрый день! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5/6/1871,,,addybo01,addybo01,addyb101,addybo01,addybo01
86,adlesda01,,,1943.0,7.0,15.0,США,Калифорния,Лонг-Бич,,,,,,,Дэйв,Адле́ш,,Дэвид Джордж,,187.0,72.0,r,r,5/12/1963,9/28/1968,,adlesda01,adlesda01,adled101,adlesda01,adlesda01
89,ageeto01,,ageeto01h,1942.0,8.0,9.0,США,АЛ,Магнолия,2001.0,1.0,22.0,США,Нय,Нью-Йорк,Тэммия,Аги,,Томми Ли,,195.0,71.0,r,r,9/14/1962,9/30/1973,,ageeto01,ageeto01,ageet101,ageeto01,ageeto01
108,akersbi01,,,1904.0,12.0,25.0,США,ТН,Чаттанугa,1962.0,4.0,13.0,США,ТН,Чаттанугa,Билл,Акерс,,Уильям Г.,Бумп,178.0,71.0,r,r,9/8/1929,7/27/1932,,akersbi01,akersbi01,akerb101,akersbi01,akersbi01
111,albanjo01,,,1933.0,6.0,26.0,США,Нय,Нью-Йорк,2000.0,6.0,17.0,США,Нय,Нью-Йорк,Джо,Албанский,,Ио́сеф Пете́р,,215.0,75.0,r,r,7/18/1958,9/9/1958,,albanjo01,albanjo01,albaj101,albanjo01,albanjo01
116,albosed01,,,1918.0,10.0,27.0,США,МИ,Сагиано,2003.0,1.0,7.0,США,МИ,Сагиано,Эд,Альбоста,,Эдвард Джон,Рубе,175.0,73.0,r,r,9/3/1941,9/24/1946,,albosed01,albosed01,alboe101,albosed01,albosed01
124,alderda01,,,1918.0,3.0,9.0,США,НЕ,Белден,1982.0,2.0,12.0,США,Калифорния,Горячий Ключ,Дэйл,Алдерсон,,Дэйл Леонард,,190.0,70.0,r,r,9/18/1943,7/5/1944,,alderda01,alderda01,alded101,alderda01,alderda01
