franchid,franchname,active,naassoc
COL,Колорадо Рокиз,Да.,
CLI,Кливлендские младенцы,Hello,
LOU,Луисвилл Колонелы,Hello,
TRT,Тройцы,Hello,
BNA,Бостон Ред Стокингс,Н/Д,ATL — «Атла́с»
BRG,Бруклин Галадриаты,Hello,
WIL,Уильямингтонские быстрые шаги,Hello,
PBS,Питтсбургские мятежники,Hello,
CBK,Клэнтон Икс,Hello,
RIC,Ричмондские виргинцианцы,Hello,
CIN,Цинциннати Редс,Да.,
KCU,Кансас-Сити Ковбої,Hello,
KCC,Кансас-Сити Ковбої,Hello,
CEN,Филадельфийские центениалы,Н/Д,
NYP,Нью-Йорк Метростокеры,Hello,
SYR,Сиракьюз Старс,Hello,
WNT,Вашингтон Нэшнлз,Н/Д,
ECK,Бруклин Экфорс,Н/Д,
CHP,Чикаго Пэсерс,Hello,
CLV,Кливленд Спайдеры,Hello,
ATH,Филадельфийские Атлетики,Hello,НБА
PHA,Филадельфийские Атлетики,Hello,
TRO,Трой Хэймерс,Н/Д,
ATL,Атланта Брейвз,Да.,БНА
BTT,Бруклин Тип-Топс,Hello,
PHK,Филадельфийские ключи,Hello,
OAK,Окленд Аслтикс,Да.,
ROC,Бронкос Рочестера,Hello,
PWS,Филадельфийские белые чулки,Н/Д,
BRA,Бруклин Атлетикс,Н/Д,
STL,Сент-Луис Кардиналс,Да.,
ALT,Альтона-Маунтин-Сити,Hello,
SLI,Сент-Луис Территерс,Hello,
CLE,Кливлендские индейцы,Да.,
WNA,Вашингтон Нэшнлз,Hello,
DET,Детройт Тайгерс,Да.,
TOR,Торонто Блю Джейс,Да.,
PHQ,Филадельфийские Атлетики,Hello,
BFB,Баффало Блю Джэкс,Hello,
BFL,Баффало Блю Джэкс,Hello,
CHC,Чикаго Кабс,Да.,СНМ
NYU,Нью-Йорк Мютуала,Hello,НН
WSN,Вашингтон Нэшнлз,Да.,
KCP,Канзас-Сити Пакерс,Hello,
WST,Вашингтон Стейтменс,Hello,
KCN,Кансас-Сити Ковбої,Hello,
TOL,Толедийские синие штаны,Hello,
BAL,Балтимор Ориолс,Да.,
DTN,Детройт Вулверинс,Hello,
CNA,"Чикаго ""Белые стокинги""",Н/Д,ХКХ
NNA,Нью-Йорк Мютуала,Н/Д,Нью-Йоркский университет
SLR,Сент-Луис Ред Стокингс,Н/Д,
NAT,Вашингтон Нэшнлз,Н/Д,
PRO,Провиденс Грейз,Hello,
HNA,Хартфорд Дарк Блюз,Н/Д,ХАР
HAR,Хартфорд Дарк Блюз,Hello,HНА
NHV,Новый-Хейвен Ель-Сити,Н/Д,
CNR,Цинциннати Редс,Hello,
CLS,Колумб Солоны,Hello,
BOS,Бостон Ред Сокс,Да.,
SNA,Сент-Луис Браун Стокингс,Н/Д,SBS
IHO,Индианаполис Хоуизерз,Hello,
BWW,Вوندеры Бруклина,Hello,
MLA,Милуоки Брюэрс,Hello,
PHI,Филадельфийские Филлис,Да.,
BRD,Бостон Редс,Hello,
BLC,Балтиморские канарейки,Н/Д,
CFC,Кливленд Форест-Ситис,Н/Д,
WES,Кеокук Уэстернз,Н/Д,
CPI,Чикаго/Питтсбург (Уион-Лиги-Сотон),Hello,
WAS,Вашингтон Сенаторы,Hello,
LAD,Лос-Анджелес Доджерс,Да.,
COR,Цинциннати Оутлоуд Редз,Hello,
OLY,Олимпиада в Вашингтоне,Н/Д,
NEW,Ньюарк Пеппер,Hello,
TLM,Толедо Маумее,Hello,
WBL,Вашингтонские синие ноги,Н/Д,
BUF,Баффало Блю Джэкс,Hello,
SLM,Сент-Луис Марунс,Hello,
CBL,Кливленд Блюз,Hello,
LGR,Луизвилл Грейс,Hello,
ANA,Лос-Анджелес Энджелс из Анахайма,Да.,
SDP,Сан-Диего Падрес,Да.,
IND,Индианаполис Хоуизерз,Hello,
WNL,Вашингтон Нэшнлз,Hello,
SYS,Сиракьюз Старс,Hello,
SEA,Сиэтл Маринерс,Да.,
MIL,Милуоки Брюэрс,Да.,
ARI,Аризона Даймондбэкс,Да.,
MLG,Милуоки Грейс,Hello,
NYM,Нью-Йорк Метс,Да.,
ROK,Рокфорд Фолс Ситис,Н/Д,
BLO,Балтимор Ориолс,Hello,
MAN,Миддлтон-Мансфилды,Н/Д,
BLT,Балтимор Террапины,Hello,
MIN,Миннесота Дикс,Да.,
CKK,Киллеры Кливленда Келли,Hello,
HOU,Хьюстон Астрос,Да.,
BRS,Бостон Редс,Hello,
BLU,Бальтиморские монументальные скульптуры,Hello,
PIT,Питтсбург Пайрэтс,Да.,
NYI,Нью-Йорк Джайентс,Hello,
NYY,Нью-Йорк Янкиз,Да.,
KEK,Форт-Уэйн Кекионгас,Н/Д,
MLU,Милуоки Брюэрс,Hello,
CHH,Чикаго Вэйлс,Hello,
STP,Святые апостолы Павел,Hello,
WOR,Уорикские рубины,Hello,
SBS,Сент-Луис Браун Стокингс,Hello,СНА
PNA,Филадельфийские Атлетики,Н/Д,ОКТ
FLA,Майами Мэрлинс,Да.,
SFG,Сан-Франциско Джайантс,Да.,
MAR,"Балтимор, Мэриленд",Н/Д,
RES,Элизабет решает,Н/Д,
TEX,Техас Рейнджеры,Да.,
KCR,Канзас-Сити Роялс,Да.,
IBL,Индианаполис Блюз,Hello,
CHW,Чикаго Уайт Сокс,Да.,
TBD,Тампа Бэй Рейс,Да.,
PBB,Питтсбургские бургеры,Hello,
