yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1984,НЛЦС,SDN,NL,CHN,NL,3,2,0
2006,НЛЦС,SLN,NL,NYN,NL,4,3,0
1997,НЛЦС,FLO,NL,ATL,NL,4,2,0
1932,Вэ,NYA,AL,CHN,NL,4,0,0
1969,НЛЦС,NYN,NL,ATL,NL,3,0,0
2004,ALDS2,NYA,AL,MIN,AL,3,1,0
2011,НЛДС1,SLN,NL,PHI,NL,3,2,0
1993,Алькс,TOR,AL,CHA,AL,4,2,0
1960,Вэ,PIT,NL,NYA,AL,4,3,0
1971,НЛЦС,PIT,NL,SFN,NL,3,1,0
1972,НЛЦС,CIN,NL,PIT,NL,3,2,0
2004,АЛДС1,BOS,AL,ANA,AL,3,0,0
1989,Вэ,OAK,AL,SFN,NL,4,0,0
1975,Вэ,CIN,NL,BOS,AL,4,3,0
1950,Вэ,NYA,AL,PHI,NL,4,0,0
2008,НЛДС1,LAN,NL,CHN,NL,3,0,0
2000,НЛДС2,NYN,NL,SFN,NL,3,1,0
1942,Вэ,SLN,NL,NYA,AL,4,1,0
1996,Алькс,NYA,AL,BAL,AL,4,1,0
1997,ALDS2,BAL,AL,SEA,AL,3,1,0
2012,ABVC,BAL,AL,TEX,AL,1,0,0
2012,Вэ,SFN,NL,DET,AL,4,0,0
2007,Алькс,BOS,AL,CLE,AL,4,3,0
1998,НЛДС2,SDN,NL,HOU,NL,3,1,0
1981,Вэ,LAN,NL,NYA,AL,4,2,0
2010,АЛДС1,TEX,AL,TBA,AL,3,2,0
1989,НЛЦС,SFN,NL,CHN,NL,4,1,0
2001,НЛДС2,ARI,NL,SLN,NL,3,2,0
1982,Вэ,SLN,NL,ML4,AL,4,3,0
1907,Вэ,CHN,NL,DET,AL,4,0,0
1984,Вэ,DET,AL,SDN,NL,4,1,0
1909,Вэ,PIT,NL,DET,AL,4,3,0
1981,НЛЦС,LAN,NL,MON,NL,3,2,0
1985,Вэ,KCA,AL,SLN,NL,4,3,0
2003,АЛДС1,NYA,AL,MIN,AL,3,1,0
1997,НЛДС2,ATL,NL,HOU,NL,3,0,0
2006,Алькс,DET,AL,OAK,AL,4,0,0
2010,НЛДС1,PHI,NL,CIN,NL,3,0,0
1986,НЛЦС,NYN,NL,HOU,NL,4,2,0
1996,АЛДС1,BAL,AL,CLE,AL,3,1,0
1997,Вэ,FLO,NL,CLE,AL,4,3,0
1977,Алькс,NYA,AL,KCA,AL,3,2,0
1995,Алькс,CLE,AL,SEA,AL,4,2,0
1978,Вэ,NYA,AL,LAN,NL,4,2,0
1992,Вэ,TOR,AL,ATL,NL,4,2,0
2002,Вэ,ANA,AL,SFN,NL,4,3,0
1962,Вэ,NYA,AL,SFN,NL,4,3,0
2000,Вэ,NYA,AL,NYN,NL,4,1,0
1958,Вэ,NYA,AL,ML1,NL,4,3,0
1999,ALDS2,NYA,AL,TEX,AL,3,0,0
1970,Вэ,BAL,AL,CIN,NL,4,1,0
2009,Вэ,NYA,AL,PHI,NL,4,2,0
1983,Алькс,BAL,AL,CHA,AL,3,1,0
1980,Алькс,KCA,AL,NYA,AL,3,0,0
2010,Вэ,SFN,NL,TEX,AL,4,1,0
1992,НЛЦС,ATL,NL,PIT,NL,4,3,0
1928,Вэ,NYA,AL,SLN,NL,4,0,0
2009,НЛДС2,PHI,NL,COL,NL,3,1,0
1929,Вэ,PHA,AL,CHN,NL,4,1,0
1964,Вэ,SLN,NL,NYA,AL,4,3,0
1986,Алькс,BOS,AL,CAL,AL,4,3,0
2008,АЛДС1,BOS,AL,LAA,AL,3,1,0
1990,НЛЦС,CIN,NL,PIT,NL,4,2,0
1939,Вэ,NYA,AL,CIN,NL,4,0,0
1930,Вэ,PHA,AL,SLN,NL,4,2,0
1995,Вэ,ATL,NL,CLE,AL,4,2,0
1983,НЛЦС,PHI,NL,LAN,NL,3,1,0
2006,НЛДС1,NYN,NL,LAN,NL,3,0,0
1977,Вэ,NYA,AL,LAN,NL,4,2,0
2003,НЛДС1,FLO,NL,SFN,NL,3,1,0
1998,НЛДС1,ATL,NL,CHN,NL,3,0,0
1973,Вэ,OAK,AL,NYN,NL,4,3,0
1996,НЛЦС,ATL,NL,SLN,NL,4,3,0
2005,НЛДС1,SLN,NL,SDN,NL,3,0,0
2011,Вэ,SLN,NL,TEX,AL,4,3,0
1921,Вэ,NY1,NL,NYA,AL,5,3,0
1936,Вэ,NYA,AL,NY1,NL,4,2,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
2004,НЛДС1,SLN,NL,LAN,NL,3,1,0
1908,Вэ,CHN,NL,DET,AL,4,1,0
1945,Вэ,DET,AL,CHN,NL,4,3,0
1999,АЛДС1,BOS,AL,CLE,AL,3,2,0
1971,Алькс,BAL,AL,OAK,AL,3,0,0
2010,Алькс,TEX,AL,NYA,AL,4,2,0
2009,НЛЦС,PHI,NL,LAN,NL,4,1,0
2003,НЛЦС,FLO,NL,CHN,NL,4,3,0
2002,ALDS2,MIN,AL,OAK,AL,3,2,0
1965,Вэ,LAN,NL,MIN,AL,4,3,0
1937,Вэ,NYA,AL,NY1,NL,4,1,0
1954,Вэ,NY1,NL,CLE,AL,4,0,0
1980,Вэ,PHI,NL,KCA,AL,4,2,0
2007,НЛЦС,COL,NL,ARI,NL,4,0,0
1982,НЛЦС,SLN,NL,ATL,NL,3,0,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
2006,ALDS2,OAK,AL,MIN,AL,3,0,0
1974,Алькс,OAK,AL,BAL,AL,3,1,0
2008,ALDS2,TBA,AL,CHA,AL,3,1,0
1916,Вэ,BOS,AL,BRO,NL,4,1,0
1999,НЛЦС,ATL,NL,NYN,NL,4,2,0
1943,Вэ,NYA,AL,SLN,NL,4,1,0
2012,НЛЦС,SFN,NL,SLN,NL,4,3,0
1970,НЛЦС,CIN,NL,PIT,NL,3,0,0
1951,Вэ,NYA,AL,NY1,NL,4,2,0
1940,Вэ,CIN,NL,DET,AL,4,3,0
2009,АЛДС1,NYA,AL,MIN,AL,3,0,0
1999,НЛДС1,ATL,NL,HOU,NL,3,1,0
1955,Вэ,BRO,NL,NYA,AL,4,3,0
2003,ALDS2,BOS,AL,OAK,AL,3,2,0
2012,ALDS2,DET,AL,OAK,AL,3,2,0
1947,Вэ,NYA,AL,BRO,NL,4,3,0
2007,НЛДС1,ARI,NL,CHN,NL,3,0,0
1978,НЛЦС,LAN,NL,PHI,NL,3,1,0
2012,АЛДС1,NYA,AL,BAL,AL,3,2,0
1919,Вэ,CIN,NL,CHA,AL,5,3,0
1991,НЛЦС,ATL,NL,PIT,NL,4,3,0
2005,НЛЦС,HOU,NL,SLN,NL,4,2,0
1976,Алькс,NYA,AL,KCA,AL,3,2,0
1910,Вэ,PHA,AL,CHN,NL,4,1,0
1985,НЛЦС,SLN,NL,LAN,NL,4,2,0
1970,Алькс,BAL,AL,MIN,AL,3,0,0
1906,Вэ,CHA,AL,CHN,NL,4,2,0
1952,Вэ,NYA,AL,BRO,NL,4,3,0
2000,НЛДС1,SLN,NL,ATL,NL,3,0,0
1961,Вэ,NYA,AL,CIN,NL,4,1,0
1920,Вэ,CLE,AL,BRO,NL,5,2,0
1998,ALDS2,NYA,AL,TEX,AL,3,0,0
1983,Вэ,BAL,AL,PHI,NL,4,1,0
2012,Алькс,DET,AL,NYA,AL,4,0,0
1996,Вэ,NYA,AL,ATL,NL,4,2,0
1990,Вэ,CIN,NL,OAK,AL,4,0,0
1974,НЛЦС,LAN,NL,PIT,NL,3,1,0
1981,Аэдив,NYA,AL,ML4,AL,3,2,0
1973,Алькс,OAK,AL,BAL,AL,3,2,0
2007,АЛДС1,BOS,AL,LAA,AL,3,0,0
2001,ALDS2,NYA,AL,OAK,AL,3,2,0
1923,Вэ,NYA,AL,NY1,NL,4,2,0
2000,АЛДС1,NYA,AL,OAK,AL,3,2,0
2003,Алькс,NYA,AL,BOS,AL,4,3,0
1980,НЛЦС,PHI,NL,HOU,NL,3,2,0
2003,НЛДС2,CHN,NL,ATL,NL,3,2,0
2012,НЛВК,SLN,NL,ATL,NL,1,0,0
1997,АЛДС1,CLE,AL,NYA,AL,3,2,0
1934,Вэ,SLN,NL,DET,AL,4,3,0
1981,НЕДИВ,MON,NL,PHI,NL,3,2,0
1999,НЛДС2,NYN,NL,ARI,NL,3,1,0
1905,Вэ,NY1,NL,PHA,AL,4,1,0
2000,Алькс,NYA,AL,SEA,AL,4,2,0
2005,НЛДС2,HOU,NL,ATL,NL,3,1,0
2008,НЛДС2,PHI,NL,MIL,NL,3,1,0
1989,Алькс,OAK,AL,TOR,AL,4,1,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
1926,Вэ,SLN,NL,NYA,AL,4,3,0
2007,НЛДС2,COL,NL,PHI,NL,3,0,0
1957,Вэ,ML1,NL,NYA,AL,4,3,0
1986,Вэ,NYN,NL,BOS,AL,4,3,0
1903,Вэ,BOS,AL,PIT,NL,5,3,0
2008,Алькс,TBA,AL,BOS,AL,4,3,0
2001,Алькс,NYA,AL,SEA,AL,4,1,0
1979,Алькс,BAL,AL,CAL,AL,3,1,0
2011,ALDS2,TEX,AL,TBA,AL,3,1,0
1990,Алькс,OAK,AL,BOS,AL,4,0,0
1987,НЛЦС,SLN,NL,SFN,NL,4,3,0
2006,НЛДС2,SLN,NL,SDN,NL,3,1,0
