playerid,awardid,yearid,lgid,tie,notes
smithoz01,TSN All-Star,1986,NL,,SS
hartnga01,TSN All-Star,1937,ML,,С
careyma01,Baseball Magazine All-Star,1925,NL,,ЧФ
musiast01,TSN All-Star,1948,ML,,ОФ
rodrial01,Silver Slugger,2001,AL,,SS
luquedo01,Baseball Magazine All-Star,1923,ML,,P2
deandi01,Most Valuable Player,1934,NL,,
gehrilo01,Baseball Magazine All-Star,1931,ML,,1б
richabo01,TSN All-Star,1963,AL,,Две вей-системы
riverma01,World Series MVP,1999,ML,,
niekrph01,Gold Glove,1983,NL,,П
cuellmi01,Cy Young Award,1969,AL,Да.,
willibi01,TSN All-Star,1970,NL,,ОФ
posadjo01,Silver Slugger,2000,AL,,С
canoro01,Gold Glove,2012,AL,,Две вей-системы
spencst01,Baseball Magazine All-Star,1944,AL,,ЧФ
ziskri01,TSN All-Star,1981,AL,,ДХ
jeterde01,Silver Slugger,2009,AL,,SS
rosepe01,Lou Gehrig Memorial Award,1969,ML,,
gaettga01,Silver Slugger,1995,AL,,Три B
boyerke01,TSN Major League Player of the Year,1964,ML,,
fisheed02,TSN Fireman of the Year,1965,AL,,
lordha01,Baseball Magazine All-Star,1909,ML,,Три B
robinbr01,Gold Glove,1972,AL,,Три B
boggswa01,Silver Slugger,1991,AL,,Три B
johnswa01,Pitching Triple Crown,1924,AL,,
wallati01,TSN All-Star,1985,NL,,Три B
grimebu01,Baseball Magazine All-Star,1921,NL,,P1
spahnwa01,TSN Pitcher of the Year,1961,NL,,
mazerbi01,Gold Glove,1958,NL,,Две вей-системы
jonesto02,TSN Fireman of the Year,2000,AL,,
vanceda01,Baseball Magazine All-Star,1925,ML,,P2
mcdanli01,TSN Fireman of the Year,1963,NL,,
rodriiv01,Most Valuable Player,1999,AL,,
wagnele01,All-Star Game MVP,1962,ML,,Первая игра
spahnwa01,Baseball Magazine All-Star,1950,NL,,P1
mizejo01,Baseball Magazine All-Star,1942,ML,,1б
smoltjo01,Silver Slugger,1997,NL,,П
colemvi01,Rookie of the Year,1985,NL,,
parrila02,Silver Slugger,1990,AL,,С
zimmehe01,Baseball Magazine All-Star,1913,NL,,Три B
caminke01,Gold Glove,1995,NL,,Три B
guerrpe01,TSN All-Star,1982,NL,,ОФ
whitefr01,ALCS MVP,1980,AL,,
parkeda01,All-Star Game MVP,1979,ML,,
salmoti01,TSN All-Star,1995,AL,,ОФ
traynpi01,Baseball Magazine All-Star,1929,ML,,Три B
applilu01,Baseball Magazine All-Star,1936,AL,,SS
johnsra05,TSN All-Star,1995,AL,,ЛГП
maisefr01,Baseball Magazine All-Star,1915,AL,,Три B
grovele01,TSN All-Star,1932,ML,,П
winebo01,Gold Glove,1963,NL,,SS
maranra01,Baseball Magazine All-Star,1920,ML,,SS
mccovwi01,TSN Player of the Year,1969,NL,,
jonesan01,Gold Glove,2000,NL,,ОФ
geronce01,Gold Glove,1976,NL,,ОФ
foxxji01,TSN All-Star,1929,ML,,1б
greenha01,TSN Guide MVP,1940,AL,,
speaktr01,Baseball Magazine All-Star,1923,ML,,ОФ
coopemo01,Most Valuable Player,1942,NL,,
eckerde01,Cy Young Award,1992,AL,,
pettiga01,Gold Glove,1988,AL,,ОФ
papeljo01,Babe Ruth Award,2007,AL,,П
hartnga01,Baseball Magazine All-Star,1935,NL,,С
slaugen01,Baseball Magazine All-Star,1941,NL,,РЭ
mcnalda01,TSN All-Star,1968,AL,,П
fostege01,Most Valuable Player,1977,NL,,
antonjo02,TSN All-Star,1954,ML,,П
murraed02,TSN All-Star,1990,NL,,1б
bancrda01,Baseball Magazine All-Star,1926,NL,,SS
rodriiv01,NLCS MVP,2003,NL,,
friscfr01,Baseball Magazine All-Star,1921,NL,,Три B
chambch01,TSN All-Star,1976,AL,,1б
tebbebi01,TSN All-Star,1948,ML,,С
smoltjo01,TSN Pitcher of the Year,1996,NL,,
carltst01,TSN Pitcher of the Year,1980,NL,,
murphdw01,Gold Glove,1980,AL,,ОФ
ramirma02,TSN All-Star,2004,AL,,ОФ
aparilu01,TSN All-Star,1972,AL,,SS
glavito02,TSN All-Star,1992,NL,,ЛГП
dawsoan01,Rookie of the Year,1977,NL,,
chancfr01,Baseball Magazine All-Star,1909,NL,,1б
