raceid,driverid,lap,position,time,milliseconds
15,5,29,11,1:35.880,95880
110,49,51,5,1:23.968,83968
951,13,8,5,1:42.985,102985
172,37,5,12,1:26.282,86282
951,835,7,10,1:45.250,105250
16,2,21,17,1:33.446,93446
1,10,36,10,1:29.706,89706
942,828,15,12,1:58.051,118051
183,23,8,6,1:16.173,76173
171,64,23,11,1:29.385,89385
941,831,45,10,1:43.022,103022
69,37,43,11,1:35.237,95237
126,13,18,9,1:19.753,79753
881,18,40,14,1:42.621,102621
22,1,49,2,1:28.349,88349
105,41,25,9,1:39.030,99030
74,15,62,7,1:25.422,85422
961,3,41,1,1:26.813,86813
899,807,49,9,1:16.802,76802
60,14,36,12,1:24.666,84666
950,831,21,22,2:03.445,123445
235,22,31,10,1:24.233,84233
896,817,40,13,1:30.459,90459
907,813,8,16,1:16.539,76539
912,824,12,19,1:33.788,93788
40,4,66,1,1:17.009,77009
226,14,37,6,1:32.425,92425
169,48,73,15,1:25.168,85168
980,832,38,10,1:49.762,109762
887,13,19,22,2:41.968,161968
841,67,31,12,1:32.733,92733
841,67,46,10,1:30.987,90987
870,30,57,18,1:27.940,87940
170,65,4,10,2:08.155,128155
125,13,1,13,1:59.781,119781
150,22,51,2,1:16.960,76960
875,1,26,6,1:50.364,110364
843,2,47,12,1:42.842,102842
339,153,21,12,1:43.630,103630
860,4,28,4,1:32.680,92680
883,1,42,8,1:38.520,98520
69,26,48,17,1:51.429,111429
232,63,39,11,1:22.449,82449
851,67,53,9,1:29.440,89440
109,52,54,9,1:41.682,101682
930,3,7,1,1:31.585,91585
339,18,14,11,1:41.095,101095
863,5,4,24,1:41.373,101373
953,154,57,14,1:23.738,83738
117,15,4,6,1:17.780,77780
83,15,22,6,1:23.999,83999
12,5,39,6,1:48.945,108945
193,21,68,7,1:36.405,96405
909,155,7,19,1:25.321,85321
66,9,47,13,1:31.348,91348
887,4,46,6,1:36.293,96293
879,8,55,16,1:26.968,86968
77,31,51,8,1:34.676,94676
214,15,28,5,1:20.144,80144
970,839,25,11,1:39.385,99385
32,3,40,2,1:50.719,110719
850,3,46,7,1:36.730,96730
102,18,49,5,1:23.942,83942
848,4,30,4,1:48.257,108257
18,4,28,6,1:45.372,105372
94,23,11,11,1:36.778,96778
42,17,44,8,1:14.907,74907
12,17,26,11,1:49.403,109403
938,20,53,2,1:28.375,88375
9,5,26,11,1:37.119,97119
936,3,48,3,2:06.108,126108
913,815,33,17,2:40.473,160473
884,8,10,3,1:33.028,93028
846,1,48,9,1:21.074,81074
50,22,11,14,2:10.390,130390
936,833,7,20,1:55.638,115638
117,50,47,14,1:20.163,80163
37,5,32,9,1:38.438,98438
962,817,18,2,1:51.049,111049
84,15,4,5,1:28.364,88364
218,57,8,3,2:12.652,132652
166,21,54,10,1:23.947,83947
120,17,36,6,1:24.800,84800
164,56,76,4,1:25.499,85499
234,44,8,18,1:49.094,109094
180,22,7,18,1:26.083,86083
199,55,4,4,1:37.691,97691
916,13,9,3,1:44.064,104064
65,23,67,7,1:26.581,86581
225,55,29,2,1:37.480,97480
96,22,47,2,1:33.450,93450
909,20,48,6,1:22.957,82957
185,63,48,15,1:23.774,83774
869,10,53,22,1:23.286,83286
172,14,14,16,1:22.499,82499
977,839,50,8,1:09.215,69215
157,49,37,14,1:38.969,98969
859,16,11,8,1:19.437,79437
862,814,5,13,1:45.231,105231
222,49,43,2,1:39.461,99461
205,44,23,14,1:24.308,84308
158,15,1,6,1:45.579,105579
162,22,59,3,1:26.657,86657
939,18,49,14,1:52.397,112397
147,23,15,3,1:25.508,85508
154,50,8,10,2:01.639,121639
