name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Weichsel,,,Baltic Sea,1047.0,19.01,49.61,Beskides,1100.0,18.95,54.36
Lukenie,Fimi,,,900.0,24.5,-6.8,,,16.9,3.0
Goetaaelv,,,Kattegat,93.0,12.34,58.4,,44.0,11.9,57.7
Volga,,Caspian Sea,,3531.0,33.0,57.0,Waldai Hills,,47.85,46.7333
Klaraelv,,Vaenern,,460.0,11.9,62.2,,662.0,13.5,59.4
Tajo,,,Atlantic Ocean,1007.0,-1.7,40.32,Cordillera Iberica,1.58,-9.3,38.7
Rio Lerma,,Lago de Chapala,Pacific Ocean,965.0,-99.0,19.0,,,-105.6,21.5
Sobat,White Nile,,,740.0,,,,,31.65,9.63
Arkansas,Mississippi,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Paraguay,Parana,,,2549.0,-56.5,-14.5,,,-58.4,-27.3
Oranje,,,Atlantic Ocean,2160.0,28.5,-28.5,Drakensberge,1800.0,16.4,-28.55
Ruki,Zaire,,,130.0,19.0,-0.3,,,18.0,0.0
Kymijoki,,,Baltic Sea,203.0,25.4,61.5,,78.0,26.5,60.3
Orinoco,,,Atlantic Ocean,2140.0,-63.5,2.0,Sierra Parima,,-62.0,9.0
Benue,Niger,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Waag,Donau,,,403.0,19.81,49.02,Beskides,664.0,18.15,47.75
Akagera,,Lake Victoria,,275.0,29.3,-2.5,East African Rift,2700.0,33.0,-1.0
Euphrat,Schatt al Arab,,,2736.0,38.75,38.8,,,47.44,31.0
Chire,Zambezi,,,402.0,35.2,-14.2,East African Rift,474.0,35.5,-18.0
Guadalquivir,,,Atlantic Ocean,657.0,-3.0,37.8,Cordillera Betica,1400.0,-6.35,36.8
Fulda,Weser,,,221.0,9.9,50.5,Rhoen,850.0,9.65,51.4
Allegheny River,Ohio River,,,523.0,-77.9,41.9,Appalachian Mountains,759.0,-80.0,40.42
Schilka,Amur,,,560.0,111.0,49.8,,,121.48,53.33
Riviere Richelieu,Saint Lawrence River,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Moldau,Elbe,,,440.0,13.56,48.97,Bohemian Mountains,1174.0,14.47,50.35
Thjorsa,,,Atlantic Ocean,230.0,-18.0,65.0,,,-20.8,63.9
Tshuapa,Busira,,,1300.0,24.5,-3.0,,,20.8,-0.2
Amudarja,,Ozero Aral,,1415.0,68.3,37.1,,310.0,59.0,44.0
Ischim,Irtysch,,,2450.0,71.5,52.0,,,71.5,58.0
Isere,Rhone,,,290.0,7.0,45.4,Alps,2770.0,4.9,45.0
Busira,Ruki,,,830.0,20.8,-0.2,,,19.0,-0.3
White Drin,Drin,,,175.0,20.2,42.7,,,20.4,42.1
Connecticut River,,,Atlantic Ocean,655.0,-71.21,45.25,,,-72.33,41.27
Pruth,Donau,,,953.0,24.55,48.16,Karpaten,,28.21,45.47
Saone,Rhone,,,480.0,6.2,48.1,Vogesen,451.0,4.8,45.7
Oder,,,Baltic Sea,866.0,17.52,49.61,Sudety Mountains,634.0,14.59,53.6
Sanga,Zaire,,,530.0,15.0,6.0,,,17.0,-2.0
Murray River,,Lake Hume,Indian Ocean,2589.0,148.0,-38.0,Snowy Mountains,,138.88,-35.55
Oulujoki,,,Baltic Sea,107.0,27.25,64.3,,123.0,25.2,65.3
Nile,,Lake Nasser,Mediterranean Sea,,32.5,15.6,,,31.0,31.5
Rio Sao Francisco,,Lago de Sobradinho,Atlantic Ocean,2830.0,-43.0,-20.3,,1200.0,-36.4,-10.5
Isar,Donau,,,295.0,11.4,47.37,Alps,1.16,12.98,48.8
Schari,,Chad Lake,,1400.0,21.0,8.0,,,14.0,13.2
Parana,,,Atlantic Ocean,3998.0,-46.5,-19.0,,,-58.2,-34.5
Semliki,,Lake Sese Seko/Albertsee,,230.0,29.6,-0.35,East African Rift,920.0,30.9,1.7
Loire,,,Atlantic Ocean,1013.0,4.22,44.84,Cevennes,1408.0,-2.18,47.27
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
Rio Negro,Amazonas,,,2253.0,-70.0,-2.0,Andes,,-60.0,-3.1
Aller,Weser,,,211.0,11.23,52.1,,130.0,9.18,52.94
Maas,,,North Sea,925.0,5.63,47.97,,409.0,4.67,51.72
Hwangho,,,Yellow Sea,4845.0,96.2,35.3,,4500.0,119.14,37.74
Cuilo,Kwa,,,970.0,14.7,-11.3,,,17.4,3.3
Weser,,,North Sea,440.0,9.65,51.4,,116.5,8.5,53.5
Ammer,Isar,Ammersee,,168.0,11.05,47.57,Alps,850.0,11.96,48.5
Senegal,,,Atlantic Ocean,1430.0,-12.0,11.5,,,-16.5,15.96
Vaal,Oranje,,,1251.0,30.0,-26.0,Drakensberge,,24.0,-29.0
Yukon River,,,Bering Sea,3185.0,-134.5,60.54,,668.0,-163.98,62.574
March,Donau,,,358.0,16.85,50.21,Sudety Mountains,1380.0,16.98,48.17
Neckar,Rhein,,,367.0,8.5,48.05,,706.0,8.44,49.51
Nelson River,,,Arctic Ocean,664.0,-97.97,52.77,,218.0,-92.33,57.15
Brigach,Donau,,,43.0,8.28,48.11,Black Forest,940.0,8.52,47.95
Saskatchewan River,,Lake Winnipeg,,1392.0,-123.0,52.5,,1920.0,-97.97,52.77
Jangtse,,,East China Sea,6380.0,91.2,33.5,,5405.0,121.5,32.0
Columbia River,,Franklin. D. Roosevelt Lake,Pacific Ocean,1953.0,-115.85,50.2,,808.0,-124.06,46.24
Pibor,Sobat,,,,,,,,,
Dnjestr,,,Black Sea,1352.0,23.0,49.0,Karpaten,1000.0,30.23,46.35
Kolyma,,,Sibirian Sea,2129.0,145.0,61.5,,,161.49,69.63
Kokemaeenjoki,,,Baltic Sea,121.0,23.0,61.3,,,21.2,61.3
Ticino,Po,Lago Maggiore,,248.0,8.42,46.475,Alps,2400.0,9.235,45.14
Angara,Jenissej,Ozero Baikal,,1779.0,113.0,56.5,,,92.5,58.2
Aruwimi,Zaire,,,1287.0,14.7,-11.3,,,29.5,2.5
Inn,Donau,,,517.0,9.67,46.41,Alps,2484.0,13.47,48.57
Dalaelv,,,Baltic Sea,520.0,15.1,60.7,,,17.2,60.7
Fimi,Kwa,,,200.0,18.2,-2.7,,,16.9,3.0
Syrdarja,,Ozero Aral,,2129.0,71.7,41.0,,,60.5,46.0
Limpopo,,,Indian Ocean,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Vuoksi,,Ozero Ladoga,,162.0,28.75,61.2,,,31.54,60.81
Tocantins,,,Atlantic Ocean,2640.0,-49.0,-16.0,,,-48.0,-0.5
Petschora,,,Barents Sea,1809.0,59.0,62.0,Ural,,54.0,68.5
Ural,,Caspian Sea,,2428.0,59.0,54.0,Ural,,51.9,47.1
