name,country,province,population,longitude,latitude
Balakovo,R,Saratovskaya oblast,206000.0,,
Xiangtan,TJ,Hunan,441968.0,,
Birjand,IR,Khorasan,101177.0,,
Strasbourg,F,Alsace,252338.0,7.76667,48.5833
Ystrad Fawr,GB,Caerphilly,,,
Omaha,USA,Nebraska,342862.0,-95.9,41.3
Najafabad,IR,Esfahan,160004.0,,
Vologda,R,Vologodskaya oblast,299000.0,,
Hermannsverk,N,Sogn og Fjordane,706.0,6.5,61.1
Tirgu Mures,RO,Mures,165000.0,,
Hefei,TJ,Anhui,1000000.0,117.0,32.0
Leon,E,Castile and Leon,147311.0,,
Stary Oskol,R,Belgorodskaya oblast,198000.0,,
West Island,COCO,Cocos Islands,,96.5,-12.1
Sibiu,RO,Sibiu,184000.0,,
Butembo,ZRE,Kivu,109406.0,,
Shantou,TJ,Guangdong,578630.0,,
San Jose,CR,San Jose,296600.0,-84.2,10.0
Khon Kaen,THA,Thailand,206000.0,,
LAquila,I,Abruzzo,,13.2,42.24
Raleigh,USA,North Carolina,212092.0,-78.4,35.5
Nukus,UZB,Qaraqalpoghiston,185000.0,,
Oita,J,Oita,,,
Thunder Bay,CDN,Ontario,113746.0,-89.3167,48.3667
Moroni,COM,Comoros,,43.0,-12.0
Carmarthen,GB,Carmarthenshire,,,
Fengshan,RC,Taiwan,301374.0,,
Kikwit,ZRE,Bandundu,182142.0,,
Wycombe,GB,Buckinghamshire,161400.0,,
Cochin,IND,Kerala,582588.0,,
Lafia,WAN,Nigeria,108000.0,,
Madison,USA,Wisconsin,190766.0,-89.2,43.0
Satu Mare,RO,Satu Mare,137000.0,,
Jyvaeskylae,SF,Suomi,65511.0,25.2,62.1
Yamoussoukro,CI,Cote dIvoire,200659.0,-5.3,6.8
Fresno,USA,California,354091.0,,
Aracaju,BR,Sergipe,426580.0,-37.1,-11.0
Shanghai,TJ,Shanghai (munic.),7830000.0,121.433,31.2
Pasadena,USA,Texas,119604.0,,
Anqing,TJ,Anhui,250718.0,,
Des Moines,USA,Iowa,193189.0,-93.65,41.5333
Yangquan,TJ,Shanxi,362268.0,,
Niteroi,BR,Rio de Janeiro,450129.0,,
Mytishchi,R,Moskovskaya oblast,152000.0,,
Rostock,D,Mecklenburg Vorpommern,232634.0,12.1,54.1
Bandundu,ZRE,Bandundu,,17.4,3.3
Ikorodu,WAN,Nigeria,163000.0,,
Larkana,PK,Pakistan,123890.0,,
Manaus,BR,Amazonas,1158265.0,-60.0,-3.1
Evora,P,Evora,,,
Bur Said,ET,Bur Said (munic.),382000.0,,
Guayaquil,EC,Ecuador,1300868.0,-80.0,-2.0
Alofi,NIUE,Niue,,-169.9,-19.05
Salavat,R,Rep. of Bashkortostan,156000.0,,
Izhevsk,R,Udmurt Republic,654000.0,,
Stockton,USA,California,210943.0,-121.25,37.9
Sankt Peterburg,R,Sankt Peterburg,4838000.0,,
Getafe,E,Madrid,144368.0,,
Saltillo,MEX,Coahuila,420947.0,-101.0,25.3
Barueri,BR,Sao Paulo,176740.0,,
Zonguldak,TR,Zonguldak,115900.0,,
Helena,USA,Montana,23938.0,-112.0,46.6
Yakeshi,TJ,Nei Monggol,377869.0,,
Quezon,RP,Philippines,1989000.0,,
Leon,NIC,Nicaragua,171375.0,,
Dallas,USA,Texas,1007618.0,-96.85,32.85
Songkhla,THA,Thailand,243000.0,,
Sanandaj,IR,Kordestan,277314.0,,
Siedlce,PL,Siedleckie,,,
Ghent,B,East Flanders,227483.0,3.75,51.054
Vitoria da Conquista,BR,Bahia,241776.0,,
Napoli,I,Campania,1206013.0,14.15,40.5
Novocheboksarsk,R,Chuvash Republic,123000.0,,
Donetsk,UA,Donetska,1117000.0,,
Aswan,ET,Aswan,196000.0,,
Lisbon,P,Lisbon,807937.0,-9.13333,38.7167
Sapele,WAN,Nigeria,123000.0,,
Plzen,CZ,Zapadocesky,175000.0,,
Cherkessk,R,Karachayevo Cherkessk Rep.,119000.0,,
Tirgu Jiu,RO,Gorj,,,
Cumana,YV,Sucre,212432.0,,
Shizuishan,TJ,Ningxia Huizu,257862.0,,
Springfield,USA,Missouri,140494.0,-93.3833,37.2333
Bhatpara,IND,Madhya Pradesh,315976.0,,
Gelsenkirchen,D,Nordrhein Westfalen,293542.0,,
Macclesfield,GB,Cheshire,151400.0,,
Denver,USA,Colorado,467610.0,-104.867,39.75
Ndola,Z,Copperbelt,376311.0,,
Villeurbanne,F,Rhone Alpes,116872.0,,
Sialkot,PK,Pakistan,302009.0,,
Leninsk Kuznetskiy,R,Kemerovskaya oblast,121000.0,,
Manila,RP,Philippines,1655000.0,120.983,14.5833
Leiyang,TJ,Hunan,130115.0,,
Shangrao,TJ,Jiangxi,132455.0,,
Chaoyang,TJ,Liaoning,222394.0,,
Bern,CH,BE,134393.0,7.3,46.6
Cochabamba,BOL,Bolivia,304000.0,-66.0,-17.1
Jizzakh,UZB,Jizzakh,116000.0,,
Magway,MYA,Magway,,,
Quebec,CDN,Quebec,167517.0,-71.3833,46.8
Kathmandu,NEP,Nepal,393494.0,85.25,27.45
Fuling,TJ,Heilongjiang,173878.0,,
Soledad,CO,Atlantico,264583.0,,
