island,sea,lake,river
Batam,South China Sea,,
Grand Cayman,Caribbean Sea,,
Victoria Island,Arctic Ocean,,
Saint Helena,Atlantic Ocean,,
Saint Lucia,Atlantic Ocean,,
Isle of Wight,The Channel,,
Montserrat,Caribbean Sea,,
Malta,Mediterranean Sea,,
Saint Pierre,Atlantic Ocean,,
Aruba,Caribbean Sea,,
Borneo,Sulawesi Sea,,
Santa Rosa Island,Pacific Ocean,,
Grande-Terre,Caribbean Sea,,
Grand Bermuda,Atlantic Ocean,,
Svalbard,Norwegian Sea,,
Fehmarn,North Sea,,
Isla da Ometepe,,Lake Nicaragua,
Filicudi,Mediterranean Sea,,
Antigua,Caribbean Sea,,
Santiago,Atlantic Ocean,,
St. Martin,Caribbean Sea,,
Palawan,Sulawesi Sea,,
Lefkas,Mediterranean Sea,,
Fongafale,Pacific Ocean,,
Chios,Mediterranean Sea,,
Stromboli,Mediterranean Sea,,
Madeira,Atlantic Ocean,,
Osterinsel,Pacific Ocean,,
Kyushu,East China Sea,,
Molokai,Pacific Ocean,,
Nevis,Atlantic Ocean,,
South Andaman Island,Gulf of Bengal,,
Sokotra,Gulf of Aden,,
Martinique,Atlantic Ocean,,
Greenland,Atlantic Ocean,,
Dominica,Caribbean Sea,,
Guam,Pacific Ocean,,
Newfoundland,Atlantic Ocean,,
Wangerooge,North Sea,,
Lampedusa,Mediterranean Sea,,
Westray,North Sea,,
Sri Lanka,Indian Ocean,,
Fuerteventura,Atlantic Ocean,,
Luzon,South China Sea,,
Hainan,South China Sea,,
Sulawesi,Sunda Sea,,
Puerto Rico,Caribbean Sea,,
Iceland,Norwegian Sea,,
Rugen,North Sea,,
Tobago,Caribbean Sea,,
Fongafale,Pacific Ocean,,
Tobago,Atlantic Ocean,,
Tutuila,Pacific Ocean,,
Terschelling,North Sea,,
Male,Indian Ocean,,
Curacao,Caribbean Sea,,
Lolland,Baltic Sea,,
Timor,Sunda Sea,,
Borneo,Sunda Sea,,
Seeland,Kattegat,,
Barbuda,Atlantic Ocean,,
Jersey,The Channel,,
Mull,Atlantic Ocean,,
Hierro,Atlantic Ocean,,
Lipari,Mediterranean Sea,,
Panay,Sulawesi Sea,,
Isabela,Pacific Ocean,,
Filicudi,Mediterranean Sea,,
Malta,Mediterranean Sea,,
Paramuschir,Pacific Ocean,,
Tongatapu,Pacific Ocean,,
Lefkas,Mediterranean Sea,,
Sulawesi,Sulawesi Sea,,
Gotland,Baltic Sea,,
Nevis,Caribbean Sea,,
Gozo,Mediterranean Sea,,
Kyushu,Pacific Ocean,,
Rene Levasseur Island,,Lake Manicouagan,
Prince of Wales Island,Arctic Ocean,,
Fehmarn,North Sea,,
Mindanao,Pacific Ocean,,
Reunion,Indian Ocean,,
Bonaire,Caribbean Sea,,
Flores,Atlantic Ocean,,
Great Britain,Atlantic Ocean,,
North Uist,Atlantic Ocean,,
Great Britain,Irish Sea,,
Lanai,Pacific Ocean,,
Texel,North Sea,,
Graciosa,Atlantic Ocean,,
Saint Thomas,Atlantic Ocean,,
Sachalin,Sea of Japan,,
Nevis,Atlantic Ocean,,
Kotelny Island,Arctic Ocean,,
Ceram,Sunda Sea,,
New Providence,Atlantic Ocean,,
Great Britain,North Sea,,
Formentera,Mediterranean Sea,,
Hokkaido,Sea of Okhotsk,,
Barra,Atlantic Ocean,,
Honshu,Sea of Japan,,
Pitcairn,Pacific Ocean,,
Norderney,North Sea,,
Pulau Panjang,Indian Ocean,,
Cuba,Caribbean Sea,,
Sri Lanka,Gulf of Bengal,,
Benbecula,Atlantic Ocean,,
Okinawa,East China Sea,,
Alicudi,Mediterranean Sea,,
Luzon,Pacific Ocean,,
Niihau,Pacific Ocean,,
Khark,Arabian Sea,,
Lewis and Harris,Atlantic Ocean,,
Helgoland,North Sea,,
Nauru,Pacific Ocean,,
Svalbard,Norwegian Sea,,
Bishop Rock,Atlantic Ocean,,
Fogo,Atlantic Ocean,,
Mahe,Indian Ocean,,
Grande-Terre,Caribbean Sea,,
