country,continent,percentage
AG,America,100.0
ARU,America,100.0
AXA,America,100.0
BDS,America,100.0
BERM,America,100.0
BOL,America,100.0
BR,America,100.0
BS,America,100.0
BVIR,America,100.0
BZ,America,100.0
C,America,100.0
CAYM,America,100.0
CDN,America,100.0
CO,America,100.0
CR,America,100.0
DOM,America,100.0
EC,America,100.0
ES,America,100.0
FALK,America,100.0
FGU,America,100.0
GCA,America,100.0
GROX,America,100.0
GUAD,America,100.0
GUY,America,100.0
HCA,America,100.0
JA,America,100.0
KN,America,100.0
MART,America,100.0
MEX,America,100.0
MNTS,America,100.0
NA,America,100.0
NIC,America,100.0
PA,America,100.0
R,Europe,20.0
RH,America,100.0
RWA,Africa,100.0
EAU,Africa,100.0
YV,America,100.0
SP,Africa,100.0
LAO,Asia,100.0
BRN,Asia,100.0
MK,Europe,100.0
I,Europe,100.0
K,Asia,100.0
TN,Africa,100.0
IL,Asia,100.0
TUCA,America,100.0
G,Africa,100.0
CI,Africa,100.0
IRQ,Asia,100.0
UAE,Asia,100.0
CZ,Europe,100.0
RG,Africa,100.0
ET,Africa,90.0
