country,organization,type
PK,WFTU,member
STP,UN,member
D,Interpol,member
CR,UNIDO,member
LV,ANC,member
FPOL,SPC,member
P,ANC,member
WAN,WTrO,member
RSM,ECE,member
E,FAO,member
RA,IFC,member
MEX,Inmarsat,member
BG,WFTU,member
AUS,WHO,member
SYR,UNESCO,member
K,IAEA,member
IS,OSCE,member
SF,NIB,member
P,IOM,member
DK,PCA,member
J,ICRM,National Society
MC,IOC,National Olympic Committee
EAT,ACP,member
NZ,IFAD,Category I
AUS,SPF,member
UAE,CAEU,member
IL,IBRD,member
MA,IDA,Part II
ZW,IMF,member
MOC,CCC,member
TR,PCA,member
SN,ECOWAS,member
RCH,UNESCO,member
FJI,ACP,member
DK,ITU,member
N,NATO,member
BF,ILO,member
BD,FAO,member
TAD,UPU,member
ZW,NAM,member
RSM,NAM,guest
BRU,ASEAN,member
EAT,IAEA,member
IR,IBRD,member
ETH,ICRM,National Society
CI,AfDB,regional member
Q,IFRCS,member
TT,WIPO,member
H,UNU,member
KGZ,FAO,member
ARM,IMF,member
CL,IOM,member
IRQ,ITU,member
NEP,IFRCS,member
RG,ILO,member
DK,NC,member
FJI,ILO,member
CAM,PCA,member
M,IMF,member
ET,IFAD,Category III
P,ICFTU,member
KAZ,AsDB,regional member
CZ,Inmarsat,member
CZ,PFP,member
S,UNPREDEP,member
RCB,WFTU,member
RCH,PCA,member
EAK,IOM,member
J,IAEA,member
P,CERN,member
USA,ICAO,member
GNB,IDA,Part II
IND,UNMIH,member
CL,IMO,member
GUY,WMO,member
WAL,UN,member
OM,IDB,member
BG,NSG,member
AZ,Interpol,member
RA,UNTSO,member
SRB,UNIDO,member
EAK,WHO,member
RA,IMF,member
LAR,AMF,member
S,IMO,member
MH,Interpol,member
J,AsDB,regional member
COM,AL,member
B,WTrO,member
CH,ECE,member
USA,UNU,member
JA,UNITAR,member
SF,AsDB,nonregional member
LB,ICFTU,member
RCH,OAS,member
EAK,C,member
HCA,OPANAL,member
EC,RG,member
NAM,IMF,member
PK,UNIDO,member
CAYM,UPU,member
PK,WHO,member
NIC,WCL,member
TT,Interpol,member
LAR,CAEU,member
GR,IMO,member
KWT,IMO,member
RMM,UNAVEM III,member
SYR,IMO,member
WAG,UNIDO,member
D,IADB,member
P,NSG,member
A,NSG,member
WL,NAM,member
YV,IMO,member
BRN,FAO,member
EAT,UNHCR,member
E,OECD,member
CR,WMO,member
RCB,Intelsat,member
PA,UNESCO,member
LAR,IDA,Part II
NZ,IDA,Part I
GNB,ITU,member
MOC,IMF,member
EAU,UPU,member
RN,IOC,National Olympic Committee
CO,WFTU,member
IR,IFAD,Category II
