country,independence,dependent,government
GUAD,,F,overseas department of France
NIC,1821-09-15,,republic
WAG,1965-02-18,,republic under multiparty democratic rule
BZ,1981-09-21,,parliamentary democracy
GE,1991-04-09,,republic
AMSA,,USA,unincorporated and unorganized territory of the US
CO,1810-07-20,,republic
GROX,,DK,part of the Danish realm
PR,,USA,commonwealth associated with the US
PITC,,GB,British Overseas Territories
TN,1956-03-20,,republic
RCA,1960-08-13,,republic
KWT,1961-06-19,,nominal constitutional monarchy
SK,1993-01-01,,parliamentary democracy
Z,1964-10-24,,republic
SUD,1956-01-01,,transitional previously ruling military junta
MK,1991-09-17,,emerging democracy
FARX,,DK,part of the Danish realm
ARM,1918-05-28,,republic
JA,1962-08-06,,parliamentary democracy
BR,1822-09-07,,federal republic
TT,1962-08-31,,parliamentary democracy
PNG,1975-09-16,,parliamentary democracy
AZ,1991-08-30,,republic
KIR,1979-07-12,,republic
WD,1978-11-03,,parliamentary democracy
P,1140-01-01,,republic
TUCA,,GB,British Overseas Territories
PK,1947-08-14,,republic
TR,1923-10-29,,republican parliamentary democracy
SRB,2006-06-05,,parliamentary democracy
EAK,1963-12-12,,republic
TAD,1991-09-09,,republic
DJI,1977-06-27,,republic
RI,1945-08-17,,republic
HELX,,GB,British Overseas Territories
D,1871-01-18,,federal republic
NEP,1768-01-01,,parliamentary democracy as of 12 May 1991
BY,1991-08-25,,republic
EW,1991-09-06,,republic
GBJ,,GB,British crown dependency
DK,,,constitutional monarchy
MEX,1810-09-16,,federal republic operating under a centralized government
F,,,republic
RIM,1960-11-28,,republic
RC,,,multiparty democratic regime
BRU,1984-01-01,,constitutional sultanate
ETH,,,federal republic
LB,,,republic
MACX,,TJ,special administrative area in China
MOC,1975-06-25,,republic
ES,1821-09-15,,republic
TUV,1978-10-01,,democracy
RSA,1910-05-31,,republic
NAM,1990-03-21,,republic
DZ,1962-07-05,,republic
CH,,,federal republic
EAU,1962-10-09,,republic
GQ,1968-10-12,,republic in transition to multiparty democracy
Q,1971-09-03,,traditional monarchy
LV,1991-09-06,,republic
CR,1821-09-15,,democratic republic
STP,1975-07-12,,republic
LAO,1949-07-19,,Communist state
BEN,1960-08-01,,republic under multiparty democratic rule dropped Marxism Leninism December 1989
COCO,,AUS,territory of Australia
MNG,1921-03-13,,republic
RP,1946-07-04,,republic
COOK,,NZ,self governing parliamentary government in free association with New Zealand
OM,1650-01-01,,monarchy
AND,,,parliamentary democracy that retains as its heads of state a coprincipality
GH,1957-03-06,,constitutional democracy
RSM,0301-01-01,,republic
GR,1829-01-01,,parliamentary republic
KAZ,1991-12-16,,republic
BI,1962-07-01,,republic
SN,1960-08-20,,republic under multiparty democratic rule
IS,1944-06-17,,republic
HR,1991-06-25,,parliamentary democracy
SME,1975-11-25,,republic
NL,1579-01-01,,constitutional monarchy
K,1949-11-09,,multiparty liberal democracy under a constitutional monarchy established in September 1993
GAZA,,,
CAM,1960-01-01,,unitary republic
ZRE,1960-06-30,,republic with a strong presidential system
SLO,1991-06-25,,emerging democracy
TJ,,,Communist state
WSA,,,legal status of territory and question of sovereignty unresolved
MNTS,,GB,British Overseas Territories
MAL,1957-08-31,,constitutional monarchy
BS,1973-07-10,,commonwealth
SP,1960-07-01,,none
RMM,1960-09-22,,republic
WG,1974-02-07,,parliamentary democracy
MW,1964-07-06,,multiparty democracy
SYR,1946-04-17,,republic under military regime since March 1963
GB,1801-01-01,,constitutional monarchy
THA,1238-01-01,,constitutional monarchy
G,1960-08-17,,republic
MC,1419-01-01,,constitutional monarchy
RA,1816-07-09,,republic
RO,1881-01-01,,republic
TL,2002-05-20,,parliamentary democracy
TCH,1960-08-11,,republic
FSM,1986-11-03,,constitutional government in free association with the US
FJI,1970-10-10,,republic
SPMI,,F,territorial collectivity of France
YE,1990-05-22,,republic
GBG,,GB,British crown dependency
VU,1980-07-30,,republic
IRQ,1932-10-03,,republic
NIUE,1974-10-19,,self governing territory in free association with New Zealand
R,1991-08-24,,federation
RM,1960-06-26,,republic
GUAM,,USA,organized
BF,1960-08-05,,parliamentary
E,1492-01-01,,parliamentary monarchy
TM,1991-10-27,,republic
WEST,,,
UA,1991-12-01,,republic
KN,1983-09-19,,constitutional monarchy
A,1918-11-12,,federal republic
VN,1945-09-02,,Communist state
HCA,1821-09-15,,republic
IR,1979-04-01,,theocratic republic
SY,1976-06-29,,republic
NAU,1968-01-31,,republic
DOM,1844-02-27,,republic
