mountain,country,province
Sulitjelma,S,Norrbotten
Jabal Lubnan,RL,Lebanon
Meru,EAT,Arusha
Marmolata,I,Veneto
Joekul,N,Hordaland
Mont Blanc,I,Valle dAosta
Hochgolling,A,Styria
Snoehetta,N,Oppland
Broad Peak,TJ,Xinjiang Uygur
Popocatepetl,MEX,"Mexico, Estado de"
Mt Bona,CDN,Saskatchewan
Jostedalsbre,N,Sogn og Fjordane
Vignemale,F,Midi Pyrenees
Mt.Victoria,FJI,Fiji
Zhima,R,Rep. of Buryatiya
Mt. Babel,CDN,Quebec
Pik Lenina,TAD,Badakhshoni Kuni
Fogo,CV,Cape Verde
Sarektjokko,S,Norrbotten
Harney Peak,USA,South Dakota
Pik Pobeda,KGZ,Kyrgyzstan
Makalu,TJ,Tibet
Cayambe,EC,Ecuador
Ampato,PE,Arequipa
Pik Revoluzija,TAD,Badakhshoni Kuni
Matterhorn,I,Valle dAosta
Musala,BG,Bulgaria
Licancabur,BOL,Bolivia
Portefjaellen,S,Norrbotten
Mt. Giluwe,PNG,Papua New Guinea
Mantalingajan,RP,Philippines
Mt Fairweather,USA,Alaska
Emi Kussi,TCH,Chad
Mauna Loa,USA,Hawaii
Mt. Kosciuszko,AUS,New South Wales
Monte Rosa,I,Lombardia
Pelee,MART,Martinique
Mt Robson,CDN,British Columbia
Nevado del Ruiz,CO,Risaralda
Pico de Aneto,E,Aragon
Pico de Agulhas Negras,BR,Minas Gerais
Tatamailau,TL,Timor-Leste
GranParadiso,I,Valle dAosta
Gasherbrum I,TJ,Xinjiang Uygur
Rantekombola,RI,Indonesia
Kebnekaise,S,Norrbotten
Ruwenzori,ZRE,Kivu
Psiloritis,GR,Kriti
Pico de Teide,E,Canary Islands
Rinjani,RI,Indonesia
Thabana Ntlenyana,LS,Lesotho
Mont Blanc,F,Rhone Alpes
Fako,CAM,Sudoueste
Jabal Katrina,ET,Sina al Janubiyah
Elgon,EAK,Western
Ruwenzori,EAU,Uganda
Tsaratanana,RM,Antsiranana
Ojos del Salado,RCH,Chile
Puncak Jaya,RI,Indonesia
Mt Rainier,USA,Washington
Monte Pissis,RA,La Rioja
Oraefajokull,IS,Iceland
Kings Peak,USA,Utah
Popomanaseu,SLB,Solomon Islands
Schneekoppe,PL,Walbrzyskie
Tamgak,RN,Niger
Jabal Shuayb,YE,Yemen
Glittertind,N,Oppland
Kinabalu,MAL,Sabah
Monte Rosa,CH,VS
Nanga Parbat,PK,Pakistan
Tirich Mir,AFG,Afghanistan
Piton des Neiges,REUN,Reunion
Cerro de Punta,PR,Puerto Rico
Olympos,CY,Cyprus
Fujisan,J,Shizuoka
Pik Chan-Tengri,KGZ,Kyrgyzstan
Haleakala,USA,Hawaii
Pinatubo,RP,Philippines
Gran Sasso,I,Abruzzo
Mt Waddington,CDN,British Columbia
Broad Peak,PK,Pakistan
Mt Redoubt,USA,Alaska
Merapi,RI,Indonesia
Tahan,MAL,Kelantan
Puy De Dome,F,Auvergne
Concepcion,NIC,Nicaragua
Hotaka-Dake,J,Nagano
Ruapehu,NZ,New Zealand
Mt. Cook,NZ,New Zealand
Monte Pissis,RA,Tucuman
Zugspitze,D,Bayern
Semeru,RI,Indonesia
Pulog,RP,Philippines
Borah Peak,USA,Idaho
Pico Basile,GQ,Equatorial Guinea
Krakatau,RI,Indonesia
Llullaillaco,RA,Tucuman
Ararat,TR,Agri
Clingmans Dome,USA,Tennessee
Ras Daschan Terara,ETH,Ethiopia
Monte Falterona,I,Emilia Romagna
Pico Cristobal Colon,CO,Magdalena
Aconcagua,RA,Mendoza
Silisili,WS,Samoa
Cerro Chirripo,CR,Cartago
Marmolata,I,Trentino Alto Adige
Mt Adams,USA,Washington
Moldoveanu,RO,Sibiu
Mt Blackburn,USA,Alaska
Changbai Shan,NOK,North Korea
Cotopaxi,EC,Ecuador
Pico de los Nieves,E,Canary Islands
Kenia,EAK,Eastern
Finsteraarhorn,CH,BE
Kanlaon,RP,Philippines
Cho Oyu,NEP,Nepal
Monte Falterona,I,Toscana
Mount Apo,RP,Philippines
Mt McKinley,USA,Alaska
Olymp,GR,Kedriki Makedhonia
Andringitra,RM,Fianarantsoa
Torre de Cerredo,E,Asturias
Tahan,MAL,Pahang
Narodnaja,R,Rep. of Komi
Changbai Shan,TJ,Jilin
Gunung Binaiya,RI,Indonesia
Jabal Marra,SUD,Darfur
Mt Logan,CDN,Yukon Territory
