river,country,province
Suchona,R,Vologodskaya oblast
Nile,ET,El Daqahliya
Oder,PL,Zielonogorskie
Oder,PL,Gorzowskie
Lomami,ZRE,Shaba/Katanga
Arno,I,Toscana
Bahr el-Djebel/Albert-Nil,EAU,Uganda
Weichsel,PL,Elblaskie
Weser,D,Bremen
Ebro,E,Navarre
Weichsel,PL,Tarnowskie
Darling River,AUS,New South Wales
Donau,RO,Teleorman
Murrumbidgee River,AUS,Australia Capital Territory
Weichsel,PL,Tarnobrzeskie
Goetaaelv,S,Alvsborg
Seine,F,Bourgogne
Mississippi,USA,Louisiana
Maas,NL,Limburg
Weichsel,PL,Radomskie
Saskatchewan River,CDN,Saskatchewan
Merrimack River,USA,New Hampshire
Pruth,RO,Botosani
Colorado,USA,Nevada
Syrdarja,TAD,Khujand
Oranje,NAM,Namibia
Oesterdalaelv,S,Dalarna
Bahr el-Djebel/Albert-Nil,SUD,Bahr al Ghazal
Mississippi,USA,Tennessee
Syrdarja,UZB,Toshkent
Rio Sao Francisco,BR,Alagoas
Rio Lerma,MEX,Guanajuato
Donau,HR,Croatia
Rio Grande,USA,Colorado
Dnepr,UA,Kirovohradska
Amur,R,Chitinskaya oblast
Irtysch,KAZ,Pavlodar
Schari,RCA,Central African Republic
Uelle,ZRE,Equateur
Kymijoki,SF,Kymi
Rio Grande,USA,Texas
Lomami,ZRE,Kivu
Benue,WAN,Nigeria
Tajo,P,Lisbon
Senegal,RG,Guinea
Isere,F,Rhone Alpes
Akagera,EAT,Mwanza
Rio Sao Francisco,BR,Pernambuco
Aare,CH,BE
Raab,A,Burgenland
Mur,HR,Croatia
Tigris,TR,Siirt
Maas,B,Liege
Olt,RO,Harghita
Mur,H,Zala
Jubba,SP,Somalia
Vaesterdalaelv,S,Dalarna
Douro,P,Braganca
Jangtse,TJ,Anhui
Rhein,CH,SG
Zambezi,Z,Central
Paatsjoki,SF,Lappia
Isar,A,Tyrol
Bahr el-Djebel/Albert-Nil,SUD,al Istiwaiyah
Cuango,ANG,Lunda Sul
Donau,RO,Olt
Paraguay,BOL,Bolivia
Volga,R,Penzenskaya oblast
Weichsel,PL,Siedleckie
Cuilo,ANG,Cuando Cubango
Euphrat,TR,Malatya
Theiss,H,Hajdu Bihar
Arkansas,USA,Colorado
Irawaddy,MYA,Ayeyarwady
Hwangho,TJ,Shandong
Schilka,R,Chitinskaya oblast
Thames,GB,Berkshire
Nile,ET,El Minya
Weichsel,PL,Lubelskie
Douro,E,Castile and Leon
Colorado,MEX,Baja California
Oranje,RSA,Northern Cape
Tiber,I,Toscana
Amur,R,Yevreyskaya avt. oblast
Parana,BR,Mato Grosso do Sul
