sea,country,province
Atlantic Ocean,F,Poitou Charentes
Skagerrak,N,Oestfold
Indian Ocean,EAK,Coast
Atlantic Ocean,GB,Outer Hebrides
Atlantic Ocean,SN,Ziguinchor
Mediterranean Sea,GR,Kriti
Atlantic Ocean,SN,Louga
Atlantic Ocean,F,Bretagne
Sea of Azov,UA,Khersonska
Pacific Ocean,CR,Guanacaste
Mediterranean Sea,M,Malta
Caribbean Sea,C,Santiago de Cuba
Caribbean Sea,CR,Limon
Pacific Ocean,J,Hokkaido
Red Sea,JOR,Jordan
Caribbean Sea,HCA,Atlantida
Caribbean Sea,MEX,Yucatan
Pacific Ocean,TUV,Tuvalu
Atlantic Ocean,AXA,Anguilla
North Sea,GB,Northumberland
Caribbean Sea,SMAR,Saint Martin
Mediterranean Sea,RL,Lebanon
Atlantic Ocean,USA,Florida
Arabian Sea,OM,Oman
Pacific Ocean,J,Kanagawa
Irish Sea,GBM,Man
South China Sea,MAL,Terengganu
Mediterranean Sea,GR,Ionioi Nisoi
Caribbean Sea,YV,Distrito Federal
Persian Gulf,SA,Saudi Arabia
Sunda Sea,TL,Timor-Leste
North Sea,N,Hordaland
Baltic Sea,S,Gavleborg
Atlantic Ocean,BR,Pernambuco
Mediterranean Sea,ET,El Daqahliya
Red Sea,SA,Saudi Arabia
Gulf of Mexico,C,La Habana
Caribbean Sea,GCA,Guatemala
Andaman Sea,MYA,Ayeyarwady
Baltic Sea,SF,Aland
Baltic Sea,SF,Oulu
Atlantic Ocean,RCH,Chile
East China Sea,TJ,Zhejiang
Atlantic Ocean,E,Basque Country
Norwegian Sea,N,Nord Trondelag
Indian Ocean,MOC,Sofala
Mediterranean Sea,I,Marche
Malakka Strait,SGP,Singapore
Gulf of Bengal,MYA,Rakhine
Black Sea,UA,Khersonska
Atlantic Ocean,MNTS,Montserrat
Mediterranean Sea,GR,Voreion Aiyaion
Pacific Ocean,RCH,Chile
Atlantic Ocean,E,Andalusia
Indian Ocean,RM,Antsiranana
Baltic Sea,R,Leningradskaya oblast
Atlantic Ocean,F,Aquitaine
Mediterranean Sea,I,Campania
Baltic Sea,S,Gotland
Atlantic Ocean,BR,Amapa
Pacific Ocean,AUS,Tasmania
The Channel,GB,East Sussex
Atlantic Ocean,WL,Saint Lucia
Atlantic Ocean,ANG,Namibe
South China Sea,RP,Philippines
Mediterranean Sea,GBZ,Gibraltar
Pacific Ocean,NAU,Nauru
North Sea,GB,Greater London
Atlantic Ocean,CDN,Quebec
Atlantic Ocean,PR,Puerto Rico
Red Sea,DJI,Djibouti
Mediterranean Sea,I,Abruzzo
Pacific Ocean,J,Fukushima
Pacific Ocean,USA,California
Pacific Ocean,J,Okinawa
Indian Ocean,RM,Toamasina
Black Sea,UA,Krym
Baltic Sea,S,Stockholm
East China Sea,J,Saga
Caribbean Sea,C,Las Tunas
Caribbean Sea,CO,Atlantico
Atlantic Ocean,TUCA,Turks and Caicos Islands
Pacific Ocean,J,Tokushima
