name,code,capital,province,area,population
United States,USA,Washington,Distr. Columbia,9372610.0,266476278
Kazakstan,KAZ,Almaty,Almaty (munic.),2717300.0,16916463
Bermuda,BERM,Hamilton,Bermuda,53.3,67837
Monaco,MC,Monaco,Monaco,1.9,31719
Trinidad and Tobago,TT,Port-of-Spain,Trinidad and Tobago,5130.0,1272385
Luxembourg,L,Luxembourg,Luxembourg,2586.0,415870
Papua New Guinea,PNG,Port Moresby,Papua New Guinea,461690.0,4394537
Cote dIvoire,CI,Yamoussoukro,Cote dIvoire,322460.0,14762445
Marshall Islands,MH,Majuro,Marshall Islands,181.3,58363
Niger,RN,Niamey,Niger,1267000.0,9113001
Bahrain,BRN,Manama,Bahrain,620.0,590042
Ethiopia,ETH,Addis Ababa,Ethiopia,1127130.0,57171662
Kyrgyzstan,KGZ,Bishkek,Kyrgyzstan,198500.0,4529648
Cameroon,CAM,Yaounde,Centre,475440.0,14261557
Chile,RCH,Santiago,Chile,756950.0,14333258
Sudan,SUD,Khartoum,al Khartum,2505810.0,31547543
Laos,LAO,Vientiane,Laos,236800.0,4975772
Saint Kitts and Nevis,KN,Basseterre,Saint Kitts and Nevis,269.0,41369
Guernsey,GBG,Saint Peter Port,Guernsey,194.0,62920
Denmark,DK,Copenhagen,Denmark,43070.0,5249632
Zambia,Z,Lusaka,Lusaka,752610.0,9159072
Ukraine,UA,Kiev,Kyyivska,603700.0,50864009
Svalbard,SVAX,Longyearbyen,Svalbard,62049.0,2116
El Salvador,ES,San Salvador,El Salvador,21040.0,5828987
Brazil,BR,Brasilia,Distrito Federal,8511960.0,162661214
Timor-Leste,TL,Dili,Timor-Leste,15007.0,1131612
Netherlands,NL,Amsterdam,Noord Holland,37330.0,15568034
Martinique,MART,Fort-de-France,Martinique,1128.0,399151
Saint Vincent and the Grenadines,WV,Kingstown,Saint Vincent and the Grenadines,389.0,118344
Kenya,EAK,Nairobi,Nairobi,582650.0,28176686
Liechtenstein,FL,Vaduz,Liechtenstein,160.0,31122
Palau,PAL,Melekeok,Palau,458.0,16952
Argentina,RA,Buenos Aires,Distrito Federal,2766890.0,34672997
Chad,TCH,NDjamena,Chad,1284000.0,6976845
Tajikistan,TAD,Dushanbe,Dushanbe (munic.),143100.0,5916373
Saint Pierre and Miquelon,SPMI,Saint-Pierre,Saint Pierre and Miquelon,242.0,6809
Burkina Faso,BF,Ouagadougou,Burkina Faso,274200.0,10623323
Norway,N,Oslo,Oslo,324220.0,4383807
Guinea-Bissau,GNB,Bissau,Guinea-Bissau,36120.0,1151330
Burundi,BI,Bujumbura,Burundi,27830.0,5943057
Saint Lucia,WL,Castries,Saint Lucia,620.0,157862
Malaysia,MAL,Kuala Lumpur,Fed. Terr. of Kuala Lumpur,329750.0,19962893
Estonia,EW,Tallinn,Estonia,45100.0,1459428
United Kingdom,GB,London,Greater London,244820.0,58489975
Morocco,MA,Rabat,Morocco,446550.0,29779156
Nepal,NEP,Kathmandu,Nepal,140800.0,22094033
Guam,GUAM,Agana,Guam,541.3,178430
Croatia,HR,Zagreb,Croatia,56538.0,5004112
Belarus,BY,Minsk,Belarus,207600.0,10415973
Guinea,RG,Conakry,Guinea,245860.0,7411981
Hungary,H,Budapest,Budapest (munic.),93030.0,10002541
Faroe Islands,FARX,Torshavn,Faroe Islands,1400.0,43857
North Korea,NOK,Pyongyang,North Korea,120540.0,23904124
Russia,R,Moscow,Moskva,17075200.0,148178487
Algeria,DZ,Algier,Algeria,2381740.0,29183032
Qatar,Q,Doha,Qatar,11000.0,547761
Ireland,IRL,Dublin,Ireland,70280.0,3566833
Virgin Islands,VIRG,Charlotte Amalie,Virgin Islands,352.0,97120
Gambia,WAG,Banjul,Gambia,11300.0,1204984
Kosovo,KOS,Pristina,Kosovo,10887.0,1804838
Kiribati,KIR,Tarawa,Kiribati,717.0,80919
Vietnam,VN,Hanoi,Vietnam,329560.0,73976973
Tuvalu,TUV,Funafuti,Tuvalu,26.0,10146
Peru,PE,Lima,Lima,1285220.0,24523408
Malta,M,Valletta,Malta,320.0,375576
Guadeloupe,GUAD,Basse-Terre,Guadeloupe,1780.0,407768
India,IND,New Delhi,Delhi,3287590.0,952107694
Slovakia,SK,Bratislava,Slovakia,48845.0,5374362
Suriname,SME,Paramaribo,Suriname,163270.0,436418
Switzerland,CH,Bern,BE,41290.0,7207060
American Samoa,AMSA,Pago Pago,American Samoa,199.0,65628
Mayotte,MAYO,Mamoutzou,Mayotte,374.0,223765
Portugal,P,Lisbon,Lisbon,92080.0,9865114
Afghanistan,AFG,Kabul,Afghanistan,647500.0,22664136
Djibouti,DJI,Djibouti,Djibouti,22000.0,427642
Zaire,ZRE,Kinshasa,Kinshasa,2345410.0,46498539
Greenland,GROX,Nuuk,Greenland,2175600.0,58203
Saudi Arabia,SA,Riyadh,Saudi Arabia,1960580.0,19409058
Swaziland,SD,Mbabane,Swaziland,17360.0,998730
New Caledonia,NCA,Noumea,New Caledonia,19060.0,227436
Solomon Islands,SLB,Honiara,Solomon Islands,28450.0,412902
Bangladesh,BD,Dhaka,Bangladesh,144000.0,123062800
Aruba,ARU,Oranjestad,Aruba,193.0,103065
Belgium,B,Brussels,Brabant,30510.0,10170241
Guatemala,GCA,Guatemala City,Guatemala,108890.0,11277614
Grenada,WG,Saint Georges,Grenada,344.0,94961
Australia,AUS,Canberra,Australia Capital Territory,7686850.0,18260863
Central African Republic,RCA,Bangui,Central African Republic,622980.0,3274426
Jamaica,JA,Kingston,Jamaica,10991.0,2595275
Seychelles,SY,Victoria,Seychelles,455.0,77575
Vanuatu,VU,Port-Vila,Vanuatu,14760.0,177504
Mongolia,MNG,Ulaanbaatar,Mongolia,1565000.0,2496617
