lake,country,province
Lago Trasimeno,I,Toscana
Lake Keban,TR,Malatya
Lake Genezareth,SYR,Syria
Lake Chilwa,MOC,Niassa
Lake Turkana,EAK,Eastern
Caspian Sea,IR,Gilan
Ozero Balchash,KAZ,Taldyqorghan
Lake Tanganjika,EAT,Kigoma
Lake Tana,ETH,Ethiopia
Lago di Garda ,I,Veneto
Chad Lake,WAN,Nigeria
Kallavesi,SF,Kuopio
Lake Erie,USA,Ohio
Etoscha Salt Pan,NAM,Namibia
Chad Lake,TCH,Chad
Arresoe,DK,Denmark
Lake Victoria,EAT,Kagera
Lop Nor,TJ,Xinjiang Uygur
Lake Erie,USA,New York
Lake Mead,USA,Arizona
Ozero Chanka,TJ,Heilongjiang
Lake Prespa,AL,Albania
Lake Erie,USA,Michigan
Ozero Aral,KAZ,Qyzylorda
Balaton,H,Somogy
Maelaren,S,Vastmanland
Lake Huron,USA,Michigan
Lake Van,TR,Van
Qinghai Lake,TJ,Qinghai
Lake Bosumtwi,GH,Ghana
Vaenern,S,Varmland
Loch Lomond,GB,Highland
Lake Superior,USA,Michigan
Franklin. D. Roosevelt Lake,USA,Washington
Lake Titicaca,BOL,Bolivia
Dead Sea,IL,South
Lake Mead,USA,Nevada
Vaettern,S,Ostergotland
Lake Manitou,CDN,Ontario
Lago Maggiore,CH,TI
Balaton,H,Veszprem
Ozero Chanka,R,Primorsky kray
Lake Tanganjika,ZRE,Shaba/Katanga
Barrage de Mbakaou,CAM,Adamaoua
Dead Sea,WEST,West Bank
Lake Irazu,CR,Cartago
Lake Nicaragua,CR,Guanacaste
Lake Powell,USA,Utah
Lake Turkana,EAK,Rift Valley
Lake Abaya,ETH,Ethiopia
Oulujaervi,SF,Oulu
Kentucky Lake,USA,Tennessee
Lake Victoria,EAT,Mara
Lake Nipigon,CDN,Ontario
Zurichsee,CH,SZ
Ozero Balchash,KAZ,Zhambyl
Lake Keban,TR,Tunceli
Lake Tanganjika,EAT,Mbeya
Maelaren,S,Uppsala
Ozero Tschany,R,Novosibirskaya oblast
Lake Tanganjika,Z,Northern
Lake Kioga,EAU,Uganda
Vaenern,S,Skaraborg
Lake Champlain,USA,Vermont
Salar de Uyuni,BOL,Bolivia
Brienzersee,CH,BE
Lake Maracaibo,YV,Trujillo
Lake Michigan,USA,Wisconsin
Vierwaldstattersee,CH,NW
Zurichsee,CH,GL
Lake Michigan,USA,Michigan
Fort Peck Lake,USA,Montana
Caspian Sea,R,Rep. of Kalmykiya
Lac Leman,CH,GE
Lake Tahoe,USA,California
Licancabur Crater Lake,BOL,Bolivia
Ozero Ladoga,R,Rep. of Karelia
Lake Oahe,USA,South Dakota
Saimaa,SF,Mikkeli
Chickamauga Lake,USA,Tennessee
Lake Chilwa,MW,Malawi
Lake Sakakawea,USA,Montana
Lake Powell,USA,Arizona
Chiemsee,D,Bayern
Maelaren,S,Stockholm
Kentucky Lake,USA,Kentucky
Caspian Sea,R,Rep. of Dagestan
Lake Sese Seko/Albertsee,EAU,Uganda
Lake Prespa,GR,Dhytiki Makedhonia
Hamun e Jaz Murian,IR,Sistan e Baluchestan
Siljan,S,Dalarna
Lake Tanganjika,EAT,Tabora
Zurichsee,CH,ZH
Lake Ohrid,AL,Albania
Vaettern,S,Jonkoping
Caspian Sea,TM,Balkan
Lake Ohrid,MK,Macedonia
Ozero Aral,UZB,Qaraqalpoghiston
Lake Erie,CDN,Ontario
Chew Bahir,EAK,Eastern
Lake Abbe,DJI,Djibouti
Caspian Sea,R,Astrakhanskaya oblast
Lake Sese Seko/Albertsee,ZRE,Haut Zaire
Lac Leman,CH,VS
Lake Champlain,USA,New York
Neusiedlersee,A,Burgenland
Lake Abbe,ETH,Ethiopia
Lac Leman,F,Rhone Alpes
Atlin Lake,CDN,British Columbia
Ozero Baikal,R,Rep. of Buryatiya
Lake Malawi,EAT,Ruvuma
Lake Managua,NIC,Nicaragua
