river,country,province
Inn,CH,GR
Theiss,UA,Chernivetska
Ruzizi,RWA,Rwanda
Iller,A,Vorarlberg
Enns,A,Lower Austria
Detroit River,CDN,Ontario
Argun,TJ,Heilongjiang
Newa,R,Leningradskaya oblast
Senegal,RG,Guinea
Schatt al Arab,IRQ,Al Anbar
Mississippi,USA,Minnesota
Kwa,ZRE,Bandundu
Rio Mamore,BOL,Bolivia
Saone,F,Lorraine
Schilka,R,Chitinskaya oblast
Schari,RCA,Central African Republic
Niagara River,USA,New York
Thames,GB,Wiltshire
Yukon River,CDN,Yukon Territory
Elbe,CZ,Vychodocesky
Lech,A,Vorarlberg
Lukenie,ZRE,Kasai Oriental
Kura,TR,Kars
Doubs,F,Franche Comte
Don,R,Tulskaya oblast
Arkansas,USA,Colorado
Ubangi,ZRE,Equateur
Hwangho,TJ,Qinghai
Vaal,RSA,Mpumalanga
Lomami,ZRE,Shaba/Katanga
Rio Sao Francisco,BR,Minas Gerais
Rio Grande,USA,Colorado
Jordan,RL,Lebanon
Nile,SUD,al Khartum
Southern Morava,MK,Macedonia
Drau,I,Trentino Alto Adige
Umeaelv,S,Vasterbotten
Adda,I,Lombardia
Tocantins,BR,Goias
Volta,BF,Burkina Faso
Olt,RO,Harghita
Dnjestr,UA,Lvivska
Mackenzie River,CDN,Northwest Territories
Weser,D,Niedersachsen
Cuango,ANG,Malanje
Garonne,E,Catalonia
Karasu,TR,Erzurum
Missouri,USA,Montana
Alz,D,Bayern
Bani,CI,Cote dIvoire
Western Morava,SRB,Serbia
Drin,AL,Albania
Uruguay,BR,Rio Grande do Sul
Naryn,KGZ,Kyrgyzstan
Gambia,RG,Guinea
Reuss,CH,UR
Fulda,D,Hessen
Zambezi,Z,Luapula
Ounasjoki,SF,Lappia
Atbara,ETH,Ethiopia
Jenissej,R,Rep. of Tyva
Pruth,UA,Ivano Frankivska
Goetaaelv,S,Alvsborg
Lagen,N,Oppland
Maas,F,Champagne Ardenne
Kasai,ANG,Moxico
Indus,TJ,Tibet
Blue Nile,ETH,Ethiopia
Guadiana,E,Castile La Mancha
Bahr el-Djebel/Albert-Nil,EAU,Uganda
Brahmaputra,TJ,Tibet
Saar,F,Alsace
Oulujoki,SF,Oulu
Isar,A,Tyrol
Oder,CZ,Severomoravsky
Waag,SK,Slovakia
Neckar,D,Baden Wurttemberg
Murray River,AUS,Victoria
Colorado,USA,Colorado
Petschora,R,Rep. of Komi
Ticino,CH,TI
Chire,MW,Malawi
Salzach,A,Salzburg
White Drin,KOS,Kosovo
Donau,D,Baden Wurttemberg
Akagera,RWA,Rwanda
Guadalquivir,E,Andalusia
Irtysch,KAZ,Shyghys Qazaqstan
Dnepr,R,Smolenskaya oblast
Rhein,CH,GR
Parana,BR,Minas Gerais
Rhone,CH,VS
Rio San Juan,NIC,Nicaragua
Ohio River,USA,Pennsylvania
Limpopo,RSA,Gauteng
Aruwimi,ZRE,Haut Zaire
Klaraelv,N,Hedmark
Suchona,R,Vologodskaya oblast
Oesterdalaelv,S,Dalarna
Volga,R,Tverskaya oblast
Paraguay,BR,Mato Grosso
Aller,D,Niedersachsen
Western Dwina,R,Smolenskaya oblast
