abbreviation,name,city,country,province,established
OECS,Organization of Eastern Caribbean States,Castries,WL,Saint Lucia,1981-06-18
ECE,Economic Commission for Europe,Geneva,CH,GE,1947-03-28
IADB,Inter-American Development Bank,Washington,USA,Distr. Columbia,1959-04-08
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-09-01
IMF,International Monetary Fund,Washington,USA,Distr. Columbia,1944-07-22
CAEU,Council of Arab Economic Unity,Amman,JOR,Jordan,1957-06-03
CACM,Central American Common Market,Guatemala City,GCA,Guatemala,1960-12-13
UNMOGIP,United Nations Military Observer Group in India and Pakistan,New York,USA,New York,1948-08-13
WTrO,World Trade Organization,,,,1994-04-15
ICFTU,International Confederation of Free Trade Unions,Brussels,B,Brabant,1949-12-01
IFRCS,International Federation of Red Cross and Red Crescent Societies,Geneva,CH,GE,1919-05-05
NATO,North Atlantic Treaty Organization,Brussels,B,Brabant,1949-09-17
ECLAC,Economic Commission for Latin America and the Caribbean,Santiago,RCH,Chile,1948-02-25
G-5,Group of 5,,,,1985-09-22
Mercosur,Southern Cone Common Market,Buenos Aires,RA,Distrito Federal,1991-03-26
UNCRO,United Nations Confidence Restoration Operation in Croatia,New York,USA,New York,1995-03-31
OAPEC,Organization of Arab Petroleum Exporting Countries,,,,1968-01-09
SPF,South Pacific Forum,Suva,FJI,Fiji,1971-08-05
UNITAR,United Nations Institute for Training and Research,,,,1963-12-11
UNIDO,United Nations Industrial Development Organization,Vienna,A,Vienna,1966-11-17
Caricom,Caribbean Community and Common Market,Georgetown,GUY,Guyana,1973-07-04
ILO,International Labor Organization,Geneva,CH,GE,1919-04-11
EADB,East African Development Bank,Kampala,EAU,Uganda,1967-06-06
CE,Council of Europe,Strasbourg,F,Alsace,1949-05-05
G-77,Group of 77,,,,1967-10-01
NAM,Nonaligned Movement,Jakarta,RI,Indonesia,1961-09-01
EU,European Union,Brussels,B,Brabant,1992-02-07
G-3,Group of 3,,,,1990-10-01
G-10,Group of 10,Paris,F,Ile de France,1962-10-01
NIB,Nordic Investment Bank,Helsinki,SF,Uusimaa,1975-12-04
CIS,Commonwealth of Independent States,Minsk,BY,Belarus,1991-12-08
WHO,World Health Organization,Geneva,CH,GE,1946-07-22
UNMOT,United Nations Mission of Observers in Tajikistan,New York,USA,New York,1994-12-16
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
EBRD,European Bank for Reconstruction and Development,London,GB,Greater London,1991-04-15
OPEC,Organization of Petroleum Exporting Countries,Vienna,A,Vienna,1960-09-14
UPU,Universal Postal Union,Bern,CH,BE,1874-10-09
IMO,International Maritime Organization,London,GB,Greater London,1958-03-17
UNPREDEP,United Nations Preventive Deployment Force,,,,1995-03-31
Interpol,International Criminal Police Organization,Lyon,F,Rhone Alpes,1956-06-13
G-19,Group of 19,,,,1975-10-01
WMO,World Meteorological Organization,Geneva,CH,GE,1947-10-11
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,,,,1981-01-01
ECO,Economic Cooperation Organization,Tehran,IR,Tehran,1985-01-01
ESCWA,Economic and Social Commission for Western Asia,Amman,JOR,Jordan,1973-08-09
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
PFP,Partnership for Peace,,,,1994-01-10
UDEAC,Central African Customs and Economic Union,Bangui,RCA,Central African Republic,1964-12-08
OSCE,Organization for Security and Cooperation in Europe,Vienna,A,Vienna,1995-01-01
OECD,Organization for Economic Cooperation and Development,Paris,F,Ile de France,1960-12-14
C,Commonwealth,London,GB,Greater London,1931-12-31
G-24,Group of 24,Brussels,B,Brabant,1972-01-01
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
SPC,South Pacific Commission,Noumea,NCA,New Caledonia,1947-02-06
UNDOF,United Nations Disengagement Observer Force,Damascus,SYR,Syria,1974-05-31
IDB,Islamic Development Bank,Jeddah,SA,Saudi Arabia,1973-12-15
Inmarsat,International Mobile Satellite Organization,London,GB,Greater London,1976-09-03
WIPO,World Intellectual Property Organization,Geneva,CH,GE,1967-07-14
EN,Nuclear Energy Agency,,,,1958-01-01
AG,Andean Group,Lima,PE,Lima,1969-05-26
ISO,International Organization for Standardization,Geneva,CH,GE,1947-02-01
FZ,Franc Zone,Paris,F,Ile de France,1945-12-20
GCC,Gulf Cooperation Council,Riyadh,SA,Saudi Arabia,1981-05-25
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
BCIE,Central American Bank for Economic Integration,Tegucigalpa,HCA,Francisco Morazan,1960-12-13
G-11,Group of 11,,,,1984-06-22
LAIA,Latin American Integration Association,Montevideo,ROU,Uruguay,1980-08-12
BDEAC,Central African States Development Bank,Brazzaville,RCB,Congo,1975-12-03
CP,Colombo Plan,Colombo,CL,Sri Lanka,1951-07-01
CCC,Customs Cooperation Council,Brussels,B,Brabant,1950-12-15
G-9,Group of 9,,,,
CBSS,Council of the Baltic Sea States,,,,1992-03-05
ICC,International Chamber of Commerce,Paris,F,Ile de France,1919-01-01
