country,population_growth,infant_mortality
UAE,4.33,20.4
EAK,2.27,55.3
MK,0.46,29.7
VN,1.57,38.4
RWA,16.49,118.8
RI,1.53,63.1
SLO,-0.27,7.3
LS,1.9,81.6
RMM,2.95,102.7
NAM,2.93,47.2
CDN,1.06,6.1
RH,1.77,103.8
AL,1.34,49.2
BG,0.46,15.7
SRB,-0.47,6.75
D,0.67,6.0
MAL,2.07,24.0
KN,0.98,18.9
NOK,1.74,25.9
RG,1.85,134.1
FPOL,1.39,7.55
NCA,1.14,7.05
GBG,1.28,9.2
JA,0.8,15.6
C,0.44,9.0
NORF,,
N,0.48,4.9
AXA,2.27,3.52
AND,2.96,2.2
FGU,3.86,14.6
SA,3.45,46.4
GH,2.29,80.3
SK,0.34,10.7
RB,1.63,54.2
MEX,1.87,25.0
RSA,1.76,48.8
SN,3.37,64.0
LT,-0.35,17.0
TR,1.67,43.2
PNG,2.29,60.1
USA,0.91,6.7
UA,-0.4,22.5
SLB,3.35,25.8
AZ,0.78,74.5
BS,1.05,23.3
NEP,2.45,79.0
NIC,2.67,45.8
ARU,1.478,13.79
SPMI,0.77,9.95
LAR,3.67,59.5
RN,2.99,117.6
RA,1.1,28.3
CH,0.59,5.4
MW,1.71,139.9
AG,0.76,17.2
COOK,-3.3,16.9
JOR,2.65,31.5
CV,2.93,54.3
S,0.56,4.5
WD,0.38,9.6
PR,0.34,8.42
MOC,2.65,125.6
BDS,0.26,18.7
ZRE,1.67,108.0
R,-0.07,24.7
LAO,2.81,96.8
WEST,4.99,28.6
COCO,,
NMIS,2.29,6.7
NIUE,,
CO,1.66,25.8
BRU,2.56,24.2
OM,3.53,27.3
EAT,1.15,105.9
BEN,3.32,105.1
WV,0.64,16.8
RO,-1.21,23.2
FARX,-1.8,7.2
MD,0.18,47.6
YV,1.89,29.5
J,0.21,4.4
