country,target
TT,Christian
MA,non-Christian
F,Christian
I,Christian
MEX,Christian
S,Christian
GQ,Christian
COOK,Christian
L,Christian
HONX,Christian
FARX,Christian
WD,Christian
GR,Christian
BRU,non-Christian
M,Christian
NIUE,Christian
RSA,non-Christian
AFG,non-Christian
AZ,non-Christian
THA,non-Christian
AL,non-Christian
AXA,Christian
A,Christian
NORF,Christian
BF,non-Christian
OM,non-Christian
AUS,Christian
Q,non-Christian
TN,non-Christian
MS,non-Christian
REUN,Christian
TUCA,Christian
MV,non-Christian
SF,Christian
AND,Christian
N,Christian
KAZ,non-Christian
RWA,Christian
FPOL,Christian
NCA,Christian
BDS,Christian
ROU,Christian
MW,Christian
KIR,Christian
RA,Christian
LS,Christian
TM,non-Christian
JA,Christian
GH,non-Christian
SY,Christian
SYR,non-Christian
DK,Christian
SPMI,Christian
RCH,Christian
RI,non-Christian
DJI,non-Christian
B,Christian
CV,Christian
MNG,non-Christian
TL,Christian
P,Christian
DOM,Christian
V,Christian
JOR,non-Christian
EC,Christian
