sea1,sea2
East China Sea,Pacific Ocean
Arctic Ocean,Barents Sea
Sea of Japan,Sea of Okhotsk
Gulf of Aden,Red Sea
Arabian Sea,Gulf of Aden
North Sea,Skagerrak
Andaman Sea,Gulf of Bengal
Kattegat,Skagerrak
East China Sea,Sea of Japan
Baltic Sea,North Sea
South China Sea,Sunda Sea
Atlantic Ocean,Norwegian Sea
Arabian Sea,Indian Ocean
Sulawesi Sea,Sunda Sea
Gulf of Aden,Indian Ocean
Pacific Ocean,Sulawesi Sea
Atlantic Ocean,Pacific Ocean
Caribbean Sea,Gulf of Mexico
Pacific Ocean,Sunda Sea
East China Sea,Yellow Sea
Indian Ocean,Sunda Sea
Malakka Strait,South China Sea
Gulf of Bengal,Pacific Ocean
North Sea,The Channel
Arabian Sea,Gulf of Oman
Arctic Ocean,Norwegian Sea
Arctic Ocean,Bering Sea
Arctic Ocean,Atlantic Ocean
Gulf of Oman,Persian Gulf
East China Sea,South China Sea
Indian Ocean,Pacific Ocean
Atlantic Ocean,Mediterranean Sea
Barents Sea,Norwegian Sea
Black Sea,Mediterranean Sea
North Sea,Norwegian Sea
Atlantic Ocean,Caribbean Sea
Gulf of Oman,Indian Ocean
Barents Sea,Sibirian Sea
Atlantic Ocean,Indian Ocean
Atlantic Ocean,Irish Sea
Bering Sea,Pacific Ocean
Atlantic Ocean,North Sea
South China Sea,Sulawesi Sea
Arctic Ocean,Sibirian Sea
Pacific Ocean,Sea of Japan
Black Sea,Sea of Azov
Andaman Sea,Indian Ocean
Pacific Ocean,Sea of Okhotsk
Andaman Sea,Malakka Strait
Atlantic Ocean,Gulf of Mexico
Sea of Japan,Yellow Sea
Gulf of Bengal,Sunda Sea
Pacific Ocean,South China Sea
Atlantic Ocean,The Channel
