name,mountains,height,type,longitude,latitude
Pik Lenina,Pamir,7134.0,,72.55,39.2
Nevado del Ruiz,Andes,5389.0,volcano,-75.3,4.9
Galdhoeppig,,2469.0,,8.0,61.4
Mt Fairweather,Elias Range,4663.0,,-137.5,58.9
Nevado del Huila,Andes,5750.0,volcano,-76.0,2.9
Wheeler Peak,Rocky Mountains,4011.0,,-105.4,36.55
Rinjani,,3726.0,volcano,116.5,-8.4
Ruwenzori,East African Rift,5109.0,,29.9,0.4
Portefjaellen,,2021.0,,17.4,67.1
Mt. Giluwe,,4368.0,volcano,143.9,-6.05
Pico Bolivar,Andes,4981.0,,-71.0,8.6
Demirkazik,Taurus,3756.0,,35.2,37.8
Vesuv,,1281.0,volcano,14.4,40.8
Kebnekaise,,2114.0,,18.3,67.5
Dodabetta,West Ghats,2636.0,,76.7,11.4
Kings Peak,Rocky Mountains,4123.0,,-110.4,40.5
Annapurna,Himalaya,8091.0,,83.8,28.6
Mt Logan,Elias Range,5959.0,,-140.4,60.6
Hekla,,1491.0,volcano,-19.7,64.0
Pico de Sao Tome,,2024.0,volcanic,6.6,0.2
Mt St.Elias,Elias Range,5489.0,,-140.9,60.3
Hvannadalshnukur,,2110.0,volcanic,-16.7,64.1
Mt. Balbi,,2715.0,volcanic,155.0,-5.9
Lhotse,Himalaya,8516.0,,86.9,28.0
Nanga Parbat,Karakorum,8125.0,,74.6,35.2
Boundary Peak,Sierra Nevada California,4006.0,,-118.3,37.9
Mt Redoubt,Aleutian Range,3108.0,volcano,-152.75,60.5
Mt McKinley,Alaska Range,6193.0,,-151.0,63.1
Blue Mountain Peak,,2256.0,,-76.4,18.1
Mt. Wilhelm,,4509.0,,145.0,-5.8
Jostedalsbre,,2083.0,,5.5,61.4
Mauna Loa,Hawaii,4170.0,volcano,-155.6,19.5
Nevado de Colima,Cordillera Volcanica,4330.0,volcano,-104.0,20.0
Shishapangma,Himalaya,8027.0,,85.8,28.55
Mantalingajan,,2085.0,volcanic,118.4,9.7
Finsteraarhorn,Alps,4274.0,,8.1,46.5
Fujisan,,3776.0,volcano,139.0,35.0
Torre de Estrela,Cordillera Central,1993.0,,-7.6,40.3
Zard Kuh,Zagros,4550.0,,50.1,32.35
Illampu,Cordillera Real,6368.0,granite,-68.5,-15.8
Hotaka-Dake,,3190.0,volcano,138.0,36.0
Pico Duarte,,3098.0,,-71.3,18.3
Mt. Babel,,952.0,,-68.7,51.45
Tarrekaise,,1850.0,,17.3,67.0
Kinabalu,,4101.0,granite,116.5,6.1
Bjelucha,Altai,4506.0,,86.4,49.48
Tupungato,Andes,6550.0,volcano,-69.87,-33.35
Mt Hood,Cascade Range,3424.0,volcano,-121.5,45.2
Clingmans Dome,Appalachen,2025.0,,-83.2,35.3
Gran Sasso,Apennin,2912.0,,13.55,42.5
Etna,,3323.0,volcano,15.0,37.7
Emi Kussi,Tibesti,3415.0,volcano,18.5,20.0
Elgon,East African Rift,4321.0,volcanic,34.55,1.1
Llullaillaco,Andes,6739.0,volcano,-68.5,-24.7
Piton des Neiges,,3069.0,volcanic,55.5,-21.1
GerlachovskyStit,Beskides,2655.0,,20.1,49.2
Elbrus,Kaukasus,5642.0,volcanic,42.26,43.21
Pik Karl-Marx,Pamir,6726.0,,71.3,38.0
Krakatau,,813.0,volcano,105.4,-6.1
Mt Mitchell,Appalachen,2037.0,,-82.1,35.4
Alpamayo,Cordillera Blanca,5947.0,,-77.7,-8.9
Pikes Peak,Rocky Mountains,4302.0,,-105.0,38.8
Jabal Marra,Darfur,3088.0,volcanic,24.6,13.0
Cathkin Peak,Drakensberge,3181.0,,29.35,-29.1
GranParadiso,Alps,4061.0,,7.25,45.5
Kenia,East African Rift,5199.0,volcanic,37.3,0.15
Mt. Odin,Penny Highlands,2147.0,,-65.6,66.55
Morne Diablotins,,1447.0,volcano,-61.4,15.5
Kailash,Transhimalaya,6714.0,,81.3,31.05
