mountain,island
Mt. Wilhelm,New Guinea
Puncak Jaya,New Guinea
Pico,Pico
Piton des Neiges,Reunion
Pinatubo,Luzon
Mt. Odin,Baffin Island
Kinabalu,Borneo
Monte Cinto,Corse
Kanlaon,Negros
Leuser,Sumatra
Mt. Giluwe,New Guinea
Haleakala,Maui
Pelee,Martinique
Pico de Teide,Teneriffa
Morne Diablotins,Dominica
Mt. Cook,Te Waka-a-Maui (South Island)
Piton de la Fournaise,Reunion
Semeru,Java
Soufriere Hills,Montserrat
Etna,Sicilia
Asahi-Dake,Hokkaido
Mount Apo,Mindanao
Tsaratanana,Madagaskar
Tatamailau,Timor
Pico Basile,Bioko
Zhima,Olkhon
Krakatau,Krakatau
Mont Orohena,Tahiti
Snaefell,Iceland
Soufriere,Saint Vincent
Pulog,Luzon
Silisili,Savaii
Fogo,Fogo
Roque de los Muchachos,La Palma
Ruapehu,Te Ika-a-Maui (North Island)
Ben Nevis,Great Britain
Pico Duarte,Hispaniola
Pico de Sao Tome,Sao Tome
Barbeau Peak,Ellesmere Island
Rantekombola,Sulawesi
Yu Shan,Taiwan
Popomanaseu,Guadalcanal
La Soufriere,Basse-Terre
Mantalingajan,Palawan
Mauna Kea,Hawaii
Psiloritis,Kreta
Tambora,Sumbawa
Mt. Balbi,Bougainville
Blue Mountain Peak,Jamaica
Kerinci,Sumatra
Concepcion,Isla da Ometepe
Gunung Binaiya,Ceram
Pico Turquino,Cuba
Cerro de Punta,Puerto Rico
