name,area,depth,altitude,type,river,longitude,latitude
Loch Lomond,71.0,190.0,7.9,,,-4.59,56.08
Qinghai Lake,4583.0,,3195.0,salt,,100.2,36.9
Lake Urmia,5470.0,7.0,1280.0,salt,,45.3,37.7
Pyramid Lake,487.0,108.0,1155.0,salt,,-119.57,40.03
Great Slave Lake,28568.0,614.0,156.0,,Mackenzie River,-113.9,61.7
Oulujaervi,928.0,35.0,123.0,,Oulujoki,27.25,64.3
Lago di Como,146.0,425.0,197.0,,Adda,9.3,46.0
Rutanzige/Eduardsee,2325.0,112.0,920.0,,Semliki,29.6,-0.35
Lake Okeechobee,1890.0,4.0,,,,-80.8,26.94
Lake Manitou,104.0,,,,,-82.0,45.76
Licancabur Crater Lake,0.005,,5600.0,crater,,-67.9,-22.8
Lake Sakakawea,1578.0,55.0,,artificial,Missouri,-101.42,47.48
Lago Maggiore,216.0,372.0,193.0,,Ticino,8.6,45.95
Nam Co,1855.0,125.0,4718.0,salt,,90.55,30.7
Ozero Ladoga,18400.0,225.0,4.0,,Newa,31.53,60.82
Lake Ontario,18960.0,244.0,75.0,,Saint Lawrence River,-77.96,43.695
Barrage de Mbakaou,,,,artificial,Sanaga,12.75,6.4
Lago Trasimeno,128.0,7.0,259.0,caldera,,12.1,43.1
Lake Winnipesaukee,186.0,55.0,153.0,,Merrimack River,-71.3,43.6
Ozero Baikal,31492.0,1637.0,455.0,,Angara,108.0,53.0
Lake Huron,59600.0,229.0,176.0,,Detroit River,-82.44,44.795
Lake Genezareth,165.0,46.0,-212.0,,Jordan,35.6,32.81
Storuman,173.0,139.0,419.0,,Umeaelv,16.88,65.22
Lake Tana,3000.0,14.0,1830.0,,Blue Nile,37.3,12.0
Lake Nicaragua,8157.0,45.0,31.0,,Rio San Juan,-85.35,11.6
Inari,1040.0,92.0,119.0,,Paatsjoki,27.7,68.95
Ozero Onega,9.616,127.0,33.0,,Swir,35.485,61.67
Paeijaenne,1118.0,95.0,78.0,,Kymijoki,25.4,61.5
Lago de Sobradinho,4214.0,,,artificial,Rio Sao Francisco,-40.7,-9.46
Lake Van,3740.0,457.0,1719.0,salt,,42.9,38.6
Zurichsee,88.0,136.0,406.0,,Limmat,8.23631,47.5018
Great Salt Lake,4400.0,10.0,1279.0,,,-112.6,41.15
Lake Bangweulu,10000.0,4.0,1140.0,,Luapula,29.7,-11.2
Ozero Aral,17160.0,35.0,31.0,salt,,59.62,44.81
Laguna Mar Chiquita,5770.0,19.0,71.0,salt,,-62.67,-30.5
Lake Maracaibo,13000.0,50.0,0.0,,,-71.55,9.72
Lake Prespa,273.0,54.0,849.0,,,21.0,40.9
Bodensee,538.5,254.0,395.0,,Rhein,9.4,47.6
Chad Lake,23000.0,7.0,250.0,salt,,14.0,13.2
Thunersee,48.3,217.0,558.0,,Aare,7.716,46.69
Chew Bahir,800.0,7.5,520.0,salt,,36.85,4.7
Caspian Sea,386400.0,995.0,-28.0,salt,,51.0,41.0
Vaenern,5648.0,106.0,44.0,,Goetaaelv,13.3,58.8
Ammersee,46.6,81.1,533.0,,Ammer,11.6,48.0
Lake Keban,675.0,,,,Euphrat,38.75,38.8
Arresoe,40.2,5.6,,,,12.1,56.0
Lake Turkana,6405.0,73.0,375.0,salt,,36.1,3.6
Lake Tanganjika,32893.0,1470.0,782.0,,Lukuga,30.0,-6.0
Lake Mai Ndombe,8200.0,10.0,300.0,,Fimi,18.3,-2.05
Lake Toba,1103.0,505.0,905.0,caldera,Asahan,98.8,2.6
Lake Bosumtwi,49.0,81.0,107.0,impact,,-1.4,6.5
Saimaa,4370.0,85.0,76.0,,Vuoksi,28.0,61.3
Hamun e Jaz Murian,1600.0,,500.0,salt,,61.2,30.8
Fort Peck Lake,981.0,67.0,,artificial,Missouri,-106.4,48.0
Great Bear Lake,31792.0,446.0,156.0,,,-120.6,65.9
Lago di Bracciano,57.0,160.0,164.0,caldera,,12.2,42.1
Etoscha Salt Pan,6133.0,0.0,1000.0,salt,,16.0,-18.8
Lake Mweru,5120.0,27.0,931.0,,Luvua,28.7,-9.0
Lago de Chapala,1685.0,12.0,1520.0,,Rio Lerma,-103.05,20.22
Lake Chilwa,687.0,2.0,474.0,salt,,35.7,-15.3
Laacher Maar,3.3,53.0,275.0,caldera,,7.3,50.4
Lake Abaya,1285.0,13.0,619.0,salt,,37.8,6.3
Lago di Garda ,370.0,346.0,65.0,,Mincio,10.65,45.6
Lake Nasser,5250.0,180.0,183.0,artificial,Nile,31.75,22.4
Lake Skutari,368.0,44.0,7.0,,,19.3,42.2
Lake Kariba,5580.0,32.0,,artificial,Zambezi,28.75,-16.5
Ozero Taimyr,4560.0,26.0,5.0,,,101.6,74.5
Franklin. D. Roosevelt Lake,337.0,,,artificial,Columbia River,-119.0,47.95
Lake Mead,640.0,180.0,372.0,artificial,Colorado,-114.75,36.05
