country,gdp,agriculture,service,industry,inflation
USA,7247700.0,2.0,23.0,75.0,2.5
TR,345700.0,15.5,33.2,51.3,94.0
EW,12300.0,10.0,37.0,53.0,29.0
JOR,19300.0,11.0,25.0,64.0,3.0
AZ,11500.0,,,,85.0
RP,179700.0,22.0,30.0,48.0,8.1
H,72500.0,7.3,37.5,55.2,28.3
CL,65600.0,24.0,24.0,52.0,8.4
BF,7400.0,32.0,24.0,44.0,5.0
NEP,25200.0,49.3,18.4,32.3,6.7
DJI,500.0,3.0,21.0,76.0,6.0
SMAR,,,,,
SPMI,68.0,,,,
REUN,2900.0,,,,
MYA,47000.0,60.0,10.0,30.0,38.0
NAM,5800.0,,,,11.0
MA,87400.0,14.3,32.2,53.5,5.4
BS,4800.0,3.0,35.0,62.0,1.5
RA,278500.0,6.0,31.0,63.0,1.7
IR,323500.0,21.0,37.0,42.0,60.0
K,7000.0,52.0,13.5,34.5,6.0
CZ,106200.0,5.8,40.7,53.5,9.1
HELX,18.0,,,,
SY,430.0,,,,3.9
J,2679200.0,2.1,40.2,57.7,-0.1
RCB,7700.0,11.4,35.2,53.4,61.0
PR,88000.0,1.0,45.0,54.0,6.5
NCA,3158.0,15.0,8.8,76.2,1.4
TUCA,216.0,,,,4.0
AXA,53.0,,,,4.0
L,10000.0,1.4,33.7,64.9,3.6
STP,138.0,28.0,14.0,58.0,38.0
SUD,25000.0,33.0,17.0,50.0,66.0
MART,3950.0,6.0,11.0,83.0,3.9
BEN,7600.0,36.8,12.6,50.6,55.0
RL,18300.0,13.0,28.0,59.0,9.0
RO,105700.0,19.6,36.3,44.1,25.0
FGU,800.0,,,,2.5
DK,112800.0,3.0,23.5,73.5,2.4
AMSA,462.2,,,,
COM,370.0,,,,15.0
PY,17000.0,25.7,25.8,48.5,10.5
F,1173000.0,2.4,26.5,71.1,1.7
E,565000.0,3.6,33.6,62.8,4.3
PK,274200.0,24.0,27.0,49.0,13.0
FARX,733.0,,,,6.8
ANG,7400.0,12.0,56.0,32.0,20.0
GB,1138400.0,1.7,27.7,70.6,3.1
A,152000.0,2.0,34.0,64.0,2.3
SF,92400.0,4.6,28.0,67.4,2.0
GAZA,1700.0,,,,5.7
TT,16200.0,4.8,44.5,50.7,5.4
UA,174600.0,31.0,43.0,26.0,9.0
YV,195500.0,5.0,41.0,54.0,57.0
KOS,3237.0,20.0,20.0,60.0,5.3
SLB,1000.0,,,,13.0
FJI,4700.0,22.0,17.0,61.0,2.0
