city,province,country,island
Otsu,Shiga,J,Honshu
Stirling,Central,GB,Great Britain
Utsonomiya,Tochigi,J,Honshu
Blackburn,Lancashire,GB,Great Britain
Bengkulu,Indonesia,RI,Sumatra
Milton Keynes,Buckinghamshire,GB,Great Britain
Victoria de las Tunas,Las Tunas,C,Cuba
Lancaster,Lancashire,GB,Great Britain
Renfrew,Strathclyde,GB,Great Britain
Bournemouth,Dorset,GB,Great Britain
Nagano,Nagano,J,Honshu
Ujung Pandang,Indonesia,RI,Sulawesi
Llandrindod Wells,Powys,GB,Great Britain
Messina,Sicilia,I,Sicilia
Willemstad,Netherlands Antilles,,Curacao
Bandar Seri Begawan,Brunei,BRU,Borneo
Fukui,Fukui,J,Honshu
Salford,Greater Manchester,GB,Great Britain
Poole,Dorset,GB,Great Britain
Manado,Indonesia,RI,Sulawesi
Saga,Saga,J,Kyushu
Colchester,Essex,GB,Great Britain
Cirebon,Indonesia,RI,Java
Northampton,Northamptonshire,GB,Great Britain
Aberystwyth,Ceredigion,GB,Great Britain
Tainan,Taiwan,RC,Taiwan
Kanazawa,Ishikawa,J,Honshu
Bury,Greater Manchester,GB,Great Britain
Pasig,Philippines,RP,Luzon
Macclesfield,Cheshire,GB,Great Britain
Cienfuegos,Cienfuegos,C,Cuba
Dublin,Ireland,IRL,Ireland
Solihull,West Midlands,GB,Great Britain
Antsirabe,Antananarivo,RM,Madagaskar
Yaren,Nauru,NAU,Nauru
Toyama,Toyama,J,Honshu
Tegal,Indonesia,RI,Java
Rochester upon Medway,Kent,GB,Great Britain
Majunga,Mahajanga,RM,Madagaskar
Sendai,Miyagi,J,Honshu
Colombo,Sri Lanka,CL,Sri Lanka
Moroni,Comoros,COM,Grand Comoro
Mold,Flintshire,GB,Great Britain
Manama,Bahrain,BRN,Bahrain
Ebbw Vale,Blaenau Gwent,GB,Great Britain
York,North Yorkshire,GB,Great Britain
Pingtung,Taiwan,RC,Taiwan
Kalookan,Philippines,RP,Luzon
Sibu,Sarawak,MAL,Borneo
Davao,Philippines,RP,Mindanao
Medan,Indonesia,RI,Sumatra
Walsall,West Midlands,GB,Great Britain
Kingston,Surrey,GB,Great Britain
Flying Fish Cove,Christmas Island,XMAS,Christmas Island
Nicosia,Cyprus,CY,Cyprus
Saipan,Northern Mariana Islands,NMIS,Saipan
Knowsley,Merseyside,GB,Great Britain
Antananarivo,Antananarivo,RM,Madagaskar
Bridgetown,Barbados,BDS,Barbados
Pekalongan,Indonesia,RI,Java
Adamstown,Pitcairn Islands,PITC,Pitcairn
Nassau,Bahamas,BS,New Providence
Northallerton,North Yorkshire,GB,Great Britain
Bandar Lampung,Indonesia,RI,Sumatra
Stanley,Falkland Islands,FALK,East Falkland
Wakefield,West Yorkshire,GB,Great Britain
Cheltenham,Gloucestershire,GB,Great Britain
Sanchuung,Taiwan,RC,Taiwan
Carmarthen,Carmarthenshire,GB,Great Britain
London,Greater London,GB,Great Britain
Luton,Bedfordshire,GB,Great Britain
Shizuoka,Shizuoka,J,Honshu
Winchester,Hampshire,GB,Great Britain
Christchurch,New Zealand,NZ,Te Waka-a-Maui (South Island)
Kagoshima,Kagoshima,J,Kyushu
Nottingham,Nottinghamshire,GB,Great Britain
Ystrad Fawr,Caerphilly,GB,Great Britain
Manchester,Greater Manchester,GB,Great Britain
Stroud,Gloucestershire,GB,Great Britain
Akureyri,Iceland,IS,Iceland
Mytilini,Voreion Aiyaion,GR,Lesbos
Eastleigh,Hampshire,GB,Great Britain
Hualien,Taiwan,RC,Taiwan
Surabaya,Indonesia,RI,Java
Antsiranana,Antsiranana,RM,Madagaskar
San Juan,Puerto Rico,PR,Puerto Rico
Bedford,Bedfordshire,GB,Great Britain
Kediri,Indonesia,RI,Java
Gifu,Gifu,J,Honshu
Salisbury,Wiltshire,GB,Great Britain
Funafuti,Tuvalu,TUV,Fongafale
Miyazaki,Miyazaki,J,Kyushu
Banda Aceh,Indonesia,RI,Sumatra
Yokohama,Kanagawa,J,Honshu
Tebing Tinggi,Indonesia,RI,Sumatra
Hafnarfjoerdur,Iceland,IS,Iceland
Fukuoka,Fukuoka,J,Kyushu
Sapporo,Hokkaido,J,Hokkaido
Tsu,Mie,J,Honshu
Toliara,Toliara,RM,Madagaskar
Longyearbyen,Svalbard,SVAX,Svalbard
Male,Maldives,MV,Male
Wiral,Merseyside,GB,Great Britain
Bradford,West Yorkshire,GB,Great Britain
Jambi,Indonesia,RI,Sumatra
Saint Helier,Jersey,GBJ,Jersey
Bristol,Avon,GB,Great Britain
Sassari,Sardegna,I,Sardegna
Newcastle upon Tyne,Tyne and Wear,GB,Great Britain
Camaguey,Camaguey,C,Cuba
Roseau,Dominica,WD,Dominica
Oldham,Greater Manchester,GB,Great Britain
Kolonia,Micronesia,FSM,Ponape
Palikir,Micronesia,FSM,Ponape
Brighton,East Sussex,GB,Great Britain
