desert,country,province
Libyan Desert,SUD,ash Shamaliyah
Mujunkum,KAZ,Qyzylorda
Negev,IL,South
Erg Chech,RMM,Mali
Dascht-e-Kavir,IR,Tehran
Karakum,TM,Leban
Libyan Desert,ET,Beni Suef
Syrian Desert,SYR,Syria
Kalahari,Z,Western
Ferlo,SN,Louga
Kysylkum,UZB,Samarqand
Thar,IND,Gujarat
Great Victoria Desert,AUS,Western Australia
Rub Al Chali,SA,Saudi Arabia
Tanezrouft,RMM,Mali
Sonora,MEX,Sonora
Erg Isaouane,DZ,Algeria
Gobi,TJ,Gansu
Owyhee,USA,Oregon
Dascht-e-Kavir,IR,Esfahan
Syrian Desert,JOR,Jordan
Erg Igidi,DZ,Algeria
Ryn,R,Astrakhanskaya oblast
Syrian Desert,IRQ,Al Anbar
Rub Al Chali,UAE,Al Fujayrah
Red Centre,AUS,Western Australia
Mujunkum,KAZ,Zhambyl
Libyan Desert,ET,Matruh
Ferlo,SN,Tambacounda
Libyan Desert,ET,El Wadi el Jadid
Nefud,SA,Saudi Arabia
Azaouad,DZ,Algeria
Kysylkum,UZB,Jizzakh
Gibson Desert,AUS,Western Australia
Karakum,TM,Dashhowuz
Kalahari,RB,Botswana
Gobi,TJ,Ningxia Huizu
Libyan Desert,ET,El Minya
Thar,PK,Pakistan
Gobi,MNG,Mongolia
Owyhee,USA,Idaho
Kalahari,RSA,North West
Libyan Desert,ET,El Giza
Thar,IND,Punjab
Colorado Plateau,USA,New Mexico
Baja California Desert,MEX,Baja California
Qaidam,TJ,Qinghai
Sturt Desert,AUS,Northern Territory
Talak,RN,Niger
Kalahari,NAM,Namibia
Thar,IND,Haryana
Chihuahua,USA,Arizona
Dascht-e-Lut,IR,Sistan e Baluchestan
Grand Erg Est,DZ,Algeria
Arabian Desert,ET,El Bahr el Ahmar
Erg Chech,DZ,Algeria
Tanezrouft,DZ,Algeria
Colorado Plateau,USA,Arizona
Rigestan,AFG,Afghanistan
Mojave,USA,California
Karakum,TM,Balkan
Darfur,SUD,Darfur
Ordos,TJ,Ningxia Huizu
Rub Al Chali,UAE,Ras al Khaymah
Rub Al Chali,UAE,Dubayy
Dascht-e-Margoh,AFG,Afghanistan
Sonora,USA,Arizona
Kalahari,ANG,Cuando Cubango
Dascht-e-Kavir,IR,Khorasan
Gobi,TJ,Nei Monggol
Ust Urt,KAZ,Mangghystau
Ust Urt,UZB,Qaraqalpoghiston
Dascht-e-Lut,IR,Yazd
Dascht-e-Lut,IR,Khorasan
Dascht-e-Lut,IR,Esfahan
Karakum,TM,Ahal
Syrian Desert,SA,Saudi Arabia
Dascht-e-Kavir,IR,Yazd
Azaouad,RN,Niger
Libyan Desert,SUD,Darfur
Rub Al Chali,UAE,Umm al Qaywayn
Great Salt Lake Desert,USA,Utah
Karakum,UZB,Qaraqalpoghiston
Dascht-e-Lut,IR,Kerman
Hamada al-Hamra,LAR,Libya
Nullarbor Plain,AUS,South Australia
Rigestan,PK,Pakistan
Ordos,TJ,Shaanxi
Kysylkum,KAZ,Qyzylorda
Mojave,USA,Nevada
