island,country,province
Honshu,J,Nagano
Long Island,USA,New York
Honshu,J,Osaka
Benbecula,GB,Outer Hebrides
Vanua Levu,FJI,Fiji
Great Britain,GB,Blaenau Gwent
Honshu,J,Yamaguchi
Iceland,IS,Iceland
Honshu,J,Okayama
Great Britain,GB,Neath and Port Talbot
Saint Lucia,WL,Saint Lucia
Santa Rosa Island,USA,California
Great Britain,GB,Wrexham
Sao Miguel,P,Azores
Great Britain,GB,Avon
Shikoku,J,Kochi
Bougainville,PNG,Papua New Guinea
Tinian,NMIS,Northern Mariana Islands
Great Britain,GB,Powys
North Uist,GB,Outer Hebrides
New Guinea,PNG,Papua New Guinea
Arran,GB,Strathclyde
Honshu,J,Aichi
Martha s Vineyard,USA,Massachusetts
Tristan Da Cunha,HELX,Saint Helena
Lipari,I,Calabria
Lolland,DK,Denmark
Corse,F,Corse
Langeland,DK,Denmark
Saint Helena,HELX,Saint Helena
Madagaskar,RM,Mahajanga
Ireland,GB,Northern Ireland
Tasmania,AUS,Tasmania
Maui,USA,Hawaii
Borneo,RI,Indonesia
Wangerooge,D,Niedersachsen
Providenciales,TUCA,Turks and Caicos Islands
Cuba,C,Matanzas
Nevis,KN,Saint Kitts and Nevis
Borneo,BRU,Brunei
Dominica,WD,Dominica
Sansibar,EAT,Mjini Magharibi
Great Britain,GB,South Yorkshire
Isle of Wight,GB,Isle of Wight
Terceira,P,Azores
Great Britain,GB,Greater London
Honshu,J,Niigata
Great Britain,GB,Dorset
Great Britain,GB,Ceredigion
Great Britain,GB,Oxfordshire
Gomera,E,Canary Islands
Great Britain,GB,Flintshire
Seeland,DK,Denmark
South Andaman Island,IND,Andaman and Nicobar Is.
East Falkland,FALK,Falkland Islands
Texel,NL,Noord Holland
Grenada,WG,Grenada
Honshu,J,Miyagi
Miquelon-Langlade,SPMI,Saint Pierre and Miquelon
Victoria Island,CDN,Northwest Territories
Antigua,AG,Antigua and Barbuda
Borkum,D,Niedersachsen
Southampton Island,CDN,Northwest Territories
Usedom,PL,Szczecinskie
Aust-Vagoey,N,Nordland
New Guinea,RI,Indonesia
Kos,GR,Notion Aiyaion
Upolu,WS,Samoa
Barra,GB,Outer Hebrides
Great Britain,GB,Tayside
Mindanao,RP,Philippines
Viti Levu,FJI,Fiji
Tongatapu,TO,Tonga
Samos,GR,Voreion Aiyaion
Honshu,J,Kyoto
Stromboli,I,Calabria
Saint Thomas,VIRG,Virgin Islands
Schiermonnikoog,NL,Friesland
Great Britain,GB,Lincolnshire
Hispaniola,DOM,Dominican Republic
Guadalcanal,SLB,Solomon Islands
St. Martin,,Netherlands Antilles
Taiwan,RC,Taiwan
Majuro,MH,Marshall Islands
Ireland,IRL,Ireland
Isabela,EC,Ecuador
Khark,IR,Fars
Kyushu,J,Kagoshima
Skye,GB,Highland
Mallorca,E,Balearic Islands
Great Britain,GB,Cambridgeshire
Honshu,J,Mie
Bali,RI,Indonesia
Cangaroo Island,AUS,South Australia
Great Britain,GB,Pembrokeshire
Batam,RI,Indonesia
Lanzarote,E,Canary Islands
Rhodos,GR,Notion Aiyaion
Great Britain,GB,Durham
South Uist,GB,Outer Hebrides
Jura,GB,Strathclyde
