river,country,province
Merrimack River,USA,Massachusetts
Semliki,EAU,Uganda
Umeaelv,S,Vasterbotten
Kolyma,R,Rep. of Sakha
Atbara,SUD,ash Shamaliyah
Irawaddy,MYA,Yangon
Rio Grande,USA,Texas
Rhein,NL,Zuid Holland
Neckar,D,Baden Wurttemberg
Tiber,I,Lazio
Enns,A,Salzburg
Saint Lawrence River,CDN,Quebec
Cuango,ZRE,Bandundu
Douro,P,Aveiro
Moldau,CZ,Praha
Chire,MOC,Zambezia
Salzach,D,Bayern
Guadiana,P,Porto
Irawaddy,MYA,Kachin
Murat,TR,Elazig
Ticino,I,Lombardia
Elbe,D,Niedersachsen
Ob,R,Tyumenskaya oblast
Save,SRB,Serbia
Volta,GH,Ghana
Kymijoki,SF,Uusimaa
Manicouagan,CDN,Quebec
Aare,CH,AG
Rhone,F,Provence Cote dAzur
Arno,I,Toscana
Pruth,RO,Galati
Thames,GB,Essex
Narva,R,Pskovskaya oblast
Kura,AZ,Azerbaijan
Uruguay,ROU,Uruguay
Raab,H,Gyor Sopron
Wurm,D,Bayern
Missouri,USA,Missouri
Rio Grande,MEX,Tamaulipas
Arkansas,USA,Arkansas
Limpopo,MOC,Gaza
Indus,PK,Pakistan
Darling River,AUS,New South Wales
Dnjestr,UA,Odeska
Lech,D,Bayern
Paraguay,PY,Paraguay
Parana,RA,Entre Rios
Olt,RO,Olt
Suchona,R,Vologodskaya oblast
Jordan,WEST,West Bank
Amudarja,UZB,Qaraqalpoghiston
Rio Negro,BR,Amazonas
Orinoco,YV,Delta Amacuro
Rio Lerma,MEX,"Mexico, Estado de"
Mincio,I,Veneto
Drin,AL,Albania
Oka,R,Nizhegorodskaya oblast
Oder,PL,Szczecinskie
Waag,SK,Slovakia
Chatanga,R,Krasnoyarskiy kray
Northern Dwina,R,Arkhangelskaya oblast
Oranje,RSA,Northern Cape
Kokemaeenjoki,SF,Turku-Pori
Nile,ET,El Buhayra
Oder,D,Mecklenburg Vorpommern
Bani,RMM,Mali
Rio Desaguadero,BOL,Bolivia
Morava,SRB,Serbia
Po,I,Emilia Romagna
Douro,P,Porto
Volga,R,Astrakhanskaya oblast
