city,province,country,river,lake,sea
Cincinnati,Ohio,USA,Ohio River,,
Yinchuan,Ningxia Huizu,TJ,Hwangho,,
Pathein,Ayeyarwady,MYA,Irawaddy,,
Las Palmas de Gran Canaria,Canary Islands,E,,,Atlantic Ocean
Iraklion,Kriti,GR,,,Mediterranean Sea
Port-au-Prince,Haiti,RH,,,Caribbean Sea
Yonkers,New York,USA,Hudson River,,
Biysk,Altayskiy kray,R,Katun,,
Nantes,Pays de la Loire,F,Loire,,
Kaesong,North Korea,NOK,,,Yellow Sea
Sao Vicente,Sao Paulo,BR,,,Atlantic Ocean
Jonkoping,Jonkoping,S,,Vaettern,
Mostaganem,Algeria,DZ,,,Mediterranean Sea
Barranquilla,Atlantico,CO,Rio Magdalena,,
Hiroshima,Hiroshima,J,,,Pacific Ocean
Chita,Chitinskaya oblast,R,Schilka,,
Dnipropetrovsk,Dnipropetrovska,UA,Dnepr,,
Sion,VS,CH,Rhone,,
Lubeck,Schleswig Holstein,D,,,Baltic Sea
Orleans,Centre,F,Loire,,
Nizhniy Novgorod,Nizhegorodskaya oblast,R,Oka,,
Bremerhaven,Bremen,D,Weser,,North Sea
Saipan,Northern Mariana Islands,NMIS,,,Pacific Ocean
Solothurn,SO,CH,Aare,,
Aden,Yemen,YE,,,Gulf of Aden
Vlore,Albania,AL,,,Mediterranean Sea
Niamey,Niger,RN,Niger,,
Freetown,Sierra Leone,WAL,,,Atlantic Ocean
Adamstown,Pitcairn Islands,PITC,,,Pacific Ocean
Malaga,Andalusia,E,,,Mediterranean Sea
Iquitos,Loreto,PE,Amazonas,,
Little Rock,Arkansas,USA,Arkansas,,
San Juan,Puerto Rico,PR,,,Atlantic Ocean
Simbirsk,Ulyanovskaya oblast,R,Volga,,
Samarinda,Indonesia,RI,,,Sunda Sea
Faro,Algarve,P,,,Atlantic Ocean
Tver,Tverskaya oblast,R,Volga,,
Kaliningrad,Kaliningradskaya oblast,R,,,Baltic Sea
Port-of-Spain,Trinidad and Tobago,TT,,,Caribbean Sea
Knoxville,Tennessee,USA,Tennessee,,
Stockholm,Stockholm,S,,Maelaren,Baltic Sea
Penang,Pulau Pinang,MAL,,,Malakka Strait
