constructorresultsid,raceid,constructorid,points,status
1702,179,17,0.0,
15085,933,3,25.0,
5426,446,52,0.0,
5227,432,49,0.0,
15237,950,210,0.0,
934,107,7,0.0,
1275,140,15,0.0,
414,56,9,0.0,
4959,414,3,13.0,
527,67,1,8.0,
14240,850,131,10.0,
13997,345,1,33.0,
3054,292,35,1.0,
12451,598,6,6.0,
2641,261,15,0.0,
2954,285,6,6.0,
3193,301,3,2.0,
15168,942,5,18.0,
6027,484,37,0.0,
2642,261,33,0.0,
12376,592,32,0.0,
4902,409,34,0.0,
3355,311,17,1.0,
1268,139,7,0.0,
14654,885,1,8.0,
2134,218,25,0.0,
5463,448,52,0.0,
10750,712,170,1.0,
136,31,1,10.0,
12191,607,80,0.0,
14165,844,6,15.0,
1071,121,16,3.0,
5572,456,25,2.0,
705,84,18,0.0,
14223,848,164,0.0,
3556,322,21,0.0,
10780,715,172,0.0,
12259,612,32,9.0,
4824,403,1,0.0,
2382,241,25,0.0,
5703,464,1,0.0,
193,36,9,0.0,
4360,375,22,0.0,
2736,268,29,0.0,
12581,577,56,0.0,
15164,941,209,0.0,
2643,262,22,11.0,
2748,269,18,0.0,
4738,397,45,0.0,
615,75,6,0.0,
4830,404,32,6.0,
12811,584,32,0.0,
10347,731,170,0.0,
5361,442,34,9.0,
1763,184,16,0.0,
13317,555,34,0.0,
4293,371,6,0.0,
14154,843,131,14.0,
3283,307,32,3.0,
5493,450,54,0.0,
938,108,1,16.0,
6245,497,54,0.0,
12641,581,63,0.0,
4485,382,32,3.0,
3034,291,3,16.0,
754,89,16,1.0,
13865,525,6,9.0,
14095,353,4,10.0,
14906,908,206,0.0,
1367,148,22,0.0,
5804,471,45,0.0,
318,48,6,6.0,
6444,511,25,0.0,
6612,522,21,0.0,
104,27,11,0.0,
1870,194,20,0.0,
5574,456,21,0.0,
15289,955,9,10.0,
1532,163,17,0.0,
14635,883,3,0.0,
