resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
21475,870,20,9,1,3,4.0,4,4,12.0,69,+11.614,6077117.0,68.0,1.0,1:24.136,187.453,1
18977,788,606,6,16,9,,R,16,0.0,20,,,,,,,6
10505,446,181,54,14,13,,R,11,0.0,31,,,,,,,6
5645,275,105,26,21,24,11.0,11,11,0.0,70,,,,,,,16
3252,172,23,3,9,10,,R,15,0.0,58,,,,,,,5
10940,462,137,34,5,4,3.0,3,3,4.0,53,+27.659,5100404.0,,,,,1
19580,814,501,128,11,10,,R,25,0.0,6,,,,,,,5
10176,433,105,6,27,15,,R,23,0.0,13,,,,,,,101
19313,803,665,125,23,22,13.0,13,13,0.0,82,,,,,,,18
4312,220,55,22,7,15,,R,20,0.0,37,,,,,,,4
14848,601,314,77,23,19,10.0,10,10,0.0,50,,,,,,,14
14499,588,295,57,31,0,,F,27,0.0,0,,,,,,,81
15898,643,346,37,16,9,10.0,10,10,0.0,75,,,,,,,15
19846,824,749,152,64,0,,F,31,0.0,0,,,,,,,81
5744,279,91,15,29,9,6.0,6,6,1.0,68,,,,,,,11
16811,689,360,194,14,8,,R,13,0.0,45,,,,,,,51
8733,379,110,48,22,14,,R,24,0.0,9,,,,,,,8
13748,560,187,67,28,8,,R,21,0.0,2,,,,,,,69
18365,759,360,170,12,10,5.0,5,5,2.0,50,+1:47.7,7394200.0,,,,,1
4247,217,81,15,17,15,,R,21,0.0,7,,,,,,,5
17886,739,437,172,18,0,,W,17,0.0,0,,,,,,,54
5906,285,117,3,2,1,12.0,12,12,0.0,48,,,,,,,5
4526,230,79,25,18,16,,R,14,0.0,8,,,,,,,10
14233,578,230,37,9,7,,R,26,0.0,16,,,,,,,21
23563,978,822,131,77,9,2.0,2,2,18.0,51,+14.063,4901493.0,46.0,3.0,1:30.905,233.294,1
16112,652,328,37,18,4,2.0,2,2,6.0,68,+5.73,5952830.0,,,,,1
15403,623,289,34,20,20,12.0,12,12,0.0,76,,,,,,,14
5062,253,90,28,22,23,,R,20,0.0,22,,,,,,,86
14007,570,200,1,12,12,7.0,7,7,0.0,54,+59.45,5467310.0,,,,,1
3375,178,25,22,10,10,6.0,6,6,1.0,77,,,,,,,11
7237,327,145,22,19,5,16.0,16,16,0.0,75,,,,,,,10
5557,272,84,1,8,9,3.0,3,3,4.0,81,+52.487,6523887.0,,,,,1
15386,622,238,37,2,9,,R,21,0.0,16,,,,,,,95
17670,730,424,175,6,0,,W,23,0.0,0,,,,,,,54
14497,588,230,37,9,9,,R,25,0.0,1,,,,,,,8
14826,600,306,66,14,15,,R,20,0.0,4,,,,,,,69
5395,266,106,33,19,25,9.0,9,9,0.0,75,,,,,,,12
22119,899,821,15,12,17,12.0,12,12,0.0,70,,,59.0,9.0,1:16.528,202.702,11
15848,641,352,66,28,21,15.0,15,15,0.0,59,,,,,,,15
4685,238,56,6,2,6,5.0,5,5,2.0,70,+87.389,6110304.0,,,,,1
9187,395,110,34,8,7,,R,19,0.0,12,,,,,,,5
1939,111,14,1,5,12,5.0,5,5,4.0,62,+9.411,5301469.0,,,,,1
18712,775,603,87,48,25,15.0,15,15,0.0,48,,,,,,,15
4122,212,14,1,10,3,6.0,6,6,1.0,64,+29.744,5465640.0,,,,,1
10824,457,194,50,17,0,,F,28,0.0,0,,,,,,,81
6752,313,90,22,19,9,8.0,8,8,0.0,44,,,,,,,11
20897,846,20,9,1,1,1.0,1,1,25.0,78,2:09:38.373,7778373.0,78.0,2.0,1:16.267,157.656,1
11384,477,158,27,25,19,16.0,16,16,0.0,49,,,,,,,15
8202,364,156,25,3,19,,R,19,0.0,16,,,,,,,5
18777,778,594,113,28,31,,R,20,0.0,138,,,,,,,8
10935,461,186,50,17,0,,F,27,0.0,0,,,,,,,81
16421,669,304,187,12,10,5.0,5,5,2.0,73,,,,,,,17
7367,331,127,41,15,14,6.0,6,6,1.0,44,+1:48.851,5300848.0,,,,,1
19985,831,697,51,40,7,3.0,3,3,2.0,79,,,,,,,11
23534,976,13,3,19,9,,R,16,0.0,25,,,10.0,17.0,1:47.340,201.330,22
8040,360,140,46,36,19,,R,13,0.0,50,,,,,,,22
10260,437,184,52,21,20,8.0,8,8,0.0,71,,,,,,,14
14420,586,252,202,16,16,4.0,4,4,3.0,14,+3:31.4,6285500.0,,,,,1
13261,543,237,37,9,20,,R,11,0.0,39,,,,,,,7
16572,677,328,196,15,2,1.0,1,1,9.0,108,1:59:20.29,7160290.0,,,,,1
8135,362,90,42,31,0,,F,30,0.0,0,,,,,,,81
15608,631,329,37,6,20,13.0,13,13,0.0,57,,,,,,,12
13677,557,175,57,23,0,,F,27,0.0,0,,,,,,,81
7671,6,20,9,15,4,,R,18,0.0,15,,,15.0,18.0,1:17.634,154.880,3
21154,856,817,164,22,24,19.0,19,19,0.0,54,,,53.0,21.0,1:44.870,192.752,11
9001,388,158,21,18,14,,R,13,0.0,52,,,,,,,25
22726,936,831,15,12,18,11.0,11,11,0.0,69,+1:13.458,6443443.0,51.0,15.0,1:28.268,178.678,1
11564,483,203,6,27,5,,R,20,0.0,17,,,,,,,86
11103,467,137,34,1,2,,R,24,0.0,3,,,,,,,20
12116,502,136,54,9,15,12.0,12,12,0.0,64,,,,,,,5
5199,259,79,25,3,9,5.0,5,5,2.0,57,,,,,,,11
4939,248,44,27,26,12,,R,17,0.0,13,,,,,,,47
10349,440,184,52,21,24,,R,15,0.0,61,,,,,,,5
13148,539,219,4,15,9,,R,18,0.0,35,,,,,,,5
15582,630,224,32,5,4,11.0,11,11,0.0,78,,,,,,,12
4453,227,65,15,14,12,7.0,7,7,0.0,67,+1:18.027,5684500.0,,,,,1
16177,654,306,82,6,18,,R,20,0.0,27,,,,,,,64
21509,871,808,207,21,19,14.0,14,14,0.0,43,,,28.0,15.0,1:56.741,215.985,11
8065,360,146,49,34,0,,F,38,0.0,0,,,,,,,97
10284,438,173,32,11,5,5.0,5,5,2.0,69,,,,,,,11
10597,449,183,27,25,18,,R,22,0.0,7,,,,,,,20
17080,703,370,176,22,16,13.0,13,13,0.0,63,,,,,,,50
8953,386,140,27,26,0,,F,27,0.0,0,,,,,,,81
11383,477,118,53,35,14,15.0,15,15,0.0,50,,,,,,,14
11914,495,207,51,22,13,,R,11,0.0,40,,,,,,,5
5657,275,84,27,25,22,,R,23,0.0,7,,,,,,,20
5121,256,64,28,21,21,7.0,7,7,0.0,77,,,,,,,14
8686,378,127,37,15,16,8.0,8,8,0.0,79,,,,,,,11
23475,973,822,131,77,3,,R,17,0.0,38,,,28.0,5.0,1:24.696,197.860,131
20947,848,1,1,3,3,4.0,4,4,12.0,57,+46.190,6022359.0,47.0,6.0,1:42.947,189.499,1
15536,628,330,81,15,23,,R,17,0.0,45,,,,,,,44
5313,263,100,33,20,20,11.0,11,11,0.0,66,,,,,,,5
8939,386,94,18,23,17,13.0,13,13,0.0,49,,,,,,,12
2048,116,50,18,19,18,14.0,14,14,0.0,57,,,,,,,13
14271,580,288,67,28,16,,R,10,0.0,66,,,,,,,3
22018,894,17,9,2,13,,R,21,0.0,36,,,27.0,13.0,1:43.863,194.621,4
21420,867,20,9,1,1,,R,21,0.0,33,,,18.0,16.0,1:44.555,186.585,6
1308,79,13,15,12,10,,W,14,0.0,0,,,,,,,54
20812,842,3,131,8,9,12.0,12,12,0.0,55,,,45.0,8.0,1:41.778,196.062,11
3241,172,35,16,22,8,4.0,4,4,3.0,73,+17.936,5808819.0,,,,,1
16992,699,406,182,18,16,9.0,9,9,0.0,81,,,,,,,14
5955,287,84,27,25,15,9.0,9,9,0.0,51,,,,,,,4
12381,512,207,32,1,7,5.0,5,5,2.0,52,,,,,,,11
5215,259,77,6,28,3,,R,21,0.0,16,,,,,,,22
15932,644,352,66,21,0,,F,21,0.0,0,,,,,,,81
18757,777,610,87,16,0,,F,21,0.0,0,,,,,,,81
2198,124,56,19,16,19,4.0,4,4,3.0,57,,,,,,,11
10076,429,160,53,20,19,,W,26,0.0,0,,,,,,,54
7253,327,90,44,33,0,,F,32,0.0,0,,,,,,,97
20393,339,10,166,24,16,,R,23,0.0,2,,,2.0,23.0,1:46.388,187.566,20
9741,416,102,32,12,5,,R,27,0.0,0,,,,,,,7
14228,578,231,64,24,12,,R,21,0.0,53,,,,,,,69
7690,7,16,10,20,15,17.0,17,17,0.0,57,,,55.0,19.0,1:29.192,215.454,11
