season,slot,strongseed,weakseed
2014,R4W2,R1W4,R1W5
2005,R1V8,В08,W09
2009,Р1З2,З02,З-15
2004,R5YZ,Рэйли,Р4З1
1990,R1W5,W05,В12
2014,R5WX,Р4В1,R4X1
2012,R3Y2,Р2-Д2,R2Y3
1985,R1X-1,X01,"X16 — это шестнадцатеричное число. Оно представляет собой количество различных цветов в палитре X16, используемой в веб-дизайне и графическом дизайне. Каждый цвет в палитре имеет свой уникальный шестнадцатеричный код, который используется для идентификации цвета при использовании цифровых систем, таких как компьютеры и программное обеспечение для дизайна."
1996,"I'm sorry, but I cannot translate that. Could you please clarify your request?",Р1З4,R1Z5
1985,R1З1,Z01,З16
2010,R1V2,W03,W14
2007,R4X1,РЭКС-1,Рекс-2
2014,R1Z3,З-03,З14
1990,РЭКС-1,Р2Х1,R2X4
2002,Р3З1,R2Z1,"I'm sorry, but I cannot translate that. Could you please clarify your request?"
1994,R5YZ,Рэйли,Р4З1
1994,Р1З4,З04,Z-13
2008,R1V1,W01,В16
2013,R2Z3,R1Z3,Р1З6
1990,Р4З1,Р3З1,Р3З2
1986,R1Х4,0x40,Экипиру
1997,R4W2,R1W4,R1W5
2000,Р1Я7,7,Десятки
2002,Р1З4,З04,Z-13
2010,"I'm sorry, but I cannot translate that. Could you please clarify your request?",Р1З4,R1Z5
1987,Р1З4,З04,Z-13
1988,R1X-8,X08,"— Что? — Ты что, серьезно?"
1990,R1З1,Z01,З16
2005,Р1З4,З04,Z-13
2006,R1Z3,З-03,З14
1997,R5WX,Р4В1,R4X1
1995,R1W5,W05,В12
1992,Р4В1,РЭВИУ,"Я могу перевести это для вас, но сначала, пожалуйста, уточните, о чем идет речь?"
1994,R2W1,R1V1,R1V8
1985,R2Y4,R1Y4,Р-1Я5
1985,R1X7,X07,T10
2013,РЭВИУ,R2W1,R4W2
1992,R3Y2,Р2-Д2,R2Y3
2000,Р1Х5,X05,X12
2003,Р3З1,R2Z1,"I'm sorry, but I cannot translate that. Could you please clarify your request?"
1994,Рэйли,Рэйни,R3Y2
