orderid,productid,unitprice,quantity,discount
10507,43,46.0,15,0.0
10795,16,17.45,65,0.0
10284,67,11.2,5,0.0
11039,35,18.0,24,0.0
10382,74,8.0,50,0.0
10577,39,18.0,10,0.0
10883,24,4.5,8,0.0
10790,7,30.0,3,0.0
10868,49,20.0,42,0.0
10742,60,34.0,50,0.0
10426,56,30.4,5,0.0
11020,10,31.0,24,0.0
11009,36,19.0,18,0.0
10539,13,6.0,8,0.0
10455,71,17.2,30,0.0
10278,44,15.5,16,0.0
10552,75,7.75,30,0.0
10329,30,20.7,8,0.0
10543,12,38.0,30,0.0
10577,75,7.75,20,0.0
10325,6,20.0,6,0.0
10458,26,24.9,30,0.0
10996,42,14.0,40,0.0
10385,60,27.2,20,0.0
10882,42,14.0,25,0.0
10978,21,10.0,40,0.0
10312,53,26.2,20,0.0
10832,13,6.0,3,0.0
10549,45,9.5,100,0.0
10546,7,30.0,10,0.0
10605,16,17.45,30,0.0
10781,54,7.45,3,0.0
10380,30,20.7,18,0.0
10623,35,18.0,30,0.0
10680,31,12.5,20,0.0
11077,77,13.0,2,0.0
10258,32,25.6,6,0.0
10876,46,12.0,21,0.0
10337,72,27.8,25,0.0
10396,71,17.2,60,0.0
10607,40,18.4,42,0.0
10557,75,7.75,20,0.0
10979,27,43.9,30,0.0
10922,24,4.5,35,0.0
10813,46,12.0,35,0.0
10329,38,210.8,20,0.0
11060,60,34.0,4,0.0
10565,64,33.25,18,0.0
10335,31,10.0,25,0.0
10337,36,15.2,20,0.0
10353,11,16.8,12,0.0
10633,12,38.0,36,0.0
10551,16,17.45,40,0.0
10570,11,21.0,15,0.0
10467,25,11.2,12,0.0
10675,53,32.8,10,0.0
10400,35,14.4,35,0.0
10733,14,23.25,16,0.0
10936,36,19.0,30,0.0
10992,72,34.8,2,0.0
11001,7,30.0,60,0.0
10537,72,34.8,21,0.0
11039,28,45.6,20,0.0
10426,64,26.6,7,0.0
