territoryid,territorydescription,regionid
02903,Providence                                        ,1
11747,Mellvile                                          ,1
78759,Austin                                            ,4
20852,Rockville                                         ,1
14450,Fairport                                          ,1
48304,Bloomfield Hills                                  ,3
48075,Southfield                                        ,3
45839,Findlay                                           ,3
94025,Menlo Park                                        ,2
06897,Wilton                                            ,1
31406,Savannah                                          ,4
27511,Cary                                              ,1
94105,San Francisco                                     ,2
95054,Santa Clara                                       ,2
72716,Bentonville                                       ,4
90405,Santa Monica                                      ,2
40222,Louisville                                        ,1
80909,Colorado Springs                                  ,2
01581,Westboro                                          ,1
07960,Morristown                                        ,1
01833,Georgetow                                         ,1
02116,Boston                                            ,1
48084,Troy                                              ,3
85251,Scottsdale                                        ,2
98004,Bellevue                                          ,2
10038,New York                                          ,1
19428,Philadelphia                                      ,3
02184,Braintree                                         ,1
30346,Atlanta                                           ,4
95060,Santa Cruz                                        ,2
01730,Bedford                                           ,1
60179,Hoffman Estates                                   ,2
80202,Denver                                            ,2
27403,Greensboro                                        ,1
33607,Tampa                                             ,4
95008,Campbell                                          ,2
44122,Beachwood                                         ,3
98052,Redmond                                           ,2
29202,Columbia                                          ,4
10019,New York                                          ,1
19713,Neward                                            ,1
02139,Cambridge                                         ,1
55113,Roseville                                         ,3
60601,Chicago                                           ,2
03049,Hollis                                            ,3
85014,Phoenix                                           ,2
32859,Orlando                                           ,4
53404,Racine                                            ,3
98104,Seattle                                           ,2
08837,Edison                                            ,1
55439,Minneapolis                                       ,3
03801,Portsmouth                                        ,3
75234,Dallas                                            ,4
