playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
abdulka01,Абдул-Джаббар,Карим,1969,Восточный,NBA,1,18,10.0,,,11.0,4.0,,,,,8.0,4.0,2.0,2.0,,
abdulka01,Абдул-Джаббар,Карим,1970,Западный,NBA,1,30,19.0,,,14.0,1.0,,,,,16.0,8.0,4.0,3.0,,
abdulka01,Абдул-Джаббар,Карим,1971,Западный,NBA,1,19,12.0,,,7.0,2.0,,,,,10.0,5.0,2.0,2.0,,
abdulka01,Абдул-Джаббар,Карим,1972,Западный,NBA,1,98,,,,,,,,,,,,,,,
allenra02,Аллен,Рэй,1999,Восточный,NBA,1,17,14.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,13.0,4.0,6.0,5.0,6.0,1.0
allenra02,Аллен,Рэй,2000,Восточный,NBA,1,19,15.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0,7.0,0.0,0.0,7.0,1.0
allenra02,Аллен,Рэй,2004,Западный,NBA,1,22,17.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,16.0,6.0,0.0,0.0,11.0,5.0
archina01,Арчибальд,Нейт,1972,Западный,NBA,1,27,17.0,,,1.0,5.0,,,,,12.0,6.0,5.0,5.0,,
arenagi01,Арена,Гилберт,2004,Восточный,NBA,1,14,7.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,0.0,3.0,1.0
bakervi01,Бейкер,Вин,1994,Восточный,NBA,1,11,2.0,,,2.0,0.0,,,,,2.0,0.0,4.0,2.0,,
bakervi01,Бейкер,Вин,1995,Восточный,NBA,1,14,6.0,,,2.0,2.0,,,,,5.0,2.0,2.0,2.0,,
bakervi01,Бейкер,Вин,1996,Восточный,NBA,1,24,19.0,7.0,5.0,12.0,1.0,0.0,0.0,0.0,2.0,12.0,8.0,4.0,3.0,0.0,0.0
bakervi01,Бейкер,Вин,1997,Западный,NBA,1,21,8.0,6.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,12.0,3.0,2.0,2.0,0.0,0.0
barklch01,Баркли,Чарльз,1994,Западный,NBA,1,23,15.0,,,9.0,2.0,,,,,12.0,7.0,0.0,0.0,,
barklch01,Баркли,Чарльз,1995,Западный,NBA,1,16,8.0,,,0.0,1.0,,,,,6.0,4.0,0.0,0.0,,
barklch01,Баркли,Чарльз,1996,Западный,NBA,1,99,,,,,,,,,,,,,,,
barroda01,Баррос,Дана,1994,Восточный,NBA,1,11,5.0,,,1.0,3.0,,,,,5.0,2.0,0.0,0.0,,
barryri01,Барри,Рик,1969,Западный,ABA,1,27,16.0,,,7.0,7.0,,,,0.0,12.0,7.0,2.0,2.0,0.0,0.0
barryri01,Барри,Рик,1970,Восточный,ABA,1,17,14.0,0.0,2.0,2.0,2.0,,,2.0,3.0,6.0,4.0,6.0,6.0,0.0,0.0
barryri01,Барри,Рик,1971,Восточный,ABA,1,26,4.0,4.0,8.0,12.0,8.0,,,1.0,2.0,10.0,2.0,1.0,0.0,0.0,0.0
barryri01,Барри,Рик,1972,Западный,NBA,1,99,,,,,,,,,,,,,,,
bayloel01,Бэйлор,Элгин,1969,Западный,NBA,1,26,9.0,,,7.0,3.0,,,,,9.0,2.0,7.0,5.0,,
beardbu01,Борода,Бутч,1971,Восточный,NBA,1,7,3.0,,,1.0,0.0,,,,,4.0,1.0,1.0,1.0,,
beasljo01,Бизли,Джон,1969,Западный,ABA,1,18,11.0,,,8.0,0.0,,,,5.0,7.0,5.0,0.0,0.0,1.0,1.0
beatyze01,Битти,Зельмо,1970,Западный,ABA,1,27,12.0,2.0,6.0,8.0,3.0,,,4.0,4.0,11.0,5.0,3.0,2.0,0.0,0.0
beatyze01,Битти,Зельмо,1971,Западный,ABA,1,27,15.0,3.0,4.0,7.0,0.0,,,4.0,4.0,11.0,7.0,1.0,1.0,0.0,0.0
beatyze01,Битти,Зельмо,1972,Западный,ABA,1,15,6.0,0.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0
beckear01,Бекер,Артур,1971,Западный,ABA,1,9,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
bingda01,Бинг,Дэйв,1970,Западный,NBA,1,19,4.0,,,2.0,2.0,,,,,7.0,2.0,0.0,0.0,,
bingda01,Бинг,Дэйв,1972,Западный,NBA,1,19,2.0,,,3.0,0.0,,,,,4.0,0.0,2.0,2.0,,
blockjo01,Блок,Джон,1972,Восточный,NBA,1,5,4.0,,,2.0,0.0,,,,,4.0,2.0,0.0,0.0,,
boonero01,Бун,Рон,1970,Западный,ABA,1,4,6.0,0.0,2.0,2.0,0.0,,,1.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0
bradlbi01,Брэдли,Билл,1972,Восточный,NBA,1,12,4.0,,,1.0,0.0,,,,,5.0,2.0,0.0,0.0,,
brandte01,Брендон,Террелл,1995,Восточный,NBA,1,20,11.0,,,1.0,3.0,,,,,10.0,4.0,2.0,2.0,,
brandte01,Брендон,Террелл,1996,Восточный,NBA,1,17,10.0,1.0,2.0,3.0,8.0,2.0,0.0,0.0,2.0,11.0,4.0,0.0,0.0,4.0,2.0
bridgbi01,Мосты,Билл,1969,Западный,NBA,1,15,5.0,,,4.0,2.0,,,,,2.0,2.0,5.0,1.0,,
briskjo01,Рычаг,Джон,1970,Восточный,ABA,1,27,15.0,6.0,11.0,17.0,1.0,,,2.0,3.0,19.0,5.0,7.0,5.0,1.0,0.0
briskjo01,Рычаг,Джон,1971,Восточный,ABA,1,21,8.0,3.0,2.0,5.0,3.0,,,1.0,1.0,10.0,3.0,3.0,2.0,1.0,0.0
brownla01,Коричневый,Ларри,1969,Западный,ABA,1,15,3.0,,,3.0,3.0,,,,1.0,2.0,0.0,3.0,3.0,0.0,0.0
brownro01,Коричневый,Вас понял.,1969,Восточный,ABA,1,28,15.0,,,6.0,2.0,,,,4.0,10.0,5.0,6.0,5.0,0.0,0.0
