coachid,year,tmid,lgid,stint,won,lost,post_wins,post_losses
brownhu01,2004,MEM,NBA,1,5.0,7.0,0.0,0.0
auerbre01,1956,BOS,NBA,1,44.0,28.0,7.0,3.0
brownmi02,2008,CLE,NBA,1,66.0,16.0,10.0,4.0
heinsto01,1976,BOS,NBA,1,44.0,38.0,5.0,4.0
silaspa01,2003,CLE,NBA,1,35.0,47.0,0.0,0.0
wilkele01,1989,CLE,NBA,1,42.0,40.0,2.0,3.0
westppa01,2011,SAC,NBA,1,2.0,5.0,0.0,0.0
brownla01,1999,PHI,NBA,1,49.0,33.0,5.0,5.0
fitchbi01,1976,CLE,NBA,1,43.0,39.0,1.0,2.0
vitaldi01,1978,DET,NBA,1,30.0,52.0,0.0,0.0
woodsmi01,2009,ATL,NBA,1,53.0,29.0,4.0,7.0
hillbr01,1995,ORL,NBA,1,60.0,22.0,7.0,5.0
wintebr01,1996,VAN,NBA,1,8.0,35.0,0.0,0.0
maclejo01,1988,DAL,NBA,1,38.0,44.0,0.0,0.0
fratemi01,1983,ATL,NBA,1,40.0,42.0,2.0,3.0
beardbu01,1995,NJN,NBA,1,30.0,52.0,0.0,0.0
jeannbu01,1966,BAL,NBA,2,3.0,13.0,0.0,0.0
nelsodo01,1981,MIL,NBA,1,55.0,27.0,2.0,4.0
hagancl01,1969,DLC,ABA,1,22.0,21.0,0.0,0.0
sloanje01,2010,UTA,NBA,1,31.0,23.0,0.0,0.0
fitchbi01,1984,HOU,NBA,1,48.0,34.0,2.0,3.0
blitmha01,1970,FLO,ABA,1,18.0,30.0,0.0,0.0
pitinri01,1988,NYK,NBA,1,52.0,30.0,5.0,4.0
sloanje01,2004,UTA,NBA,1,26.0,56.0,0.0,0.0
loughke01,1983,CHI,NBA,1,27.0,55.0,0.0,0.0
hugheki01,2009,LAC,NBA,2,8.0,25.0,0.0,0.0
saundfl01,2000,MIN,NBA,1,47.0,35.0,1.0,3.0
karlge01,1991,SEA,NBA,3,27.0,15.0,4.0,5.0
gentral01,2011,PHO,NBA,1,33.0,33.0,0.0,0.0
saundfl01,2003,MIN,NBA,1,58.0,24.0,10.0,8.0
loughke01,1977,NJN,NBA,1,24.0,58.0,0.0,0.0
stottte01,2006,MIL,NBA,1,23.0,41.0,0.0,0.0
loughke01,1985,WSB,NBA,2,7.0,6.0,2.0,3.0
westhpa01,1981,LAL,NBA,1,7.0,4.0,0.0,0.0
albecst01,1970,DNR,ABA,2,27.0,44.0,0.0,0.0
hannual01,1960,SYR,NBA,1,38.0,41.0,4.0,4.0
scolafr01,1951,BLB,NBA,1,12.0,27.0,0.0,0.0
smileja01,1950,WAT,NPBL,1,32.0,24.0,,
jordaed01,2007,WAS,NBA,1,43.0,39.0,2.0,4.0
tomjaru01,1991,HOU,NBA,2,16.0,14.0,0.0,0.0
frankla01,2004,NJN,NBA,1,42.0,40.0,0.0,4.0
wohlda01,1986,NJN,NBA,1,24.0,58.0,0.0,0.0
