qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
6963,960,826,5,26,19,1:49.058,,
5815,897,820,206,23,22,1:44.198,,
3260,14,15,7,9,15,1:47.690,1:47.413,
4384,106,11,16,10,4,1:34.897,,
354,35,4,4,5,6,1:12.214,1:12.090,1:12.967
1314,85,42,3,8,16,1:23.291,,
5000,861,813,3,18,11,1:37.789,1:37.589,
3072,5,15,7,9,7,1:21.189,1:20.420,1:21.254
3806,110,15,4,7,5,1:13.953,,
4950,859,811,4,9,9,1:14.453,1:13.300,1:13.761
7313,977,826,5,26,14,1:05.990,1:05.884,
1532,160,15,17,6,8,1:26.002,,
4213,96,2,17,18,13,1:31.604,,
1700,193,14,1,7,1,1:25.852,,
6867,956,13,3,19,10,1:07.419,1:07.145,1:11.977
323,33,3,3,7,15,1:18.740,1:18.672,
2162,230,22,17,11,7,1:22.379,,
2621,258,30,22,5,2,1:10.440,,
3836,111,42,19,15,15,1:24.147,,
4323,102,11,16,10,3,1:19.693,,
1345,87,30,6,1,7,1:12.976,,
4315,101,43,7,16,15,1:15.454,,
3135,8,4,4,7,10,1:19.167,1:18.761,1:20.741
1490,156,18,22,8,10,1:12.805,,
4936,858,5,205,20,18,1:42.979,,
2394,248,79,25,3,17,1:49.402,,
1744,200,21,22,5,1,1:29.598,,
2768,264,105,18,24,17,1:28.100,,
2205,241,56,17,15,4,1:54.381,,
2711,262,84,1,8,12,1:28.197,,
5775,896,17,9,2,4,1:25.665,1:25.097,1:25.047
5798,897,8,208,7,5,1:41.276,1:40.971,1:40.542
1031,66,4,4,1,3,1:27.861,1:26.917,1:27.321
797,55,30,6,5,11,1:28.228,1:26.718,
2239,242,44,27,26,12,1:30.760,,
3695,352,30,131,3,10,1:32.513,1:32.073,1:31.846
6334,927,154,208,8,8,1:40.303,1:41.209,1:52.981
4529,76,13,15,12,11,1:16.218,1:18.902,
6993,962,826,5,26,7,1:45.291,1:44.475,1:44.469
5774,896,1,131,10,3,1:25.802,1:25.259,1:24.941
1064,67,14,9,14,14,1:22.618,1:22.589,
3215,12,3,3,16,10,1:45.486,1:45.047,1:47.362
527,43,21,4,3,5,1:16.047,1:15.227,1:15.674
880,59,15,7,8,6,1:14.883,1:14.211,1:15.857
1554,161,50,21,19,8,1:26.793,,
6999,962,18,1,22,13,1:45.262,1:45.144,
2374,247,92,30,16,21,1:36.076,,
3093,6,17,9,14,8,1:15.260,1:14.825,1:15.653
749,53,17,3,9,7,1:33.454,1:32.309,1:33.006
2856,268,55,6,27,1,1:23.844,,
4655,845,816,166,25,23,1:28.556,,
1319,86,31,1,10,1,1:46.391,,
5776,896,13,6,4,5,1:25.793,1:25.389,1:25.201
1205,80,21,4,6,7,1:14.887,,
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767
3681,351,810,166,25,20,1:51.107,,
6837,955,815,10,11,2,1:44.462,1:43.939,1:43.515
908,60,3,3,10,12,1:23.083,1:21.567,
4012,120,51,19,15,12,1:23.660,,
3234,13,20,9,15,9,1:23.558,1:23.545,1:25.180
5657,890,814,10,14,18,1:22.043,,
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015
1410,104,17,19,14,12,1:21.602,,
3487,343,24,10,15,18,1:28.958,,
2271,243,89,29,10,18,1:26.059,,
955,62,33,13,18,15,1:12.627,1:12.864,
269,31,20,5,15,1,1:35.464,1:35.837,1:37.555
