country_id,country,last_update
1,Афганистан,2006-02-15 03:44:00
2,Алжир,2006-02-15 03:44:00
3,Американская Самоа,2006-02-15 03:44:00
5,Ангуилла,2006-02-15 03:44:00
8,Австралия,2006-02-15 03:44:00
9,Австрия,2006-02-15 03:44:00
10,Азербайджан,2006-02-15 03:44:00
11,Бахрейн,2006-02-15 03:44:00
13,Белоруссия,2006-02-15 03:44:00
14,Боливия,2006-02-15 03:44:00
15,Бразилия,2006-02-15 03:44:00
17,Болгария,2006-02-15 03:44:00
19,Камерун,2006-02-15 03:44:00
21,Чад,2006-02-15 03:44:00
22,Чили,2006-02-15 03:44:00
24,Колумбия,2006-02-15 03:44:00
25,"Конго, Демократическая Республика",2006-02-15 03:44:00
26,Чешская Республика,2006-02-15 03:44:00
27,Доминиканская Республика,2006-02-15 03:44:00
28,Эквадор,2006-02-15 03:44:00
29,Египет,2006-02-15 03:44:00
31,Эфиопия,2006-02-15 03:44:00
32,Фарерские острова,2006-02-15 03:44:00
33,Финляндия,2006-02-15 03:44:00
34,Франция,2006-02-15 03:44:00
35,Французская Гвиана,2006-02-15 03:44:00
36,Французская Полинезия,2006-02-15 03:44:00
38,Германия,2006-02-15 03:44:00
39,Греция,2006-02-15 03:44:00
40,Гре́нландия,2006-02-15 03:44:00
41,Ватикан (Столичный Estado de la Ciudad del Vaticano),2006-02-15 03:44:00
42,Гонконг,2006-02-15 03:44:00
43,Венгрия,2006-02-15 03:44:00
44,Индия,2006-02-15 03:44:00
45,Индонезия,2006-02-15 03:44:00
47,Ирак,2006-02-15 03:44:00
49,Италия,2006-02-15 03:44:00
50,Япония,2006-02-15 03:44:00
51,Казахстан,2006-02-15 03:44:00
53,Кувейт,2006-02-15 03:44:00
54,Латвия,2006-02-15 03:44:00
55,Лихтенштейн,2006-02-15 03:44:00
56,Литва,2006-02-15 03:44:00
57,Мадагаскар,2006-02-15 03:44:00
59,Малайзия,2006-02-15 03:44:00
60,Мексика,2006-02-15 03:44:00
61,Молдова,2006-02-15 03:44:00
62,Марокко,2006-02-15 03:44:00
63,Моζамбик,2006-02-15 03:44:00
64,Мьянма,2006-02-15 03:44:00
65,Науру,2006-02-15 03:44:00
67,Нидерланды,2006-02-15 03:44:00
69,Нигерия,2006-02-15 03:44:00
70,Северная Корея,2006-02-15 03:44:00
71,Оман,2006-02-15 03:44:00
72,Пакистан,2006-02-15 03:44:00
73,Парагвай,2006-02-15 03:44:00
75,Филиппины,2006-02-15 03:44:00
76,Польша,2006-02-15 03:44:00
77,Пуэрто-Рико,2006-02-15 03:44:00
78,Румыния,2006-02-15 03:44:00
79,Рюнион,2006-02-15 03:44:00
80,Российская Федерация,2006-02-15 03:44:00
81,Сент-Винсент и Гренадины,2006-02-15 03:44:00
82,Саудовская Аравия,2006-02-15 03:44:00
84,Словакия,2006-02-15 03:44:00
85,Южная Африка,2006-02-15 03:44:00
86,Южная Корея,2006-02-15 03:44:00
87,Испания,2006-02-15 03:44:00
88,Шри-Ланка,2006-02-15 03:44:00
89,Судан,2006-02-15 03:44:00
90,Швеция,2006-02-15 03:44:00
91,Швейцария,2006-02-15 03:44:00
92,Тайвань,2006-02-15 03:44:00
93,Танзания,2006-02-15 03:44:00
94,Таиланд,2006-02-15 03:44:00
97,Турция,2006-02-15 03:44:00
99,Тувалу,2006-02-15 03:44:00
101,Объединенные Арабские Эмираты,2006-02-15 03:44:00
102,Соединенное Королевство,2006-02-15 03:44:00
103,Соединенные Штаты Америки,2006-02-15 03:44:00
104,Венесуэла,2006-02-15 03:44:00
105,Вьетнам,2006-02-15 03:44:00
106,"Виргинские острова, США",2006-02-15 03:44:00
108,Югославия,2006-02-15 03:44:00
109,Замбия,2006-02-15 03:44:00
