category_id,name,last_update
1,Действие,"15 февраля 2006 года, среда, 3:46 утра"
2,Анимация,"15 февраля 2006 года, среда, 3:46 утра"
3,Детям,"15 февраля 2006 года, среда, 3:46 утра"
4,Классики,"15 февраля 2006 года, среда, 3:46 утра"
5,Комедия,"15 февраля 2006 года, среда, 3:46 утра"
6,Документальный фильм,"15 февраля 2006 года, среда, 3:46 утра"
7,Драа́ма,"15 февраля 2006 года, среда, 3:46 утра"
8,Семья,"15 февраля 2006 года, среда, 3:46 утра"
9,Иностранный,"15 февраля 2006 года, среда, 3:46 утра"
10,Игры,"15 февраля 2006 года, среда, 3:46 утра"
11,Ужас,"15 февраля 2006 года, среда, 3:46 утра"
12,Музыка,"15 февраля 2006 года, среда, 3:46 утра"
13,Новый,"15 февраля 2006 года, среда, 3:46 утра"
14,Индира Чандрасекहर,"15 февраля 2006 года, среда, 3:46 утра"
15,Спорт,"15 февраля 2006 года, среда, 3:46 утра"
16,Путешествия,"15 февраля 2006 года, среда, 3:46 утра"
