orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10250,HANAR,4,1996-07-08T00:00:00,1996-08-05T00:00:00,1996-07-12T00:00:00,2,65.83,Hanari Carnes,"Rua do Pao, 67",Rio de Janeiro,RJ,05454-876,Brazil
10322,PERIC,7,1996-10-04T00:00:00,1996-11-01T00:00:00,1996-10-23T00:00:00,3,0.4,Pericles Comidas clsicas,Calle Dr. Jorge Cash 321,Mxico D.F.,,5033,Mexico
10395,HILAA,6,1996-12-26T00:00:00,1997-01-23T00:00:00,1997-01-03T00:00:00,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristbal,Tchira,5022,Venezuela
10401,RATTC,1,1997-01-01T00:00:00,1997-01-29T00:00:00,1997-01-10T00:00:00,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10452,SAVEA,8,1997-02-20T00:00:00,1997-03-20T00:00:00,1997-02-26T00:00:00,1,140.26,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10469,WHITC,1,1997-03-10T00:00:00,1997-04-07T00:00:00,1997-03-14T00:00:00,1,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10482,LAZYK,1,1997-03-21T00:00:00,1997-04-18T00:00:00,1997-04-10T00:00:00,3,7.48,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA
10537,RICSU,1,1997-05-14T00:00:00,1997-05-28T00:00:00,1997-05-19T00:00:00,1,78.85,Richter Supermarkt,Starenweg 5,Genve,,1204,Switzerland
10545,LAZYK,8,1997-05-22T00:00:00,1997-06-19T00:00:00,1997-06-26T00:00:00,2,11.92,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA
10574,TRAIH,4,1997-06-19T00:00:00,1997-07-17T00:00:00,1997-06-30T00:00:00,2,37.6,Trail-s Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,USA
10579,LETSS,1,1997-06-25T00:00:00,1997-07-23T00:00:00,1997-07-04T00:00:00,2,13.73,Let-s Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,USA
10589,GREAL,8,1997-07-04T00:00:00,1997-08-01T00:00:00,1997-07-14T00:00:00,2,4.42,Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA
10596,WHITC,8,1997-07-11T00:00:00,1997-08-08T00:00:00,1997-08-12T00:00:00,1,16.34,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10598,RATTC,1,1997-07-14T00:00:00,1997-08-11T00:00:00,1997-07-18T00:00:00,3,44.42,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10603,SAVEA,8,1997-07-18T00:00:00,1997-08-15T00:00:00,1997-08-08T00:00:00,2,48.77,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
