territoryid,territorydescription,regionid
53404,Racine                                            ,3
85251,Scottsdale                                        ,2
31406,Savannah                                          ,4
98052,Redmond                                           ,2
72716,Bentonville                                       ,4
48075,Southfield                                        ,3
11747,Mellvile                                          ,1
95054,Santa Clara                                       ,2
06897,Wilton                                            ,1
19428,Philadelphia                                      ,3
07960,Morristown                                        ,1
98004,Bellevue                                          ,2
90405,Santa Monica                                      ,2
75234,Dallas                                            ,4
02139,Cambridge                                         ,1
14450,Fairport                                          ,1
33607,Tampa                                             ,4
95060,Santa Cruz                                        ,2
48084,Troy                                              ,3
48304,Bloomfield Hills                                  ,3
10038,New York                                          ,1
80202,Denver                                            ,2
