playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
croziro01,1967,1,DET,NHL,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь с переводом. Как я могу вам помочь сегодня?",34,0,0,0,2,0,0,,0,,0,0,0,,,,,,,,,,,,
habscma01,1984,1,EDM,NHL,r,26,5,3,8,4,-2,2,,0,,0,0,30,,,,,,,,,,,,
caufija01,1989,1,PIT,NHL,r,37,1,2,3,123,0,0,0,0,0,0,0,6,,,,,,,,,,,,
lapoicl01,2003,1,PHI,NHL,С,42,5,3,8,32,2,0,0,1,0,1,0,26,1,0,0,0,0,0,0,0,0,0,0,2
richabr02,2007,1,COL,NHL,r,22,2,3,5,8,-3,0,0,0,0,0,,32,,,,,,,,,,,,
hrymnst01,1951,1,CHI,NHL,Д,18,2,1,3,4,,,,,,,,,,,,,,,,,,,,
siebeba01,1934,1,BOS,NHL,Л/Д,48,6,18,24,80,,,,,,,,,4,0,0,0,6,,,,,,,
clarkbo01,1973,1,PHI,NHL,С,77,35,52,87,113,35,10,,5,,5,3,221,17,5,11,16,42,,2,,0,,2,
wrighty01,1993,1,EDM,NHL,С,5,0,0,0,4,-3,0,0,0,0,0,0,2,,,,,,,,,,,,
glynnbr01,1994,1,HAR,NHL,Д,43,1,6,7,32,-2,0,1,0,0,0,0,35,,,,,,,,,,,,
tanevch01,2011,1,VAN,NHL,Д,25,0,2,2,2,10,0,0,0,0,0,,15,5,0,0,0,0,0,0,0,0,0,0,7
boulter01,2008,1,ATL,NHL,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",76,3,10,13,176,-3,0,0,0,0,0,,71,,,,,,,,,,,,
cleghsp01,1912,1,MOW,NHA,,19,12,0,12,46,,,,,,,,,,,,,,,,,,,,
tayloda01,1982,1,LAK,NHL,r,46,21,37,58,76,4,6,,0,,1,0,117,,,,,,,,,,,,
mcinnma01,2001,2,BOS,NHL,r,19,2,3,5,8,-1,0,2,0,0,1,0,26,6,0,1,1,0,0,0,0,0,0,0,6
eaglemi01,1995,1,WAS,NHL,С,70,4,7,11,75,-1,0,0,0,2,0,0,70,6,1,1,2,2,1,0,0,0,0,0,12
perrybr01,1969,1,OAK,NHL,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",34,6,8,14,14,-3,0,,0,,0,0,41,2,0,0,0,0,,0,,0,,0,
smithcl01,1944,1,CHI,NHL,С,50,23,31,54,0,,,,,,,,,,,,,,,,,,,,
averyse01,2006,2,NYR,NHL,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",29,8,12,20,58,11,1,5,0,1,0,,89,10,1,4,5,27,-3,0,1,0,0,0,42
chishar01,1960,1,BOS,NHL,С,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
guitebe01,2008,1,COL,NHL,r,50,5,7,12,30,2,0,0,0,0,1,,63,,,,,,,,,,,,
noblere01,1924,1,TRS,NHL,Л/Ц,3,1,0,1,8,,,,,,,,,,,,,,,,,,,,
matzjo01,1921,1,EDE,WCHL,r,24,4,1,5,2,,,,,,,,,2,0,0,0,0,,,,,,,
bourgle01,1926,1,TRS,NHL,Д/Р,22,1,0,1,44,,,,,,,,,,,,,,,,,,,,
kerral01,1988,1,NYI,NHL,r,71,20,18,38,144,-5,6,1,0,0,4,0,147,,,,,,,,,,,,
chriser01,2008,2,AND,NHL,С,17,2,7,9,6,-2,1,2,0,0,0,,32,8,0,2,2,0,-1,0,1,0,0,0,10
