playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
rileyji01,1919,SEA,PCHA,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",5,0,1,1,0
meekiha01,1924,VIC,WCHL,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",4,0,1,1,2
simpsjo01,1922,EDE,WCHL,Д,2,0,1,1,0
crawfru01,1912,QU1,NHA,r,3,3,0,3,19
foystfr01,1918,SEA,PCHA,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",5,9,1,10,0
walkeja01,1918,SEA,PCHA,С,5,3,0,3,9
cleghsp01,1920,OTS,NHL,Д,5,1,2,3,0
dinsmch01,1925,MTM,NHL,"Я не вижу входного текста, на котором можно было бы основывать перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью выполню ваш запрос.",4,0,0,0,2
duncaar01,1922,VAM,PCHA,Д,4,2,2,4,0
haldeha01,1924,VIC,WCHL,r,4,2,1,3,8
mackami01,1914,VML,PCHA,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",3,4,2,6,6
andrell01,1921,TRS,NHL,"Я не вижу входного текста, на котором можно было бы основывать перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью выполню ваш запрос.",5,2,0,2,3
barboal01,1915,PO1,PCHA,С,5,0,0,0,0
halljo01,1912,QU1,NHA,Д,3,0,0,0,7
morribe01,1916,SEA,PCHA,r,4,14,2,16,0
camerha01,1913,TBS,NHA,Д,2,1,0,1,4
cleghod01,1918,MTL,NHL,С,5,2,0,2,9
stewane01,1925,MTM,NHL,С,4,6,1,7,14
foystfr01,1913,TBS,NHA,С,3,2,0,2,3
moranpa01,1912,QU1,NHA,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь с переводом. Как я могу вам помочь сегодня?",3,0,0,0,0
helmaha01,1922,OTS,NHL,Д,2,0,0,0,0
berlilo01,1915,MOC,NHA,"Добро пожаловать в «Лабораторию Крутых Трансляций»! Мы готовы перевести для вас любые тексты с английского на русский язык. Просто напишите текст, который нужно перевести, и мы сразу же приступим к работе!",2,0,0,0,0
denneco01,1921,TRS,NHL,Л/Ц,5,3,2,5,2
vezinge01,1916,MOC,NHA,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь с переводом. Как я могу вам помочь сегодня?",4,0,0,0,0
skinnal01,1920,VML,PCHA,r,3,4,0,4,14
