year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
2000,КДЛ,я,NJD,NHL,TOR,NHL,4,3,0,21,18,
1988,DF,Здравствуйте! Как я могу вам помочь?,PHI,NHL,PIT,NHL,4,3,0,31,24,
1948,SF,А,TOR,NHL,BOS,NHL,4,1,0,16,10,
1970,QF,А,NYR,NHL,TOR,NHL,4,2,0,16,15,
1999,CQF,А,PHI,NHL,BUF,NHL,4,1,0,14,8,
1995,CQF,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь с переводом. Как я могу вам помочь сегодня?",CHI,NHL,CAL,NHL,4,0,0,16,7,
1944,СCF,С,TOR,NHL,DET,NHL,4,3,0,9,9,
1994,КДЛ,я,PHI,NHL,NYR,NHL,4,0,0,18,10,
1985,"Укажите текст для перевода, пожалуйста.",А,MTL,NHL,BOS,NHL,3,0,0,10,6,
1933,SF,А,DET,NHL,TOR,NHL,3,2,0,11,12,
1989,"Укажите текст для перевода, пожалуйста.","Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",CHI,NHL,MNS,NHL,4,3,0,21,18,
1968,SF,"Я не вижу входного текста, на котором можно было бы основывать перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью выполню ваш запрос.",STL,NHL,LAK,NHL,4,0,0,16,5,
2005,CF,"Я - профессиональный переводчик. Переведите, пожалуйста:

""Вы - профессионал в своем деле. Я очень ценю вашу помощь и поддержку.""",EDM,NHL,ANA,NHL,4,1,0,16,13,
2000,CQF,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь с переводом. Как я могу вам помочь сегодня?",DAL,NHL,EDM,NHL,4,2,0,16,13,
1937,СCF,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",CHI,NHL,TOR,NHL,3,1,0,10,8,
1976,DF,,QUN,WHA,IND,WHA,4,1,0,25,14,
1985,DF,я,MTL,NHL,HAR,NHL,4,3,0,16,13,
1946,SF,А,TOR,NHL,DET,NHL,4,1,0,18,14,
1932,QF,А,DET,NHL,MTM,NHL,2,0,0,5,2,ТГ
1996,КДЛ,Здравствуйте! Как я могу вам помочь?,PHI,NHL,BUF,NHL,4,1,0,21,13,
1993,CQF,"Добро пожаловать в Chatbot Coral! Я готов помочь вам с переводом текста с английского на русский язык. Пожалуйста, предоставьте текст, который вы хотите перевести.",DAL,NHL,STL,NHL,4,0,0,16,10,
1974,QF,,MFS,WHA,NEW,WHA,4,2,0,28,17,
1923,ККФС,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
