type,code,fullname
Офф-сыйл,DF,Финал Кубка Стэнли
Офф-сыйл,Авсф,Половуфиналы Кубка АВСК
Офф-сыйл,НГФУ,Потерянные финальные экзамены по НФА
Офф-сыйл,CQF,Пустые места в НХЛ: четвертьфиналы конференции
Офф-сыйл,WSF,Пропущенные полуфиналы WCHL
Овал,ККФС,Полуфиналы Кубка Стэнли
Овал,ВП,Западная серия плей-офф
Разделение,CW,ВХА Канадский Отдел
Конференция,КК,Конференция Кэмпбелла
Разделение,"Вам нужен переводчик с английского на русский? Я могу помочь вам с переводом текстов, предоставив точный и естественный перевод. Просто отправьте мне текст, который нужно перевести, и укажите, что вы хотите получить перевод с английского на русский.",Восточный дивизион
Разделение,WD,Западный дивизион
Разделение,УВ,Западное отделение
Овал,Предло́жение,Предварительный
Офф-сыйл,AVФ,Пропавшие финал Кубка AVCO
Разделение,ПТ,Патрик Дивизион
Разделение,SMS,Смит-дивизия
Конференция,ЕС,Восточная конференция
Конференция,ВА,Конференция по Уэльсу
Офф-сыйл,АвКФ,Половина финала Кубка АВКО
Офф-сыйл,ККФС,Путь к полуфиналу Кубка Стэнли
Офф-сыйл,SC,Вон Stanley Cup!
Овал,СCF,Финал Кубка Стэнли
Разделение,НЕ,Северо-Восточный Отдел
Овал,"Укажите текст для перевода, пожалуйста.","Полуфиналы по футболу на чемпионате Европы 2024 года будут сыграны 1 и 2 июля 2024 года. Это будет заключительный этап турнира, в котором четыре победителя группового раунда будут соревноваться за право сыграть в финале."
Офф-сыйл,ПФ,Потерянные финалы ПЧА
Разделение,Калифорния,Канадское отделение
Офф-сыйл,ЛКС,Выиграл Кубок Стэнли / Проиграл Серия вызовов
Овал,CF,Финал конференции
Офф-сыйл,"Укажите текст для перевода, пожалуйста.",Выигравшие в дивизионах полуфиналы НХЛ
Овал,КДЛ,Полуфинал чемпионата
Овал,SF,Полуфиналы
Разделение,ЦЕ,Центральный отдел
Офф-сыйл,WS,Вызов серии Won
Офф-сыйл,ВФ,Потерянные финалы WCHL
Офф-сыйл,QF,Утраченная четвертая четверть НХЛ
Разделение,Нет,Норрис-дивизия
Овал,CQF,Квартальные матчи конференции
Разделение,АМ,Американский дивизион
Офф-сыйл,"Я не вижу входного текста, на котором можно было бы основывать перевод. Пожалуйста, предоставьте текст для перевода, и я с радостью выполню ваш запрос.",Пустые игры Кубка Стэнли
Офф-сыйл,АВЦ,Победили в Кубке АВКО.
Овал,QF,Четвертьфиналы
Разделение,АТ,Атлантический отдел
Офф-сыйл,AВПР,Пропущенный Кубок Авко в предварительном раунде
Офф-сыйл,НД,НД - Финалы Кубка Стэнли приостановлены (в связи с эпидемией гриппа)
Разделение,НВ,Северо-Западный дивизион
Офф-сыйл,SF,Потерянные полуфиналы НХЛ
Конференция,ВЧ,Западная конференция
Разделение,АД,Отделение Адама
Овал,DF,Финал дивизиона
Офф-сыйл,CF,Потери в конференциях плей-офф НХЛ
Офф-сыйл,"Предложение:

""Я думаю, что это будет отличный фильм.""",Пропущенные матчи предварительного раунда НХЛ
Офф-сыйл,КДЛ,Пропущенные игры полуфинала конференции НХЛ
Разделение,EW,Восточный дивизион WHA
Разделение,СЕ,Юго-Восточный дивизион
