coachid,award,year,lgid,note
krommbo01c,Смёрч,1975,WHA,
bowmasc01c,Джек Адамс,1995,NHL,
patrile01c,Первая команда всех звёзд,1931,NHL,
ruffli01c,Джек Адамс,2005,NHL,
tortojo01c,Джек Адамс,2003,NHL,
gormato01c,Вторая команда всех звёзд,1935,NHL,
tessior01c,Джек Адамс,1982,NHL,
burnspa01c,Джек Адамс,1997,NHL,
vigneal01c,Джек Адамс,2006,NHL,
bouchfr01c,Вторая команда всех звёзд,1939,NHL,
patrile01c,Первая команда всех звёзд,1937,NHL,
quennjo01c,Джек Адамс,1999,NHL,
barbebi01c,Джек Адамс,2000,NHL,
irvindi01c,Вторая команда всех звёзд,1940,NHL,
nolante01c,Джек Адамс,1996,NHL,
adamsja01c,Вторая команда всех звёзд,1944,NHL,
sherofr01c,Джек Адамс,1973,NHL,
patrile01c,Первая команда всех звёзд,1933,NHL,
dayha01c,Вторая команда всех звёзд,1943,NHL,
dineebi01c,Смёрч,1976,WHA,
murdobo01c,Джек Адамс,1989,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
gottsjo01c,Вторая команда всех звёзд,1945,NHL,
murrabr01c,Джек Адамс,1983,NHL,
sathegl01c,Джек Адамс,1985,NHL,
burnspa01c,Джек Адамс,1992,NHL,
wattto01c,Джек Адамс,1981,NHL,
krommbo01c,Джек Адамс,1977,NHL,
francbo01c,Джек Адамс,2001,NHL,
thomppa01c,Вторая команда всех звёзд,1941,NHL,
irvindi01c,Вторая команда всех звёзд,1931,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
rossar01c,Вторая команда всех звёзд,1937,NHL,
demerja01c,Джек Адамс,1986,NHL,
bouchfr01c,Первая команда всех звёзд,1941,NHL,
boudrbr01c,Джек Адамс,2007,NHL,
lemaija01c,Джек Адамс,2002,NHL,
harribi01c,Балдвин,1973,WHA,
hartce01c,Вторая команда всех звёзд,1936,NHL,
irvindi01c,Вторая команда всех звёзд,1934,NHL,
keenami01c,Джек Адамс,1984,NHL,
kelleja01c,Балдвин,1972,WHA,
patrile01c,Первая команда всех звёзд,1934,NHL,
duttore01c,Вторая команда всех звёзд,1938,NHL,
rossar01c,Первая команда всех звёзд,1938,NHL,
brophjo01c,Смёрч,1978,WHA,
quinnpa01c,Джек Адамс,1979,NHL,
rossar01c,Вторая команда всех звёзд,1942,NHL,
irvindi01c,Первая команда всех звёзд,1943,NHL,
